189.;Tuderek Grzegorz;Samoobrona;91;ślubował 21-11-2002;
190.;Jarmuziewicz Tadeusz;PO;90;;
191.;Mioduszewski Józef;PSL;90;;
192.;Gintowt-Dziewałtowski Witold;SLD;89;;
193.;Szarawarski Andrzej;SLD;89(84);;
194.;Szustak Halina;D_OJCZYSTY;89;;
195.;Zaremba Krzysztof;PO;89;;
196.;Jagiełło Andrzej;SG;88;;
197.;Zaborowski Zbyszek;SLD;88;;
198.;Kaczmarek Wiesław;niez.;86(59);;
199.;Łukacijewska Elżbieta;PO;86;;
200.;Górna-Kubacka Anna;SLD;85;;
201.;Grzesik Andrzej;Samoobrona;85;;
202.;Kozłowski Piotr;Samoobrona;85;;
203.;Kalinowski Stanisław;PSL;83;;
204.;Arciszewska-Mielewczyk Dorota;PiS;82;;
205.;Hojarska Danuta;Samoobrona;82;;
206.;Bury Jan;PSL;81;;
207.;Liberadzki Bogusław;SLD;81;mandat wygasł 16-06-2004;
208.;Sas Kazimierz;SLD;81;;
209.;Skowyra Józef;D_OJCZYSTY;81;;
210.;Szumilas Krystyna;PO;81;;
211.;Pawlak Waldemar;PSL;80;;
212.;Chodynicki Ryszard;PLD;79;mandat wygasł 04-10-2004;
213.;Gucwińska Hanna;UP;79;;
214.;Owoc Alfred;UP;79;;
215.;Stefaniuk Franciszek Jerzy;PSL;79;;
216.;Bachalski Dariusz Jacek;PO;78;;
217.;Tomczykiewicz Tomasz;PO;78;;
218.;Potulski Franciszek;SLD;77(29);;
219.;Wojciechowski Janusz;PSL;77;mandat wygasł 16-06-2004;
220.;Woźny Grzegorz;SLD;77;;
221.;Falfus Jacek;PiS;76;;
222.;Liss Andrzej;PiS;76;ślubował 21-11-2002;
223.;Rydzoń Stanisław;SLD;76;;
224.;Komorowski Bronisław;PO;75;;
225.;Murynowicz Alicja;SLD;75;;
226.;Zielonka Lech;SG;75;;
227.;Chojnacki Jan;SLD;73;;
228.;Filek Anna;SLD;73;;
229.;Miller Leszek;SLD;73(73);;
230.;Olewiński Marek;SDPL;73;mandat wygasł 29-03-2005;
231.;Podraza Zbigniew;SLD;73(34);;
232.;Pogoda Czesław;SDPL;73;;
233.;Samborski Tadeusz;PSL;73;;
234.;Wassermann Zbigniew;PiS;73;;
235.;Derech-Krzycki Jakub;SLD;72;;
236.;Musiał Zbigniew;SG;72;;
237.;Urban Tadeusz;Samoobrona;72;;
238.;Woś Adam;SG;72;;
239.;Żmijan Stanisław;PO;72;;
240.;Głowa Józef;niez.;71;;
241.;Janik Ewa Maria;SLD;71;;
242.;Marzec Czesław;SLD;71;;
243.;Kalinowski Jarosław;PSL;70(28);;
244.;Kaniewski Zbigniew;SLD;70(24);;
245.;Klimek Jan;SLD;70;;
246.;Kopczyński Bohdan;niez.;69;;
247.;Niewiarowski Ireneusz;KL;69;;
248.;Cimoszewicz Włodzimierz;SLD;68(66);;
249.;Gałażewski Andrzej;PO;68;;
250.;Wycisło Eugeniusz;PO;68;;
251.;Klich Bogdan;PO;67;mandat wygasł 16-06-2004;
252.;Szkop Władysław;SDPL;67;;
253.;Kałamaga Zdzisław;SDPL;66;;
254.;Czykwin Eugeniusz;SLD;65;;
255.;Gajecka-Bożek Maria;SLD;65;;
256.;Pawlak Mirosław;PSL;65;;
257.;Turkiewicz Michał;SLD;65;;
258.;Chrzanowski Zbigniew;SKL;64;mandat wygasł 13-09-2004;
259.;Markiewicz Adam;SLD;64;;
260.;Pasternak Agnieszka;SDPL;64;;
261.;Płonka Edward;PO;64;;
262.;Gruszka Grzegorz;niez.;63;;
263.;Kawa Marian;SLD;63;;
264.;Michalak Aldona;SLD;63;;
265.;Wojtalik Edward;SDPL;63;;
266.;Żelichowski Stanisław;PSL;63(11);;
267.;Młynarczyk Jerzy;SDPL;62;;
268.;Murzyn Leszek;LPR;62;;
269.;Franczak Franciszek;niez.;61;;
270.;Kasznia Arkadiusz;SDPL;61;;
271.;Marczewski Marian;SDPL;61;;
272.;Romero Elżbieta;SDPL;61;;
273.;Abgarowicz Łukasz;PO;60;;
274.;Górniak Grzegorz;D_OJCZYSTY;60;;
275.;Iwiński Tadeusz;SLD;60(1);;
276.;Różański Andrzej;SLD;60;;
277.;Zemke Janusz;SLD;60(57);;
278.;Grabowska Danuta;SLD;59;;
279.;Pusz Sylwia;SDPL;59;;
280.;Rutkowski Krzysztof;SG;59;;
281.;Tomczak Witold;LPR;59;mandat wygasł 16-06-2004;
282.;Nowicki Józef;SLD;58;;
283.;Piela-Mielczarek Elżbieta;SLD;58;;
284.;Siekierski Czesław;PSL;58(55);mandat wygasł 16-06-2004;
285.;Korzeniowski Leszek;PO;56;;
286.;Kozłowska Bożena;SLD;56;;
287.;Wójcik Kazimierz;Samoobrona;56;;
288.;Ciborowska Danuta;SLD;55;;
289.;Czerwiński Andrzej;PO;55;;
290.;Łybacka Krystyna;SLD;55(42);;
291.;Sosnowska Joanna;SDPL;55;;
292.;Stryjak Cezary;SDPL;55;;
293.;Tober Michał;SLD;55(26);;
294.;Wontor Bogusław;SLD;55;;
295.;Zadora Stanisław;LPR;55;;
296.;Zieliński Leszek;SG;55(3);;
297.;Derwich Bogdan;SLD;54;;
298.;Dankowski Bronisław;SLD;53;;
299.;Kochanowski Jan;SLD;53;;
300.;Sowińska Ewa;LPR;53;ślubowała 17-06-2004;
301.;Zbyrowska Maria;Samoobrona;53;;
302.;Grobel-Proszowska Joanna;SLD;52;ślubowała 21-11-2002;
303.;Hayn Ryszard;SLD;52;;
304.;Kizińska Bożena;SLD;52;;
305.;Kurpiewski Stanisław;niez.;52;;
306.;Oleksy Józef;SLD;52(5);;
307.;Tusk  Donald;PO;52;;
308.;Osik Wiktor;SLD;51;;
309.;Ratman Zygmunt;SLD;51;;
310.;Sułek Leszek;Samoobrona;51;;
311.;Tomaka Jan;PO;50;;
312.;Szrajber Bartłomiej;PiS;49;;
313.;Ciruk Barbara;SDPL;48;;
314.;Prządka Stanisława;SLD;48;;
315.;Borowski Marek;SDPL;47;;
