lp;kto;partia;noGlos;procGlos;uwagiGlos
384.;Kwiatkowski Adam;PiS;5264;88.10;mandat wygasł 07-08-2015;
385.;Golba Mieczysław;ZP;5260;83.52;;
386.;Gibała Łukasz;niez.;5242;83.23;;
387.;Szymiec-Raczyńska Halina;PSL;5229;83.03;;
388.;Czykwin Eugeniusz;SLD;5225;82.96;;
389.;Iwiński Tadeusz;SLD;5225;82.96;;
390.;Rynasiewicz Zbigniew;PO;5221;97.66;mandat wygasł 01-06-2015;
391.;Dorn Ludwik;niez.;5210;82.72;;
392.;Łopiński Maciej;PiS;5196;86.96;mandat wygasł 07-08-2015;
393.;Kruk Elżbieta;PiS;5151;81.79;;
394.;Czesak Edward;PiS;5110;95.59;mandat wygasł 11-06-2015;
395.;Zbonikowski Łukasz;PiS;5099;80.96;;
396.;Sadurska Małgorzata;PiS;5097;85.31;mandat wygasł 07-08-2015;
397.;Arciszewska-Mielewczyk Dorota;PiS;5088;80.79;;
398.;Górski Tomasz;niez.;5088;80.79;;
399.;Kucharski Cezary;PO;5083;80.71;;
400.;Bodio Bartłomiej;PSL;5057;80.30;;
401.;Marcinkiewicz Małgorzata;RP;5035;79.95;;
402.;Borawski Edmund;PSL;5012;79.58;;
403.;Wipler Przemysław;niez.;5011;79.56;;
404.;Łatas Marek;PiS;4994;79.30;;
405.;Sikorski Radosław;PO;4951;78.61;;
406.;Hofman Adam;niez.;4915;78.04;;
407.;Garbowski Tomasz;SLD;4899;77.79;;
408.;Kalisz Ryszard;niez.;4871;77.34;;
409.;Piechociński Janusz;PSL;4850;77.01;;
410.;Palikot Janusz;RP;4785;77.94;mandat wygasł 11-09-2015;
411.;Napieralski Grzegorz;BC;4698;74.60;;
412.;Pawlak Waldemar;PSL;4696;74.56;;
413.;Szałamacha Paweł;PiS;4529;71.91;;
414.;Kotliński Roman;niez.;4520;71.77;;
415.;Wojnarowski Norbert;PO;4421;70.20;;
416.;Janik Grzegorz;PiS;4354;97.08;ślubował 08-05-2013;
417.;Piątak Andrzej;niez.;4293;68.16;;
418.;Wojtkowski Marek;PO;4167;98.07;mandat wygasł 05-12-2014;
419.;Saługa Wojciech;PO;4163;99.26;mandat wygasł 01-12-2014;
420.;Adamczak Małgorzata;PO;4144;98.81;mandat wygasł 01-12-2014;
421.;Witko Marcin;PiS;4122;98.28;mandat wygasł 01-12-2014;
422.;Witkowski Radosław;PO;4120;96.96;mandat wygasł 15-12-2014;
423.;Królikowska-Kińska Elżbieta;PO;4084;99.61;ślubowała 27-08-2013;
424.;Łuczak Mieczysław Marcin;PSL;4076;87.34;mandat wygasł 02-02-2015;
425.;Żyliński Adam;PO;4061;99.51;ślubował 25-01-2012mandat wygasł 02-12-2014;
426.;Katulski Jarosław;PO;4044;95.18;mandat wygasł 05-12-2014;
427.;Borowiak Łukasz;PO;4029;96.07;mandat wygasł 01-12-2014;
428.;Włodkowski Zbigniew;PSL;3987;95.06;mandat wygasł 02-12-2014;
429.;Górczyński Jarosław;PSL;3972;93.48;mandat wygasł 10-12-2014;
430.;Janik Renata;PO;3947;98.31;ślubowała 11-09-2013;
431.;Graś Paweł;PO;3931;96.21;mandat wygasł 14-11-2014;
432.;Żaczek Jarosław;KPSP;3794;90.40;mandat wygasł 03-12-2014;
433.;Rębek Jerzy;PiS;3778;90.02;mandat wygasł 03-12-2014;
434.;Tusk Łukasz;PO;3697;99.68;ślubował 22-11-2013;
435.;Szulc Jakub;PO;3676;97.25;mandat wygasł 21-08-2014;
436.;Rusiecki Jarosław;PiS;3606;93.20;mandat wygasł 10-09-2014;
437.;Biedroń Robert;TR;3567;83.95;mandat wygasł 08-12-2014;
438.;Nowak Sławomir;niez.;3499;78.65;mandat wygasł 02-01-2015;
439.;Górski Artur;PiS;3457;54.89;;
440.;Kloc Izabela;PiS;3397;87.80;mandat wygasł 10-09-2014;
441.;Kaczmarek Tomasz;niez.;3380;69.43;mandat wygasł 06-03-2015;
442.;Szejnfeld Adam;PO;3358;99.64;mandat wygasł 27-05-2014;
443.;Kozłowska-Rajewicz Agnieszka;PO;3340;99.11;mandat wygasł 27-05-2014;
444.;Pitera Julia;PO;3290;97.63;mandat wygasł 27-05-2014;
445.;Ożóg Stanisław;PiS;3282;97.39;mandat wygasł 27-05-2014;
446.;Wiśniewska Jadwiga;PiS;3237;96.05;mandat wygasł 27-05-2014;
447.;Rosati Dariusz;PO;3229;95.82;mandat wygasł 27-05-2014;
448.;Kuźmiuk Zbigniew;PiS;3218;95.49;mandat wygasł 27-05-2014;
449.;Duda Andrzej;PiS;3197;94.87;mandat wygasł 27-05-2014;
450.;Kudrycka Barbara;PO;3170;94.07;mandat wygasł 27-05-2014;
451.;Łybacka Krystyna;SLD;3158;93.71;mandat wygasł 27-05-2014;
