lp;kto;klub;lwystapien;uwagi
469.;Niemczyk Małgorzata;PO;7;;
470.;Stachowicz Katarzyna;PO;7;ślubowała 19-12-2014;
471.;Blanik Leszek;PO;6;;
472.;Kuchciński Marek;PiS;6;;
473.;Jastrzębski Leszek;PO;5;;
474.;Marcinkiewicz Małgorzata;RP;5;;
475.;Zieliński Maciej;PO;5;;
476.;Biernat Andrzej;PO;4;;
477.;Dworczyk Michał;PiS;4;ślubował 10-09-2015;
478.;Fiedler Arkady;PO;4;;
479.;Krysztofiak Przemysław;PO;4;ślubował 17-12-2014;
480.;Olszewski Paweł;PO;4;;
481.;Pacelt Zbigniew;PO;4;;
482.;Rusecka Urszula;PiS;4;ślubowała 23-06-2015;
483.;Buła Andrzej;PO;3;mandat wygasł 12-11-2013;
484.;Chrapkiewicz Daniela;PiS;3;ślubowała 09-09-2015;
485.;Głuchowski Krzysztof;PiS;2;ślubował 09-09-2015;
486.;Kucharski Cezary;PO;2;;
487.;Miodowicz Konstanty;PO;2;mandat wygasł 23-08-2013;
488.;Naguszewski Tadeusz;PO;2;ślubował 16-12-2014;
489.;Nowak Sławomir;niez.;2;mandat wygasł 02-01-2015;
490.;Smirnow Andrzej;PiS;2;ślubował 05-06-2014;
491.;Tomaszewski Jan;PO;2;;
492.;Dołecki Andrzej;RP;1;ślubował 23-09-2015;
493.;Hofman Adam;niez.;1;;
494.;Kaczyński Filip;PiS;1;ślubował 09-09-2015;
495.;Karpiński Grzegorz;PO;1;ślubował 17-12-2014;
496.;Kozłowska-Rajewicz Agnieszka;PO;1;mandat wygasł 27-05-2014;
497.;Kudrycka Barbara;PO;1;mandat wygasł 27-05-2014;
498.;Piątak Andrzej;niez.;1;;
499.;Sikorski Radosław;PO;1;;
500.;Tomczykiewicz Tomasz;PO;1;;
501.;Wojnarowski Norbert;PO;1;;
