kto;klub;l.glos;p.glos;l.interp;l.interp.nb;l.wystap;uwagi
Romanek Andrzej;ZP;6166;97.90;40;1;386;
Rosati Dariusz;PO;3229;95.82;10;0;68;mandat wygasł 27-05-2014
Rozenek Andrzej;BC;5812;92.28;27;1;76;
Rozpondek Halina;PO;6124;97.24;22;0;39;
Rusecka Urszula;PiS;894;97.92;0;0;4;ślubowała 23-06-2015
Rusiecki Jarosław;PiS;3606;93.20;93;1;24;mandat wygasł 10-09-2014
Rusinowska Beata;PO;2818;98.43;0;0;17;ślubowała 05-06-2014
Rutkowska Dorota;PO;6015;95.51;12;0;43;
Rutnicki Jakub;PO;6208;98.57;51;0;31;
Rybakowicz Adam;RP;5622;89.27;383;0;169;
Rybicki Sławomir;PO;113;100.00;0;0;0;mandat wygasł 17-01-2012
Ryfiński Armand Kamil;?NZ;5344;84.85;27;2;152;
Rynasiewicz Zbigniew;PO;5221;97.66;10;0;16;mandat wygasł 01-06-2015
Rzońca Bogdan;PiS;6196;98.38;1363;4;497;
Rzymełka Jan;PO;2852;99.62;1;0;42;ślubował 05-06-2014
Rząsa Marek;PO;6260;99.40;97;0;105;
Rębek Jerzy;PiS;3778;90.02;25;0;73;mandat wygasł 03-12-2014
Sadurska Małgorzata;PiS;5097;85.31;35;0;72;mandat wygasł 07-08-2015
Sajak Paweł;PSL;5750;91.30;42;0;72;
Sasin Jacek;PiS;6015;95.51;58;0;84;
Sawicki Marek;PSL;5802;92.12;1;0;25;
Saługa Wojciech;PO;4163;99.26;65;0;30;mandat wygasł 01-12-2014
Schetyna Grzegorz;PO;5544;88.03;3;0;9;
Schreiber Grzegorz;PiS;6077;96.49;3;0;195;
Sekuła-Szmajdzińska Małgorzata;SLD;5876;93.30;56;0;207;
Seliga Dariusz;PiS;5373;85.31;118;0;12;
Sellin Jarosław;PiS;6138;97.46;12;0;21;
Siarka Edward;ZP;6035;95.82;60;0;140;
Sibińska Krystyna;PO;6232;98.95;58;0;57;
Siedlaczek Henryk;PO;6262;99.43;219;2;345;
Sikorski Radosław;PO;4951;78.61;1;0;1;
Skowrońska Krystyna;PO;6241;99.09;22;0;255;
Smirnow Andrzej;PiS;2648;92.49;0;0;2;ślubował 05-06-2014
Smolarz Henryk;PSL;5643;89.60;60;0;107;
Smolarz Tomasz;PO;3015;98.08;25;0;12;mandat wygasł 12-03-2014
Smoliński Kazimierz;PiS;2751;96.09;18;0;63;ślubował 05-06-2014
Sobecka Anna Elżbieta;PiS;5982;94.98;1590;664;130;
Sobierajski Czesław;PiS;2384;98.72;1;0;31;ślubował 24-09-2014
Sosna Aleksander;SLD;2813;98.25;14;0;8;ślubował 05-06-2014
Sosnowski Zbigniew;PSL;6129;97.32;18;0;67;
Sońta Krzysztof;PiS;2676;93.47;10;0;12;ślubował 05-06-2014
Sprawka Lech;PiS;5715;90.74;25;0;61;
Stachowicz Katarzyna;PO;1868;99.26;3;0;7;ślubowała 19-12-2014
Staroń Lidia;?NZ;5414;85.96;27;0;29;
Stawiarski Jarosław;PiS;2028;98.98;7;0;8;ślubował 16-12-2014
Stefaniuk Franciszek Jerzy;PSL;5882;93.39;5;0;279;
Stolarski Marek;SLD;5796;92.03;147;0;12;
Strzałkowski Stefan;PiS;5928;94.13;56;0;16;
Stuligrosz Michał;PO;2715;94.83;8;0;25;ślubował 05-06-2014
Suchowiejko Wiesław;PO;6219;98.75;23;0;72;
Suski Marek;PiS;6127;97.28;36;0;106;
Suski Paweł;PO;6253;99.29;17;0;26;
Sycz Miron;PO;6266;99.49;10;0;39;mandat wygasł 02-11-2015
Szarama Wojciech;PiS;5336;84.73;233;0;55;
Szałamacha Paweł;PiS;4529;71.91;64;0;64;
Szczerba Michał;PO;6227;98.87;21;0;81;
Szczerski Krzysztof;PiS;5658;94.69;75;0;164;mandat wygasł 07-08-2015
Szczypińska Jolanta;PiS;6057;96.17;68;0;40;
Szejnfeld Adam;PO;3358;99.64;7;0;74;mandat wygasł 27-05-2014
Szeliga Piotr;?NZ;6261;99.41;389;0;632;
Szlachta Andrzej;PiS;6140;97.49;89;1;511;
Szmit Jerzy;PiS;6015;95.51;92;5;265;
Sztolcman Grzegorz;PO;6234;98.98;45;0;32;
Sztorc Andrzej;PSL;5385;85.50;20;0;59;
Szulc Jakub;PO;3676;97.25;4;0;57;mandat wygasł 21-08-2014
Szumilas Krystyna;PO;6251;99.25;1;0;30;
Szwed Stanisław;PiS;6171;97.98;252;0;294;
Szydło Beata;PiS;5716;90.76;47;0;60;
Szydłowska Bożena;PO;6046;96.00;53;0;70;
Szymański Tomasz;PO;6251;99.25;100;1;71;
Szymiec-Raczyńska Halina;PSL;5229;83.03;98;0;26;
Szyszko Jan;PiS;5864;93.11;24;0;173;
Sądel Jerzy;PiS;2487;86.87;92;0;56;ślubował 05-06-2014
Sławiak Bożena;PO;6097;96.81;32;0;15;
Sługocki Waldemar;PO;6286;99.81;137;0;115;
Tchórzewski Krzysztof;PiS;5813;92.30;40;2;99;
Telus Robert;PiS;6056;96.16;77;1;122;
Terlecki Ryszard;PiS;5968;94.76;55;0;57;
Tobiszowski Grzegorz;PiS;6134;97.40;42;1;46;
Tokarska Genowefa;PSL;6160;97.81;6;0;139;
Tomaszak-Zesiuk Irena;PO;2868;94.19;2;0;15;ślubowała 23-04-2014
Tomaszewski Jan;PO;6159;97.79;6;0;2;
Tomaszewski Tadeusz;SLD;5915;93.92;677;1;497;
Tomański Piotr;PO;6156;97.75;53;1;24;
Tomczak Jacek;PO;6101;96.87;72;0;43;
Tomczyk Cezary;PO;5997;95.22;103;1;23;
Tomczykiewicz Tomasz;PO;5624;89.30;4;0;1;
Trybuś-Cieślar Aleksandra;PO;6272;99.59;106;0;64;
