"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Nr okręgu";"Liczba komisji";"Liczba uwzględnionych komisji";"Frekwencja";"Procent głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Procent głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KOMITET WYBORCZY NOWA LEWICA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KOMITET WYBORCZY POLSKA JEST JEDNA";"KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU";"KOMITET WYBORCZY NORMALNY KRAJ";"KOMITET WYBORCZY ANTYPARTIA";"KOMITET WYBORCZY RUCH NAPRAWY POLSKI";"KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA"
141913;"gm. Stara Biała";"płocki";"mazowieckie";16;12;12;"74,94";"1,83";"56,45";"43,55";"0,00";"98,17";"2,03";"19,89";"7,02";"41,53";"7,41";"20,96";"1,16";;;;;
141914;"gm. Staroźreby";"płocki";"mazowieckie";16;8;8;"65,39";"3,68";"66,42";"33,58";"0,00";"96,32";"2,37";"20,41";"4,77";"53,67";"6,68";"11,19";"0,91";;;;;
141915;"gm. Wyszogród";"płocki";"mazowieckie";16;10;10;"69,03";"2,93";"60,92";"39,08";"0,00";"97,07";"4,72";"20,99";"4,68";"47,64";"6,77";"13,50";"1,70";;;;;
142001;"m. Płońsk";"płoński";"mazowieckie";16;21;21;"74,76";"1,78";"55,66";"44,34";"0,00";"98,22";"2,55";"15,19";"7,60";"34,89";"5,59";"32,27";"1,91";;;;;
142002;"m. Raciąż";"płoński";"mazowieckie";16;3;3;"69,26";"2,70";"73,77";"26,23";"0,00";"97,30";"1,50";"10,37";"4,23";"49,07";"5,37";"28,69";"0,77";;;;;
142003;"gm. Baboszewo";"płoński";"mazowieckie";16;6;6;"64,51";"2,45";"48,42";"51,58";"0,00";"97,55";"1,83";"15,54";"4,66";"54,41";"6,14";"16,04";"1,38";;;;;
142004;"gm. Czerwińsk nad Wisłą";"płoński";"mazowieckie";16;5;5;"62,40";"3,15";"57,76";"42,24";"0,00";"96,85";"4,83";"13,45";"5,22";"53,92";"7,69";"13,34";"1,54";;;;;
142005;"gm. Dzierzążnia";"płoński";"mazowieckie";16;3;3;"68,16";"3,08";"64,41";"35,59";"0,00";"96,92";"3,12";"15,01";"5,22";"57,24";"6,62";"10,27";"2,53";;;;;
142006;"gm. Joniec";"płoński";"mazowieckie";16;4;4;"77,74";"3,36";"52,94";"47,06";"0,00";"96,64";"1,74";"15,83";"4,70";"43,16";"7,61";"25,79";"1,17";;;;;
142007;"gm. Naruszewo";"płoński";"mazowieckie";16;7;7;"62,67";"3,40";"53,40";"46,60";"0,00";"96,60";"2,22";"16,40";"3,96";"56,43";"6,80";"12,27";"1,91";;;;;
142008;"gm. Nowe Miasto";"płoński";"mazowieckie";16;6;6;"73,51";"2,90";"59,26";"40,74";"0,00";"97,10";"1,59";"15,57";"5,72";"51,09";"5,20";"19,66";"1,18";;;;;
142009;"gm. Płońsk";"płoński";"mazowieckie";16;9;9;"68,29";"2,51";"72,48";"27,52";"0,00";"97,49";"2,46";"17,81";"5,89";"43,13";"8,49";"20,17";"2,06";;;;;
142010;"gm. Raciąż";"płoński";"mazowieckie";16;6;6;"59,97";"3,63";"55,56";"44,44";"0,00";"96,37";"1,75";"12,02";"3,74";"62,03";"7,58";"11,21";"1,67";;;;;
142011;"gm. Sochocin";"płoński";"mazowieckie";16;5;5;"70,18";"2,11";"63,24";"36,76";"0,00";"97,89";"1,62";"22,86";"4,45";"47,51";"7,34";"14,93";"1,30";;;;;
142012;"gm. Załuski";"płoński";"mazowieckie";16;7;7;"67,37";"3,21";"54,00";"46,00";"0,00";"96,79";"2,03";"16,44";"7,07";"47,66";"7,44";"18,07";"1,30";;;;;
142101;"m. Piastów";"pruszkowski";"mazowieckie";20;10;10;"83,67";"0,75";"42,99";"57,01";"0,00";"99,25";"2,10";"15,51";"7,47";"30,93";"6,67";"35,82";"1,49";;;;;
142102;"m. Pruszków";"pruszkowski";"mazowieckie";20;30;30;"82,62";"0,81";"41,32";"58,68";"0,00";"99,19";"1,93";"16,64";"7,61";"27,19";"6,54";"38,85";"1,24";;;;;
142103;"gm. Brwinów";"pruszkowski";"mazowieckie";20;16;16;"84,97";"0,75";"45,80";"54,20";"0,00";"99,25";"1,87";"16,86";"7,68";"27,50";"6,04";"38,52";"1,53";;;;;
142104;"gm. Michałowice";"pruszkowski";"mazowieckie";20;12;12;"88,77";"0,79";"37,62";"62,38";"0,00";"99,21";"1,85";"15,57";"7,80";"23,94";"6,04";"43,45";"1,35";;;;;
142105;"gm. Nadarzyn";"pruszkowski";"mazowieckie";20;9;9;"85,66";"1,10";"49,58";"50,42";"0,00";"98,90";"2,13";"17,37";"7,01";"25,27";"6,98";"39,85";"1,38";;;;;
142106;"gm. Raszyn";"pruszkowski";"mazowieckie";20;15;15;"84,69";"1,17";"42,20";"57,80";"0,00";"98,83";"2,04";"14,92";"6,09";"32,68";"6,55";"36,04";"1,68";;;;;
142201;"m. Przasnysz";"przasnyski";"mazowieckie";16;15;15;"73,64";"1,68";"60,65";"39,35";"0,00";"98,32";"1,52";"12,11";"5,52";"40,53";"6,16";"32,66";"1,49";;;;;
142202;"gm. Chorzele";"przasnyski";"mazowieckie";16;13;13;"63,85";"3,63";"63,16";"36,84";"0,00";"96,37";"1,80";"16,75";"3,83";"55,68";"8,12";"11,71";"2,11";;;;;
142203;"gm. Czernice Borowe";"przasnyski";"mazowieckie";16;6;6;"73,95";"2,01";"45,24";"54,76";"0,00";"97,99";"1,42";"14,41";"2,78";"62,87";"7,47";"9,33";"1,71";;;;;
142204;"gm. Jednorożec";"przasnyski";"mazowieckie";16;10;10;"62,59";"2,97";"68,37";"31,63";"0,00";"97,03";"2,25";"15,22";"8,73";"52,51";"8,39";"11,13";"1,78";;;;;
142205;"gm. Krasne";"przasnyski";"mazowieckie";16;3;3;"67,87";"2,41";"50,00";"50,00";"0,00";"97,59";"1,63";"14,25";"4,15";"61,53";"7,63";"9,76";"1,07";;;;;
142206;"gm. Krzynowłoga Mała";"przasnyski";"mazowieckie";16;7;7;"70,86";"1,89";"54,29";"45,71";"0,00";"98,11";"1,93";"13,24";"2,59";"64,48";"8,49";"6,51";"2,76";;;;;
142207;"gm. Przasnysz";"przasnyski";"mazowieckie";16;9;9;"66,54";"2,11";"46,05";"53,95";"0,00";"97,89";"1,56";"12,06";"3,63";"60,09";"7,40";"13,50";"1,76";;;;;
142301;"gm. Borkowice";"przysuski";"mazowieckie";17;8;8;"71,16";"2,86";"65,67";"34,33";"0,00";"97,14";"1,41";"17,81";"5,23";"57,08";"6,51";"10,47";"1,36";"0,13";;;;
142302;"gm. Gielniów";"przysuski";"mazowieckie";17;6;6;"72,83";"2,81";"56,94";"43,06";"0,00";"97,19";"1,20";"12,65";"3,25";"69,17";"5,78";"6,62";"1,12";"0,20";;;;
142303;"gm. Klwów";"przysuski";"mazowieckie";17;8;8;"90,57";"2,90";"59,70";"40,30";"0,00";"97,10";"0,58";"23,68";"1,87";"60,97";"6,45";"4,63";"1,47";"0,36";;;;
142304;"gm. Odrzywół";"przysuski";"mazowieckie";17;5;5;"80,08";"2,25";"43,40";"56,60";"0,00";"97,75";"1,00";"7,41";"2,04";"76,55";"5,46";"6,55";"0,69";"0,30";;;;
142305;"gm. Potworów";"przysuski";"mazowieckie";17;5;5;"71,32";"2,73";"50,79";"49,21";"0,00";"97,27";"1,91";"12,86";"3,38";"65,06";"7,79";"7,52";"1,34";"0,13";;;;
142306;"gm. Przysucha";"przysuski";"mazowieckie";17;14;14;"75,66";"1,56";"42,06";"57,94";"0,00";"98,44";"1,37";"12,71";"4,62";"56,97";"6,74";"16,24";"1,13";"0,22";;;;
142307;"gm. Rusinów";"przysuski";"mazowieckie";17;10;10;"80,04";"1,93";"49,02";"50,98";"0,00";"98,07";"0,97";"8,58";"2,40";"72,76";"7,88";"5,87";"1,28";"0,27";;;;
142308;"gm. Wieniawa";"przysuski";"mazowieckie";17;10;10;"75,08";"1,49";"56,52";"43,48";"0,00";"98,51";"1,28";"10,40";"3,26";"66,01";"8,33";"9,44";"1,15";"0,13";;;;
142401;"gm. Gzy";"pułtuski";"mazowieckie";18;5;5;"66,58";"4,16";"37,80";"57,32";"4,88";"95,84";"1,22";"21,43";"4,39";"55,77";"8,20";"7,30";"1,38";;"0,21";;"0,11";
142402;"gm. Obryte";"pułtuski";"mazowieckie";18;7;7;"75,15";"4,36";"35,25";"62,30";"2,46";"95,64";"1,46";"19,55";"3,29";"56,93";"8,19";"8,97";"1,31";;"0,19";;"0,11";
142403;"gm. Pokrzywnica";"pułtuski";"mazowieckie";18;7;7;"73,06";"3,35";"57,28";"37,86";"4,85";"96,65";"1,41";"17,34";"4,50";"48,20";"7,80";"18,39";"1,95";;"0,17";;"0,24";
142404;"gm. Pułtusk";"pułtuski";"mazowieckie";18;22;22;"73,23";"2,02";"55,56";"34,77";"9,68";"97,98";"1,14";"21,68";"6,59";"38,42";"7,01";"23,53";"1,21";;"0,20";;"0,21";
142405;"gm. Świercze";"pułtuski";"mazowieckie";18;5;5;"71,77";"3,67";"62,89";"26,80";"10,31";"96,33";"1,69";"16,82";"8,06";"49,78";"7,66";"14,46";"1,06";;"0,28";;"0,20";
142406;"gm. Winnica";"pułtuski";"mazowieckie";18;4;4;"75,30";"3,82";"59,34";"36,26";"4,40";"96,18";"1,09";"21,09";"4,63";"54,24";"7,77";"9,13";"1,83";;"0,04";;"0,17";
142407;"gm. Zatory";"pułtuski";"mazowieckie";18;6;6;"75,45";"3,79";"58,41";"34,51";"7,08";"96,21";"1,39";"17,31";"4,46";"53,22";"8,60";"13,38";"1,32";;"0,10";;"0,21";
142501;"m. Pionki";"radomski";"mazowieckie";17;17;17;"70,98";"1,55";"63,45";"36,55";"0,00";"98,45";"1,71";"12,90";"6,66";"42,43";"5,37";"29,02";"1,49";"0,43";;;;
142502;"gm. Gózd";"radomski";"mazowieckie";17;6;6;"75,08";"1,33";"62,32";"37,68";"0,00";"98,67";"1,72";"11,40";"2,71";"62,05";"9,24";"10,68";"1,91";"0,29";;;;
142503;"gm. Iłża";"radomski";"mazowieckie";17;21;21;"67,51";"2,16";"68,32";"31,68";"0,00";"97,84";"4,12";"13,45";"4,54";"53,00";"7,49";"15,70";"1,14";"0,56";;;;
142504;"gm. Jastrzębia";"radomski";"mazowieckie";17;8;8;"74,37";"2,11";"70,24";"29,76";"0,00";"97,89";"1,87";"10,60";"3,44";"59,36";"8,70";"13,74";"1,44";"0,85";;;;
142505;"gm. Jedlińsk";"radomski";"mazowieckie";17;9;9;"72,21";"2,04";"59,01";"40,99";"0,00";"97,96";"1,88";"12,01";"4,55";"57,42";"8,30";"14,43";"1,16";"0,25";;;;
142506;"gm. Jedlnia-Letnisko";"radomski";"mazowieckie";17;8;8;"76,18";"1,20";"60,22";"39,78";"0,00";"98,80";"1,68";"13,48";"4,45";"49,29";"8,97";"19,55";"2,29";"0,29";;;;
142507;"gm. Kowala";"radomski";"mazowieckie";17;8;8;"74,82";"1,78";"69,11";"30,89";"0,00";"98,22";"2,07";"11,76";"4,78";"52,35";"9,31";"17,07";"1,92";"0,74";;;;
142508;"gm. Pionki";"radomski";"mazowieckie";17;9;9;"69,79";"2,39";"62,31";"37,69";"0,00";"97,61";"1,88";"12,18";"4,86";"54,86";"7,21";"16,23";"2,35";"0,41";;;;
142509;"gm. Przytyk";"radomski";"mazowieckie";17;6;6;"72,76";"1,85";"54,67";"45,33";"0,00";"98,15";"1,39";"9,92";"3,45";"65,95";"8,29";"8,91";"1,86";"0,23";;;;
142510;"gm. Skaryszew";"radomski";"mazowieckie";17;14;14;"75,54";"1,69";"61,38";"38,62";"0,00";"98,31";"2,47";"10,74";"3,11";"60,81";"7,79";"12,89";"1,65";"0,52";;;;
142511;"gm. Wierzbica";"radomski";"mazowieckie";17;9;9;"68,62";"2,97";"71,23";"28,77";"0,00";"97,03";"2,35";"10,95";"4,61";"55,58";"8,33";"15,54";"2,03";"0,61";;;;
142512;"gm. Wolanów";"radomski";"mazowieckie";17;10;10;"74,39";"2,27";"66,96";"33,04";"0,00";"97,73";"1,84";"12,16";"3,97";"59,98";"8,82";"11,43";"1,27";"0,53";;;;
142513;"gm. Zakrzew";"radomski";"mazowieckie";17;10;10;"78,91";"1,64";"62,88";"37,12";"0,00";"98,36";"1,71";"11,03";"3,83";"56,92";"8,42";"15,88";"1,71";"0,51";;;;
142601;"gm. Domanice";"siedlecki";"mazowieckie";18;4;4;"73,74";"3,32";"58,33";"37,50";"4,17";"96,68";"1,65";"11,16";"3,22";"64,88";"10,16";"6,87";"1,79";;"0,21";;"0,07";
142602;"gm. Korczew";"siedlecki";"mazowieckie";18;4;4;"67,55";"2,39";"54,55";"33,33";"12,12";"97,61";"1,63";"16,98";"3,11";"56,41";"7,93";"12,16";"1,33";;"0,22";;"0,22";
142603;"gm. Kotuń";"siedlecki";"mazowieckie";18;7;7;"71,64";"2,96";"48,92";"38,85";"12,23";"97,04";"2,17";"13,96";"4,82";"53,02";"7,98";"15,84";"1,91";;"0,18";;"0,13";
142604;"gm. Mokobody";"siedlecki";"mazowieckie";18;4;4;"73,82";"2,33";"43,94";"48,48";"7,58";"97,67";"1,37";"10,29";"2,74";"64,66";"9,78";"8,30";"2,02";;"0,51";;"0,32";
142605;"gm. Mordy";"siedlecki";"mazowieckie";18;6;6;"70,58";"1,35";"52,38";"38,10";"9,52";"98,65";"2,24";"13,86";"3,19";"60,34";"8,52";"9,86";"1,50";;"0,39";;"0,10";
142606;"gm. Paprotnia";"siedlecki";"mazowieckie";18;2;2;"75,52";"1,83";"51,85";"33,33";"14,81";"98,17";"1,93";"15,19";"2,76";"64,92";"8,77";"4,21";"2,00";;"0,07";;"0,14";
142607;"gm. Przesmyki";"siedlecki";"mazowieckie";18;5;5;"69,10";"2,34";"53,85";"28,21";"17,95";"97,66";"1,66";"14,43";"2,21";"66,42";"8,59";"5,59";"0,86";;"0,18";;"0,06";
142608;"gm. Siedlce";"siedlecki";"mazowieckie";18;12;12;"77,70";"1,49";"54,27";"38,41";"7,32";"98,51";"2,36";"15,26";"4,54";"47,32";"10,66";"16,91";"2,62";;"0,23";;"0,10";
142609;"gm. Skórzec";"siedlecki";"mazowieckie";18;14;14;"74,34";"2,09";"50,00";"43,62";"6,38";"97,91";"2,08";"12,06";"2,88";"62,70";"9,34";"8,79";"1,81";;"0,16";;"0,18";
142610;"gm. Suchożebry";"siedlecki";"mazowieckie";18;4;4;"73,74";"2,81";"45,33";"50,67";"4,00";"97,19";"1,74";"13,81";"3,43";"57,75";"10,42";"9,61";"2,70";;"0,42";;"0,12";
142611;"gm. Wiśniew";"siedlecki";"mazowieckie";18;8;8;"76,81";"1,70";"44,07";"38,98";"16,95";"98,30";"2,20";"9,90";"2,70";"61,62";"11,40";"7,88";"3,88";;"0,26";;"0,15";
142612;"gm. Wodynie";"siedlecki";"mazowieckie";18;8;8;"72,84";"4,17";"61,76";"32,35";"5,88";"95,83";"1,66";"10,23";"2,60";"67,56";"8,40";"6,69";"2,39";;"0,17";;"0,30";
142613;"gm. Zbuczyn";"siedlecki";"mazowieckie";18;16;16;"77,47";"2,04";"47,06";"44,54";"8,40";"97,96";"2,68";"10,75";"3,50";"62,08";"10,65";"7,01";"2,68";;"0,53";;"0,12";
142701;"m. Sierpc";"sierpecki";"mazowieckie";16;16;16;"71,34";"1,57";"59,18";"40,82";"0,00";"98,43";"1,63";"21,60";"6,56";"39,08";"5,93";"23,99";"1,21";;;;;
142702;"gm. Gozdowo";"sierpecki";"mazowieckie";16;8;8;"65,61";"2,91";"70,93";"29,07";"0,00";"97,09";"2,16";"17,91";"4,78";"55,01";"7,68";"11,52";"0,94";;;;;
142703;"gm. Mochowo";"sierpecki";"mazowieckie";16;6;6;"64,12";"3,51";"51,46";"48,54";"0,00";"96,49";"1,98";"19,10";"5,54";"53,88";"8,83";"9,36";"1,31";;;;;
142704;"gm. Rościszewo";"sierpecki";"mazowieckie";16;5;5;"68,66";"3,29";"62,86";"37,14";"0,00";"96,71";"1,55";"16,71";"5,34";"61,49";"7,09";"6,75";"1,07";;;;;
142705;"gm. Sierpc";"sierpecki";"mazowieckie";16;6;6;"65,02";"2,30";"67,53";"32,47";"0,00";"97,70";"2,57";"18,34";"5,20";"52,35";"7,00";"13,39";"1,16";;;;;
142706;"gm. Szczutowo";"sierpecki";"mazowieckie";16;7;7;"65,22";"3,29";"46,48";"53,52";"0,00";"96,71";"1,68";"19,60";"5,56";"53,62";"6,04";"12,07";"1,44";;;;;
142707;"gm. Zawidz";"sierpecki";"mazowieckie";16;5;5;"67,44";"1,92";"71,88";"28,12";"0,00";"98,08";"1,65";"15,44";"3,78";"61,21";"6,38";"9,98";"1,56";;;;;
142801;"m. Sochaczew";"sochaczewski";"mazowieckie";16;23;23;"77,06";"1,34";"61,03";"38,97";"0,00";"98,66";"2,21";"18,55";"7,05";"35,30";"5,62";"30,25";"1,02";;;;;
142802;"gm. Brochów";"sochaczewski";"mazowieckie";16;4;4;"71,79";"1,88";"66,67";"33,33";"0,00";"98,12";"1,76";"18,39";"5,19";"47,51";"8,14";"17,27";"1,76";;;;;
142803;"gm. Iłów";"sochaczewski";"mazowieckie";16;6;6;"72,16";"1,66";"57,14";"42,86";"0,00";"98,34";"5,87";"18,47";"3,13";"52,35";"6,83";"11,61";"1,74";;;;;
142804;"gm. Młodzieszyn";"sochaczewski";"mazowieckie";16;6;6;"71,94";"1,76";"53,57";"46,43";"0,00";"98,24";"1,92";"18,79";"3,91";"54,33";"7,86";"12,16";"1,03";;;;;
142805;"gm. Nowa Sucha";"sochaczewski";"mazowieckie";16;5;5;"74,87";"1,52";"48,33";"51,67";"0,00";"98,48";"2,60";"22,54";"4,83";"45,18";"7,99";"15,45";"1,41";;;;;
142806;"gm. Rybno";"sochaczewski";"mazowieckie";16;4;4;"73,79";"1,67";"51,52";"48,48";"0,00";"98,33";"1,86";"22,76";"3,51";"51,03";"7,79";"10,68";"2,37";;;;;
142807;"gm. Sochaczew";"sochaczewski";"mazowieckie";16;10;10;"76,61";"1,30";"66,67";"33,33";"0,00";"98,70";"1,99";"24,77";"5,18";"38,59";"7,15";"21,08";"1,24";;;;;
142808;"gm. Teresin";"sochaczewski";"mazowieckie";16;9;9;"77,98";"1,40";"50,00";"50,00";"0,00";"98,60";"2,14";"17,90";"6,49";"39,91";"8,04";"23,15";"2,37";;;;;
142901;"m. Sokołów Podlaski";"sokołowski";"mazowieckie";18;9;9;"76,20";"1,38";"48,67";"34,00";"17,33";"98,62";"1,16";"17,05";"4,61";"43,25";"8,07";"23,50";"1,95";;"0,25";;"0,16";
142902;"gm. Bielany";"sokołowski";"mazowieckie";18;4;4;"83,48";"3,39";"52,56";"39,74";"7,69";"96,61";"1,89";"11,99";"1,84";"66,26";"9,25";"6,47";"1,71";;"0,27";;"0,31";
142903;"gm. Ceranów";"sokołowski";"mazowieckie";18;3;3;"69,00";"4,06";"47,83";"36,96";"15,22";"95,94";"2,21";"12,42";"2,85";"64,77";"8,65";"6,99";"1,47";;"0,46";;"0,18";
142904;"gm. Jabłonna Lacka";"sokołowski";"mazowieckie";18;5;5;"70,57";"2,55";"56,45";"37,10";"6,45";"97,45";"1,56";"16,18";"2,95";"62,17";"6,15";"8,42";"2,36";;"0,17";;"0,04";
142905;"gm. Kosów Lacki";"sokołowski";"mazowieckie";18;7;7;"72,10";"1,87";"45,16";"41,94";"12,90";"98,13";"1,38";"13,69";"3,04";"60,75";"9,30";"9,48";"1,81";;"0,40";;"0,15";
142906;"gm. Repki";"sokołowski";"mazowieckie";18;7;7;"75,37";"1,84";"52,73";"34,55";"12,73";"98,16";"1,26";"19,93";"1,81";"61,26";"6,92";"6,47";"2,04";;"0,24";;"0,07";
142907;"gm. Sabnie";"sokołowski";"mazowieckie";18;5;5;"70,52";"2,26";"34,09";"50,00";"15,91";"97,74";"1,47";"22,61";"2,31";"53,10";"9,44";"8,97";"1,84";;"0,21";;"0,05";
142908;"gm. Sokołów Podlaski";"sokołowski";"mazowieckie";18;9;9;"74,68";"1,91";"35,82";"49,25";"14,93";"98,09";"1,25";"15,70";"3,47";"55,07";"8,97";"13,60";"1,34";;"0,29";;"0,32";
142909;"gm. Sterdyń";"sokołowski";"mazowieckie";18;6;6;"71,56";"2,80";"60,66";"29,51";"9,84";"97,20";"2,03";"20,51";"4,20";"53,89";"8,77";"8,72";"1,32";;"0,42";;"0,14";
143001;"gm. Chlewiska";"szydłowiecki";"mazowieckie";17;8;8;"65,73";"3,94";"65,83";"34,17";"0,00";"96,06";"1,74";"8,79";"4,79";"58,99";"9,13";"15,15";"1,13";"0,27";;;;
143002;"gm. Jastrząb";"szydłowiecki";"mazowieckie";17;6;6;"74,10";"2,48";"71,23";"28,77";"0,00";"97,52";"2,40";"11,00";"3,27";"57,65";"9,39";"14,79";"1,29";"0,21";;;;
143003;"gm. Mirów";"szydłowiecki";"mazowieckie";17;3;3;"68,31";"3,93";"65,38";"34,62";"0,00";"96,07";"0,79";"5,66";"2,05";"60,93";"8,02";"20,40";"1,84";"0,31";;;;
143004;"gm. Orońsko";"szydłowiecki";"mazowieckie";17;8;8;"73,04";"2,74";"65,93";"34,07";"0,00";"97,26";"2,38";"10,19";"3,68";"59,81";"8,17";"13,22";"2,32";"0,22";;;;
143005;"gm. Szydłowiec";"szydłowiecki";"mazowieckie";17;11;11;"69,44";"1,51";"63,45";"36,55";"0,00";"98,49";"1,62";"11,50";"4,47";"52,84";"8,04";"19,74";"1,54";"0,25";;;;
143201;"gm. Błonie";"warszawski zachodni";"mazowieckie";20;13;13;"79,55";"0,97";"54,26";"45,74";"0,00";"99,03";"2,02";"12,66";"7,04";"32,99";"7,10";"36,50";"1,69";;;;;
143202;"gm. Izabelin";"warszawski zachodni";"mazowieckie";20;5;5;"85,25";"0,87";"37,10";"62,90";"0,00";"99,13";"1,99";"14,37";"6,88";"31,48";"6,57";"37,00";"1,72";;;;;
143203;"gm. Kampinos";"warszawski zachodni";"mazowieckie";20;2;2;"79,44";"1,97";"39,29";"60,71";"0,00";"98,03";"2,66";"16,02";"5,93";"42,35";"6,72";"25,18";"1,15";;;;;
143204;"gm. Leszno";"warszawski zachodni";"mazowieckie";20;7;7;"78,89";"1,21";"50,00";"50,00";"0,00";"98,79";"2,16";"14,23";"7,05";"31,78";"6,83";"36,34";"1,60";;;;;
143205;"gm. Łomianki";"warszawski zachodni";"mazowieckie";20;13;13;"86,89";"0,76";"48,98";"51,02";"0,00";"99,24";"1,64";"13,86";"8,00";"25,39";"6,15";"43,50";"1,46";;;;;
143206;"gm. Ożarów Mazowiecki";"warszawski zachodni";"mazowieckie";20;21;21;"83,84";"0,78";"59,85";"40,15";"0,00";"99,22";"2,42";"15,30";"6,79";"28,91";"7,70";"37,30";"1,57";;;;;
143207;"gm. Stare Babice";"warszawski zachodni";"mazowieckie";20;8;8;"86,43";"0,87";"47,90";"52,10";"0,00";"99,13";"1,92";"14,99";"6,70";"26,18";"6,90";"41,61";"1,70";;;;;
143301;"m. Węgrów";"węgrowski";"mazowieckie";18;6;6;"76,17";"1,24";"60,44";"26,37";"13,19";"98,76";"1,27";"14,82";"5,82";"40,16";"7,40";"28,44";"1,84";;"0,11";;"0,14";
143302;"gm. Grębków";"węgrowski";"mazowieckie";18;4;4;"68,33";"2,22";"63,46";"25,00";"11,54";"97,78";"1,66";"12,76";"3,36";"61,42";"6,29";"11,80";"2,18";;"0,31";;"0,22";
143303;"gm. Korytnica";"węgrowski";"mazowieckie";18;5;5;"71,07";"3,65";"43,80";"38,84";"17,36";"96,35";"1,60";"11,99";"2,66";"64,04";"7,70";"10,33";"1,31";;"0,22";;"0,16";
143304;"gm. Liw";"węgrowski";"mazowieckie";18;11;11;"74,29";"2,06";"63,95";"23,26";"12,79";"97,94";"1,42";"12,23";"4,54";"54,66";"8,42";"16,60";"1,73";;"0,27";;"0,12";
143305;"gm. Łochów";"węgrowski";"mazowieckie";18;22;22;"76,10";"2,27";"55,00";"37,92";"7,08";"97,73";"1,73";"16,47";"4,36";"51,29";"8,71";"15,68";"1,49";;"0,11";;"0,16";
143306;"gm. Miedzna";"węgrowski";"mazowieckie";18;5;5;"74,72";"1,70";"36,84";"52,63";"10,53";"98,30";"2,09";"12,43";"3,23";"60,54";"7,69";"11,56";"2,00";;"0,18";;"0,27";
143307;"gm. Sadowne";"węgrowski";"mazowieckie";18;6;6;"72,19";"2,63";"51,72";"36,78";"11,49";"97,37";"1,80";"12,57";"3,63";"60,53";"6,70";"13,31";"1,18";;"0,06";;"0,22";
143308;"gm. Stoczek";"węgrowski";"mazowieckie";18;9;9;"72,00";"2,82";"66,67";"32,05";"1,28";"97,18";"1,82";"13,69";"3,87";"59,50";"7,62";"12,20";"0,86";;"0,15";;"0,30";
143309;"gm. Wierzbno";"węgrowski";"mazowieckie";18;4;4;"70,86";"3,31";"42,00";"48,00";"10,00";"96,69";"1,58";"10,21";"3,56";"62,88";"7,53";"12,12";"1,71";;"0,14";;"0,27";
143401;"m. Kobyłka";"wołomiński";"mazowieckie";20;15;15;"84,32";"0,85";"45,32";"54,68";"0,00";"99,15";"3,60";"15,30";"7,23";"32,96";"7,62";"31,40";"1,89";;;;;
143402;"m. Marki";"wołomiński";"mazowieckie";20;14;14;"82,86";"0,65";"50,97";"49,03";"0,00";"99,35";"3,47";"14,98";"7,45";"28,73";"8,45";"35,28";"1,64";;;;;
143403;"m. Ząbki";"wołomiński";"mazowieckie";20;15;15;"81,68";"0,82";"55,08";"44,92";"0,00";"99,18";"2,28";"15,41";"7,70";"29,32";"8,06";"35,44";"1,79";;;;;
143404;"m. Zielonka";"wołomiński";"mazowieckie";20;16;16;"84,22";"0,91";"47,62";"52,38";"0,00";"99,09";"2,63";"13,59";"7,60";"32,38";"8,13";"33,62";"2,05";;;;;
143405;"gm. Dąbrówka";"wołomiński";"mazowieckie";20;12;12;"80,93";"1,74";"59,34";"40,66";"0,00";"98,26";"2,14";"11,62";"4,43";"55,62";"7,70";"16,28";"2,20";;;;;
143406;"gm. Jadów";"wołomiński";"mazowieckie";20;10;10;"71,72";"2,55";"52,29";"47,71";"0,00";"97,45";"2,21";"15,06";"4,30";"51,25";"7,35";"18,43";"1,39";;;;;
143407;"gm. Klembów";"wołomiński";"mazowieckie";20;12;12;"78,04";"1,86";"52,46";"47,54";"0,00";"98,14";"3,04";"12,87";"6,14";"48,74";"8,41";"18,71";"2,10";;;;;
143408;"gm. Poświętne";"wołomiński";"mazowieckie";20;7;7;"75,36";"2,64";"40,40";"59,60";"0,00";"97,36";"3,04";"11,36";"4,11";"59,09";"8,65";"12,21";"1,56";;;;;
143409;"gm. Radzymin";"wołomiński";"mazowieckie";20;13;13;"80,57";"1,02";"38,55";"61,45";"0,00";"98,98";"2,42";"14,51";"6,55";"39,68";"8,43";"26,06";"2,35";;;;;
