year;pack;name;age;height;weight;caps;position
1999;spain;Andrei Kovalenco;28;180;81;11;Flyhalf
1999;spain;Sebastian Loubsens;26;179;84;4;Centre
1999;spain;Agustin Malet;32;188;102;5;Flanker
1999;spain;Alberto Malo (Captain);35;190;100;73;Flanker
1999;spain;Luis Javier Martinez;30;198;115;6;Lock
1999;spain;Alfonso Mata;26;188;93;5;Number-8
1999;spain;Franciso Puertas;36;186;86;91;Fullback
1999;spain;Oriol Ripol;24;174;73;9;Wing
1999;spain;Alberto Socias;26;187;82;9;Centre
1999;spain;Antonio Socias;29;179;82;6;Wing
1999;spain;Carlos Souto;23;190;112;15;Number-8
1999;spain;Sergio Souto;23;194;106;4;Lock
1999;spain;Victor Torres;32;185;110;11;Prop
1999;spain;Steve Tuineau;30;195;105;11;Lock
1999;spain;Ferran Velazco;23;180;80;15;Fullback
1999;spain;Jose Miguel Villau;28;195;100;32;Lock
1999;spain;Jose Ignacio Zapatero;25;182;109;15;Prop
1999;spain;Diego Zarzosa;24;179;105;10;Hooker
1999;tonga;David Edwards;28;193;101;7;Flanker
1999;tonga;Ta'u Fainga'anuku;27;189;122;2;Prop
1999;tonga;Semisi Faka'osi'folau;23;180;90;8;Wing
1999;tonga;Kuli Faletau;36;193;114;33;Lock
1999;tonga;Salesi Finau;27;190;102;5;Centre
1999;tonga;Isi Fatani;30;190;114;38;Lock
1999;tonga;Puku Faletau;30;187;112;7;Prop
1999;tonga;Benhur Kivalu;27;195;114;12;Lock
1999;tonga;Jonathan Koloi;27;187;97;9;Flanker
1999;tonga;Falamani Mafi;32;195;120;42;Lock
1999;tonga;Latiume Maka;29;182;110;6;Prop
1999;tonga;Sililo Martens;22;180;84;12;Scrumhalf
1999;tonga;Tamieni Penesini;28;180;114;5;Prop
1999;tonga;Ngalu Ta'u;30;180;115;11;Prop
1999;tonga;Epeli Taione;20;193;115;0.00;Wing
1999;tonga;Isi Tapueluelu;29;182;100;6;Fullback
1999;tonga;Tauna'holo Taufahema;30;177;85;6;Wing
1999;tonga;Fepiko Tatafu;24;185;90;16;Wing
1999;tonga;Siua Taumalolo;23;185;89;10;Flyhalf
1999;tonga;Tevita Taumoepeau;25;182;114;6;Lock
1999;tonga;Semi Taupeaafe;27;177;95;7;Wing
1999;tonga;Mat Te Pou;25;193;103;9;Flanker
1999;tonga;Tevita Tiueti;26;182;90;9;Wing
1999;tonga;Va'a Toloke;32;193;110;33;Number-8
1999;tonga;Katilimoni Tu'ipulotu;32;182;100;9;Flanker
1999;tonga;Sateki Tuipulotu;28;182;91;11;Fullback
1999;tonga;Sione Tuipulotu;22;185;95;5;Scrumhalf
1999;tonga;Elisi Vunipola;27;182;90;41;Flyhalf
1999;tonga;Fe'ao Vunipola;30;174;110;24;Hooker
1999;tonga;Brian Wooley;25;177;81;8;Flyhalf
1999;uruguay;Diego Aguirre;25;187;95;31;Flyhalf
1999;uruguay;Sebastian Aguirre;23;182;90;8;Flyhalf
1999;uruguay;Juan Alzueta;24;195;110;0.00;Lock
1999;uruguay;Juan Carlo Bado;26;195;106;32;Lock
1999;uruguay;Eduardo Berruti;31;185;113;18;Prop
1999;uruguay;Nicolas Brignoni;23;193;96;8;Flanker
1999;uruguay;Alfonso Cardoso;28;172;73;24;Fullback
