teryt;nazwa;ppp;totalp;ppp.p;OSM1;OSM2;SM1;SM2;L1;L2;typ;ppp.dens
2407;lubliniecki;13646;76768;17.78;0;0;2;0;2;0;p;6823
2408;mikołowski;18733;97689;19.18;0;0;0;0;0;0;p;66666
2409;myszkowski;11997;71396;16.80;0;0;2;0;2;0;p;5998.5
2410;pszczyński;22730;110626;20.55;0;0;0;0;0;0;p;66666
2411;raciborski;17354;108918;15.93;0;0;1;0;1;0;p;17354
2412;rybnicki;15070;77942;19.33;0;0;1;1;1;1;p;7535
2413;tarnogórski;23498;1393;16.87;0;0;1;0;1;0;p;23498
2414;bieruńsko-lędziński;11582;59550;19.45;0;0;0;0;0;0;p;66666
2415;wodzisławski;28388;157767;17.99;0;0;2;0;2;0;p;14194
2416;zawierciański;18904;119101;15.87;0;0;0;0;0;0;p;66666
2417;żywiecki;28571;153187;18.65;0;0;1;1;1;1;p;14285.5
2461;m.Bielsko-Biała;29439;171505;17.17;1;1;1;1;2;2;m;7359.75
2462;m.Bytom;26750;168394;15.89;1;1;0;0;1;1;m;13375
2463;m.Chorzów;18597;109021;17.06;0;0;1;1;1;1;m;9298.5
2464;m.Częstochowa;34146;224376;15.22;1;1;1;1;2;2;m;8536.5
2465;m.Dąbrowa Górnicza;18846;121121;15.56;1;0;1;0;2;0;m;9423
2466;m.Gliwice;29297;181309;16.16;0;0;1;2;1;2;m;9765.67
2467;m.Jastrzębie-Zdrój;15430;89590;17.22;0;0;1;1;1;1;m;7715
2468;m.Jaworzno;14914;92090;16.20;0;0;1;0;1;0;m;14914
2469;m.Katowice;43521;296262;14.69;2;1;2;1;4;2;m;7253.5
2470;m.Mysłowice;13222;74647;17.71;0;0;0;0;0;0;m;66666
2471;m.Piekary Śląskie;9094;55652;16.34;0;0;1;0;1;0;m;9094
2472;m.Ruda Śląska;24516;138578;17.69;0;0;2;2;2;2;m;6129
2473;m.Rybnik;25223;139129;18.13;0;0;1;1;1;1;m;12611.5
2474;m.Siemianowice Śląskie;10945;67523;16.21;0;0;0;0;0;0;m;66666
2475;m.Sosnowiec;29317;204013;14.37;0;0;1;1;1;1;m;14658.5
2476;m.Świętochłowice;8467;50385;16.80;0;0;0;0;0;0;m;66666
2477;m.Tychy;22126;128211;17.26;1;0;1;0;2;0;m;11063
2478;m.Zabrze;27328;174349;15.67;0;0;2;2;2;2;m;6832
2479;m.Żory;12004;62243;19.29;0;0;1;1;1;1;m;6002
2601;buski;11817;72323;16.34;0;0;1;0;1;0;p;11817
2602;jędrzejowski;15404;86560;17.80;0;0;0;0;0;0;p;66666
2603;kazimierski;5097;34049;14.97;0;0;0;0;0;0;p;66666
2604;kielecki;40047;210102;19.06;0;0;0;0;0;0;p;66666
2605;konecki;13066;81315;16.07;0;0;1;0;1;0;p;13066
2606;opatowski;8778;53028;16.55;0;0;2;0;2;0;p;4389
