teryt;nazwa;ppp;totalp;ppp.p;OSM1;OSM2;SM1;SM2;L1;L2;typ
0616000;rycki;10204;56765;17.98;0;0;0;0;0;0;p
0617000;świdnicki;12472;72412;17.22;0;0;1;0;1;0;p
0618000;tomaszowski;14126;84429;16.73;0;0;1;0;1;0;p
0619000;włodawski;6834;38853;17.59;0;0;1;0;1;0;p
0620000;zamojski;18327;107565;17.04;0;0;1;0;1;0;p
0661000;m.Biała Podlaska;10354;57545;17.99;0;0;2;2;2;2;m
0662000;m.Chełm;9806;63333;15.48;0;0;2;1;2;1;m
0663000;m.Lublin;56905;339850;16.74;1;1;4;5;5;6;m
0664000;m.Zamość;10596;64354;16.47;0;0;1;1;1;1;m
0801000;gorzowski;13923;71438;19.49;0;0;0;0;0;0;p
0802000;krośnieński;9646;55512;17.38;0;0;2;0;2;0;p
0803000;międzyrzecki;10349;58249;17.77;0;0;1;0;1;0;p
0804000;nowosolski;15859;86949;18.24;0;0;1;0;1;0;p
0805000;słubicki;8744;47068;18.58;1;0;1;0;2;0;p
0806000;strzelecko-drezdenecki;9265;49701;18.64;0;0;1;0;1;0;p
0807000;sulęciński;6575;35351;18.60;0;0;0;0;0;0;p
0808000;świebodziński;10385;56095;18.51;0;0;1;0;1;0;p
0809000;zielonogórski;13938;75558;18.45;0;0;0;0;0;0;p
0810000;żagański;13953;80114;17.42;0;0;2;1;2;1;p
0811000;żarski;17202;97487;17.65;0;0;1;0;1;0;p
0812000;wschowski;7663;39196;19.55;0;0;1;0;1;0;p
0861000;m.Gorzów Wielkopolski;21545;124295;17.33;0;0;2;1;2;1;m
0862000;m.Zielona Góra;24644;139819;17.63;0;0;1;1;1;1;m
1001000;bełchatowski;20887;113028;18.48;0;0;1;0;1;0;p
1002000;kutnowski;15396;98018;15.71;0;0;1;1;1;1;p
1003000;łaski;8537;50224;17.00;0;0;0;0;0;0;p
1004000;łęczycki;8475;50527;16.77;0;0;1;0;1;0;p
1005000;łowicki;13992;78994;17.71;0;0;2;1;2;1;p
1006000;łódzki wschodni;13271;71182;18.64;0;0;2;0;2;0;p
1007000;opoczyński;14812;76984;19.24;0;0;1;0;1;0;p
1008000;pabianicki;19601;119285;16.43;0;1;1;2;1;3;p
1009000;pajęczański;8915;51851;17.19;0;0;0;0;0;0;p
1010000;piotrkowski;17676;91301;19.36;0;0;0;0;0;0;p
1011000;poddębicki;7032;41380;16.99;0;0;1;0;1;0;p
