tytul;wydawca;date;naklad
Dziennik Łódzki;Polska Press Sp. z o.o.;2015-10-01;22418
Dziennik Polski;Polska Press Sp. z o.o.;2015-10-01;19170
Dziennik Wschodni;Corner Media Sp. z o.o.;2015-10-01;6352
Dziennik Zachodni;Polska Press Sp. z o.o.;2015-10-01;40134
Echo Dnia;Polska Press Sp. z o.o.;2015-10-01;20391
Express Bydgoski;"Express Media" Sp. z o.o.;2015-10-01;11375
Express Ilustrowany;Polska Press Sp. z o.o.;2015-10-01;29329
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2015-10-01;298962
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2015-10-01;16119
Gazeta Krakowska;Polska Press Sp. z o.o.;2015-10-01;17493
Gazeta Lubuska;Polska Press Sp. z o.o.;2015-10-01;19947
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2015-10-01;14581
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2015-10-01;25936
Gazeta Polska Codziennie;Forum SA;2015-10-01;19437
Gazeta Pomorska;Polska Press Sp. z o.o.;2015-10-01;40095
Gazeta Wrocławska;Polska Press Sp. z o.o.;2015-10-01;16438
Gazeta Współczesna;Polska Press Sp. z o.o.;2015-10-01;6139
Gazeta Wyborcza;Agora SA;2015-10-01;176878
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2015-10-01;22938
Głos Wielkopolski;Polska Press Sp. z o.o.;2015-10-01;29324
Kurier Lubelski;Polska Press Sp. z o.o.;2015-10-01;4296
Kurier Poranny;Polska Press Sp. z o.o.;2015-10-01;5576
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2015-10-01;12862
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2015-10-01;15604
Nowości - Dziennik Toruński;"Express Media" Sp. z o.o.;2015-10-01;12588
Parkiet Gazeta Giełdy;Gremi Business Communication Sp. z o.o.;2015-10-01;5416
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2015-10-01;4164
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2015-10-01;30845
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2015-10-01;13697
Rzeczpospolita;Gremi Business Communication Sp. z o.o.;2015-10-01;55273
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2015-10-01;5595
Super Express;ZPR Media SA;2015-10-01;143563
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2015-10-01;8278
Dziennik Bałtycki;Polska Press Sp. z o.o.;2015-11-01;22442
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2015-11-01;55876
Dziennik Łódzki;Polska Press Sp. z o.o.;2015-11-01;21765
Dziennik Polski;Polska Press Sp. z o.o.;2015-11-01;18634
Dziennik Wschodni;Corner Media Sp. z o.o.;2015-11-01;6102
Dziennik Zachodni;Polska Press Sp. z o.o.;2015-11-01;37588
Echo Dnia;Polska Press Sp. z o.o.;2015-11-01;19939
Express Bydgoski;"Express Media" Sp. z o.o.;2015-11-01;10895
Express Ilustrowany;Polska Press Sp. z o.o.;2015-11-01;27959
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2015-11-01;299819
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2015-11-01;15248
