teryt;exteryt;bb;center
121302;3;49.938027,19.083123 50.017660,19.210031;49.9778435,19.146577
121902;2;49.863665,20.107864 49.988589,20.316484;49.926127,20.212174
121304;3;49.850553,19.157072 49.970421,19.316145;49.910487,19.2366085
121901;2;49.921334,20.090220 49.999608,20.199715;49.960471,20.1449675
121307;2;49.959473,19.257202 50.003075,19.354617;49.981274,19.3059095
121306;2;49.961416,19.132042 50.067743,19.355173;50.0145795,19.2436075
121303;3;50.046435,19.211859 50.134193,19.291908;50.090314,19.2518835
121506;3;49.641000,19.571629 49.761389,19.798124;49.7011945,19.6848765
121507;2;49.660813,19.369976 49.795726,19.573268;49.7282695,19.471622
121509;2;49.754107,19.447256 49.801785,19.648491;49.777946,19.5478735
121610;3;49.810729,20.963912 49.964240,21.132858;49.8874845,21.048385
121604;2;49.866375,20.827665 49.964187,20.984035;49.915281,20.90585
121602;2;49.806559,20.848335 49.883918,21.043941;49.8452385,20.946138
121012;2;49.479857,20.680000 49.576584,20.821229;49.5282205,20.7506145
121601;3;49.728238,20.827735 49.819563,21.045627;49.7739005,20.936681
121011;3;49.295968,20.775773 49.443345,21.033786;49.3696565,20.9047795
121603;2;50.046544,20.939345 50.147641,21.199006;50.0970925,21.0691755
121014;2;49.547285,20.471570 49.647184,20.656778;49.5972345,20.564174
121605;3;50.041931,20.734517 50.170281,20.898910;50.106106,20.8167135
121013;3;49.370900,20.605093 49.493877,20.873715;49.4323885,20.739404
121608;2;49.931828,21.016282 50.047457,21.192906;49.9896425,21.104594
121015;2;49.438635,20.571565 49.512754,20.732426;49.4756945,20.6519955
121606;3;49.843171,21.074412 49.947216,21.288176;49.8951935,21.181294
121016;3;49.465677,20.534906 49.589081,20.734586;49.527379,20.634746
121607;2;49.746745,20.987177 49.842339,21.169783;49.794542,21.07848
121107;2;49.446875,19.527413 49.587789,19.651935;49.517332,19.589674
121101;1;49.444037,19.982509 49.534521,20.106059;49.489279,20.044284
121103;2;49.326571,19.739154 49.532042,19.954361;49.4293065,19.8467575
121102;3;49.376247,20.441332 49.473149,20.617101;49.424698,20.5292165
121105;2;49.386458,19.565178 49.623699,19.779237;49.5050785,19.6722075
121104;2;49.390577,20.223497 49.496920,20.436870;49.4437485,20.3301835
121106;2;49.411919,20.322046 49.490258,20.474246;49.4510885,20.398146
121113;2;49.543570,19.751483 49.599316,19.874950;49.571443,19.8132165
121111;2;49.511565,19.756660 49.637494,19.970382;49.5745295,19.863521
120801;2;50.354701,19.835869 50.457202,20.001691;50.4059515,19.91878
120804;2;50.391879,19.990218 50.495692,20.272868;50.4437855,20.131543
120803;2;50.428590,19.892143 50.520489,20.113975;50.4745395,20.003059
120806;2;50.297886,20.133913 50.368704,20.305327;50.333295,20.21962
120805;3;50.290157,19.938119 50.427527,20.205133;50.358842,20.071626
120807;2;50.346518,20.125560 50.426614,20.339248;50.386566,20.232404
120904;2;49.727409,19.799206 49.811301,20.052520;49.769355,19.925863
120902;2;49.617970,19.885837 49.733057,20.024807;49.6755135,19.955322
120901;3;49.821554,20.016010 49.928349,20.185277;49.8749515,20.1006435
120903;3;49.780865,19.816627 49.931434,20.074157;49.8561495,19.945392
120906;2;49.871345,19.929429 49.932144,20.049249;49.9017445,19.989339
120615;2;50.101743,19.721420 50.201584,19.898176;50.1516635,19.809798
120614;3;49.905329,19.912697 49.974028,20.007147;49.9396785,19.959922
120406;2;50.113111,21.052136 50.262541,21.182680;50.187826,21.117408
120616;2;50.062266,19.668021 50.177446,19.867374;50.119856,19.7676975
120405;2;50.160982,20.834579 50.254648,21.001108;50.207815,20.9178435
120707;2;49.633838,20.292394 49.823349,20.591559;49.7285935,20.4419765
120407;3;50.234568,20.991629 50.354898,21.222636;50.294733,21.1071325
120703;2;49.620326,20.127137 49.773599,20.291496;49.6969625,20.2093165
120506;2;49.649255,20.990130 49.745353,21.131382;49.697304,21.060756
120701;1;49.685595,20.368548 49.744392,20.452033;49.7149935,20.4102905
120501;1;49.634967,21.119046 49.698931,21.212928;49.666949,21.165987
120702;1;49.649483,20.027663 49.712694,20.131033;49.6810885,20.079348
120502;3;49.665022,21.095182 49.781613,21.330964;49.7233175,21.213073
120504;2;49.577159,21.046729 49.737440,21.254656;49.6572995,21.1506925
120704;2;49.737366,20.142684 49.831087,20.318367;49.7842265,20.2305255
120503;3;49.666754,20.882442 49.747444,21.010022;49.707099,20.946232
120706;2;49.719548,20.402379 49.801834,20.595837;49.760691,20.499108
120505;2;49.600601,21.230797 49.717218,21.362689;49.6589095,21.296743
120711;2;49.632689,20.276290 49.719073,20.389193;49.675881,20.3327415
120510;2;49.400992,20.998721 49.578711,21.347117;49.4898515,21.172919
120709;2;49.558641,19.990824 49.746504,20.242641;49.6525725,20.1167325
120508;2;49.527161,20.999404 49.621087,21.126107;49.574124,21.0627555
120708;2;49.577682,20.375470 49.673340,20.550991;49.625511,20.4632305
120507;2;49.695073,20.999930 49.770248,21.140976;49.7326605,21.070453
120710;2;49.544215,20.036732 49.650952,20.180022;49.5975835,20.108377
120509;2;49.432644,21.136078 49.641603,21.421732;49.5371235,21.278905
120712;2;49.698655,20.249460 49.760503,20.370745;49.729579,20.3101025
120603;2;50.173015,19.913954 50.283497,20.033874;50.228256,19.973914
120204;2;49.881330,20.642411 50.007416,20.792977;49.944373,20.717694
120202;3;49.913312,20.523501 50.053662,20.723222;49.983487,20.6233615
120201;2;50.003802,20.625210 50.127880,20.798169;50.065841,20.7116895
120203;3;49.788645,20.575777 49.897850,20.736200;49.8432475,20.6559885
120206;2;49.761874,20.517913 49.838298,20.634353;49.800086,20.576133
120205;2;49.852893,20.553970 49.929926,20.697983;49.8914095,20.6259765
120207;2;50.041336,20.500396 50.200804,20.764272;50.12107,20.632334
120104;2;49.797457,20.458368 49.897848,20.580444;49.8476525,20.519406
120101;1;49.937845,20.385964 50.011731,20.472446;49.974788,20.429205
120103;2;50.000461,20.340132 50.143355,20.512171;50.071908,20.4261515
120106;3;49.840998,20.380460 49.952587,20.568772;49.8967925,20.474616
120105;2;49.805656,20.232490 49.918742,20.378059;49.862199,20.3052745
121903;2;49.958850,20.209382 50.065132,20.387566;50.011991,20.298474
121905;3;49.905967,19.962879 50.045644,20.156807;49.9758055,20.059843
126101;1;49.967709,19.792305 50.126079,20.217346;50.046894,20.0048255
126201;1;49.554923,20.648407 49.665563,20.764873;49.610243,20.70664
121109;2;49.404331,19.879218 49.560140,20.229888;49.4822355,20.054553
121108;2;49.337728,20.111696 49.461003,20.337468;49.3993655,20.224582
121110;2;49.464163,20.145313 49.573189,20.470079;49.518676,20.307696
121614;3;49.761402,20.698284 49.904239,20.882845;49.8328205,20.7905645
121112;3;49.539725,19.909422 49.661018,20.039495;49.6003715,19.9744585
121612;2;50.145704,20.679384 50.242753,20.810700;50.1942285,20.745042
121114;2;49.374405,19.920194 49.460725,20.066236;49.417565,19.993215
121611;2;49.966845,20.754966 50.077616,20.917006;50.0222305,20.835986
121613;3;49.875609,20.745933 50.020066,20.882963;49.9478375,20.814448
121203;2;50.270377,19.398424 50.331883,19.546561;50.30113,19.4724925
121616;2;49.776104,21.128486 49.854670,21.348954;49.815387,21.23872
121201;1;50.224554,19.323460 50.297414,19.510849;50.260984,19.4171545
121615;3;50.049777,20.747776 50.223210,20.965227;50.1364935,20.8565015
121204;2;50.310566,19.456476 50.420304,19.684597;50.365435,19.5705365
121703;2;49.178711,20.006501 49.428411,20.190130;49.303561,20.0983155
121207;3;50.330130,19.635027 50.449721,19.854232;50.3899255,19.7446295
121701;1;49.218345,19.900473 49.333171,20.043152;49.275758,19.9718125
121206;2;50.249372,19.671738 50.345693,19.920947;50.2975325,19.7963425
121702;2;49.334934,19.940984 49.399640,20.075587;49.367287,20.0082855
121705;2;49.227122,19.899179 49.363686,20.109946;49.295404,20.0045625
121301;1;50.010227,19.177850 50.057204,19.334389;50.0337155,19.2561195
121704;2;49.192617,19.758410 49.354127,19.934124;49.273372,19.846267
121308;2;49.945006,19.335432 50.046426,19.405225;49.995716,19.3703285
121309;3;49.936551,19.390022 50.040313,19.510290;49.988432,19.450156
121405;3;50.154174,20.243139 50.257740,20.500085;50.205957,20.371612
121401;2;50.111015,20.145559 50.245187,20.282687;50.178101,20.214123
121403;3;50.113584,20.318678 50.184208,20.487547;50.148896,20.4031125
121402;2;50.133888,20.474947 50.211653,20.681539;50.1727705,20.578243
121404;2;50.231420,20.253028 50.322199,20.362146;50.2768095,20.307587
121406;2;50.219322,20.126201 50.305051,20.281586;50.2621865,20.2038935
120905;2;49.800767,20.093197 49.878695,20.247548;49.839731,20.1703725
121502;1;49.698150,19.533586 49.766939,19.621812;49.7325445,19.577699
120908;2;49.704135,19.772045 49.773730,19.960636;49.7389325,19.8663405
121501;1;49.619216,19.797725 49.678506,19.876323;49.648861,19.837024
120907;3;49.786223,19.743050 49.907082,19.873183;49.8466525,19.8081165
121504;2;49.571751,19.619409 49.669875,19.811972;49.620813,19.7156905
120909;2;49.730584,20.030703 49.828783,20.153739;49.7796835,20.092221
121503;2;49.738554,19.617498 49.831750,19.804224;49.785152,19.710861
121001;1;49.594096,20.905474 49.635748,21.009086;49.614922,20.95728
121508;2;49.572154,19.467784 49.698733,19.676014;49.6354435,19.571899
121008;2;49.435769,20.762664 49.549433,20.966216;49.492601,20.86444
121006;2;49.629493,20.725439 49.766049,20.949751;49.697771,20.837595
121004;2;49.522391,20.809325 49.688807,21.058469;49.605599,20.933897
121003;2;49.694137,20.645966 49.806853,20.828395;49.750495,20.7371805
121005;2;49.539289,20.743398 49.622821,20.919163;49.581055,20.8312805
121007;3;49.358478,20.875102 49.532229,21.104104;49.4453535,20.989603
121010;2;49.679333,20.525872 49.796343,20.721242;49.737838,20.623557
121009;2;49.464765,20.356067 49.621067,20.567958;49.542916,20.4620125
120601;2;49.974814,19.558274 50.065531,19.762648;50.0201725,19.660461
120602;2;50.053435,20.184929 50.160414,20.353766;50.1069245,20.2693475
120605;2;50.106468,20.026910 50.206408,20.204161;50.156438,20.1155355
120604;2;50.161124,19.644391 50.261987,19.809154;50.2115555,19.7267725
120609;2;49.898521,19.828911 49.981972,19.945143;49.9402465,19.887027
120607;2;49.978788,19.661106 50.093425,19.828687;50.0361065,19.7448965
120606;3;50.061785,19.521191 50.201965,19.716365;50.131875,19.618778
120608;2;50.107885,19.920656 50.197199,20.063093;50.152542,19.9918745
120617;2;50.100184,19.856741 50.184387,20.031625;50.1422855,19.944183
120610;3;50.172567,19.782406 50.280157,19.934985;50.226362,19.8586955
120611;3;49.885189,19.652196 49.996982,19.868646;49.9410855,19.760421
120613;2;50.217414,19.673048 50.299703,19.834351;50.2585585,19.7536995
120108;2;49.777397,20.327758 49.882456,20.426795;49.8299265,20.3772765
120107;2;49.953875,20.459257 50.081968,20.632079;50.0179215,20.545668
120109;2;49.780060,20.381359 49.848836,20.476981;49.814448,20.42917
120302;2;50.023243,19.358530 50.104263,19.534410;50.063753,19.44647
120301;3;50.012053,19.461849 50.118435,19.628917;50.065244,19.545383
120303;3;50.078752,19.270483 50.199915,19.499409;50.1393335,19.384946
120304;3;50.042621,19.259178 50.132761,19.377492;50.087691,19.318335
120305;3;50.103467,19.387432 50.229052,19.588696;50.1662595,19.488064
120404;2;50.243076,20.906981 50.316039,21.029492;50.2795575,20.9682365
120401;2;50.236529,20.827972 50.306684,20.931929;50.2716065,20.8799505
120402;3;50.106702,20.931422 50.250993,21.110868;50.1788475,21.021145
120403;2;50.208398,20.727199 50.290356,20.847300;50.249377,20.7872495
140704;2;51.656996,21.117589 51.799293,21.346100;51.7281445,21.2318445
140705;3;51.503766,21.363079 51.705952,21.698599;51.604859,21.530839
143203;2;52.218711,20.312348 52.331086,20.523356;52.2748985,20.417852
143202;2;52.279575,20.675793 52.350636,20.888667;52.3151055,20.78223
143204;2;52.225754,20.469175 52.333720,20.732729;52.279737,20.600952
143205;3;52.313302,20.801813 52.379323,20.925832;52.3463125,20.8638225
143207;2;52.228862,20.691210 52.306090,20.894017;52.267476,20.7926135
143206;3;52.182183,20.661913 52.247412,20.875278;52.2147975,20.7685955
143306;2;52.434331,21.970839 52.574447,22.182227;52.504389,22.076533
143302;2;52.209517,21.833903 52.347490,22.076785;52.2785035,21.955344
143301;1;52.361116,21.970201 52.440519,22.089079;52.4008175,22.02964
143303;2;52.346474,21.665407 52.493365,21.950053;52.4199195,21.80773
143305;3;52.467777,21.564581 52.643247,21.855121;52.555512,21.709851
143308;2;52.475933,21.793873 52.609808,22.008835;52.5428705,21.901354
143307;2;52.582915,21.709690 52.702971,22.002684;52.642943,21.856187
142510;3;51.229239,21.124826 51.386329,21.366259;51.307784,21.2455425
142513;2;51.397143,20.913888 51.498280,21.128931;51.4477115,21.0214095
142512;2;51.331329,20.838213 51.433797,21.067054;51.382563,20.9526335
142601;2;52.001473,22.067907 52.085464,22.226831;52.0434685,22.147369
142607;2;52.209946,22.491392 52.332834,22.730048;52.27139,22.61072
142603;2;52.090642,21.900325 52.231762,22.163208;52.161202,22.0317665
142602;2;52.307930,22.509798 52.410534,22.740658;52.359232,22.625228
142604;2;52.189456,22.042275 52.338237,22.217674;52.2638465,22.1299745
142605;3;52.120080,22.372891 52.272435,22.647386;52.1962575,22.5101385
142606;2;52.240640,22.350254 52.335213,22.544565;52.2879265,22.4474095
142611;2;51.996004,22.195054 52.125643,22.387559;52.0608235,22.2913065
142609;2;52.035929,21.978164 52.170541,22.210887;52.103235,22.0945255
142608;2;52.109753,22.138170 52.234207,22.438941;52.17198,22.2885555
142610;2;52.215148,22.197657 52.317455,22.380404;52.2663015,22.2890305
142613;2;52.014160,22.339013 52.174265,22.669148;52.0942125,22.5040805
141905;3;52.651881,19.819190 52.781982,20.074135;52.7169315,19.9466625
141908;2;52.383102,19.969746 52.516992,20.204802;52.450047,20.087274
141907;2;52.401583,19.531956 52.507044,19.721151;52.4543135,19.6265535
141909;2;52.490384,19.319568 52.611446,19.667399;52.550915,19.4934835
141914;2;52.588574,19.891573 52.696781,20.166823;52.6426775,20.029198
141912;2;52.461287,19.728626 52.556230,19.923787;52.5087585,19.8262065
141911;2;52.327317,19.832050 52.462343,20.002255;52.39483,19.9171525
141913;2;52.553078,19.545356 52.683079,19.757900;52.6180785,19.651628
141915;3;52.379257,20.019758 52.516562,20.251821;52.4479095,20.1357895
142006;2;52.520091,20.495305 52.647782,20.629656;52.5839365,20.5624805
142005;2;52.533018,20.147552 52.672915,20.318043;52.6029665,20.2327975
142007;2;52.459031,20.188150 52.582239,20.461530;52.520635,20.32484
142012;2;52.444213,20.433773 52.587924,20.607229;52.5160685,20.520501
142010;2;52.668145,19.962745 52.896482,20.264335;52.7823135,20.11354
142009;2;52.555429,20.287022 52.698784,20.523014;52.6271065,20.405018
141310;2;52.983800,20.207678 53.111554,20.413307;53.047677,20.3104925
141302;2;53.087001,20.526976 53.269529,20.728663;53.178265,20.6278195
141301;1;53.090946,20.324506 53.177535,20.437986;53.1342405,20.381246
141306;2;52.949403,20.334749 53.069899,20.553596;53.009651,20.4441725
141304;2;52.872524,20.025523 52.995541,20.248728;52.9340325,20.1371255
141303;2;53.041661,20.115015 53.155774,20.356650;53.0987175,20.2358325
141305;2;52.840744,20.138198 53.013012,20.457587;52.926878,20.2978925
141308;2;53.022451,20.390508 53.144737,20.596282;53.083594,20.493395
141307;2;52.970331,20.035578 53.088719,20.263917;53.029525,20.1497475
141309;2;53.134819,20.376331 53.246760,20.609242;53.1907895,20.4927865
141405;2;52.435098,20.626231 52.549780,20.903005;52.492439,20.764618
141403;2;52.285082,20.397586 52.429286,20.632161;52.357184,20.5148735
141401;1;52.406364,20.616902 52.462139,20.766678;52.4342515,20.69179
141402;2;52.311334,20.596597 52.431622,20.828398;52.371478,20.7124975
141404;3;52.499459,20.604522 52.646610,20.930427;52.5730345,20.7674745
143604;2;51.292944,21.351596 51.371807,21.543730;51.3323755,21.447663
143602;2;51.377570,21.550027 51.500842,21.787704;51.439206,21.6688655
143601;2;51.220763,21.325469 51.314799,21.563162;51.267781,21.4443155
143603;2;51.262172,21.639918 51.403578,21.860111;51.332875,21.7500145
143605;3;51.264311,21.445074 51.425235,21.707045;51.344773,21.5760595
140805;2;52.410219,20.758925 52.490224,21.004706;52.4502215,20.8818155
140803;2;52.337350,20.958983 52.478149,21.120836;52.4077495,21.0399095
140801;1;52.384834,20.898604 52.424962,20.980025;52.404898,20.9393145
140802;2;52.354020,20.737018 52.433199,21.004378;52.3936095,20.870698
140804;3;52.456247,20.891892 52.566223,21.150111;52.511235,21.0210015
140906;2;51.037330,21.646066 51.193626,21.802998;51.115478,21.724532
140905;2;51.013112,21.381750 51.188153,21.630164;51.1006325,21.505957
140901;2;51.179234,21.639982 51.304698,21.821718;51.241966,21.73085
140902;2;51.183094,21.394193 51.295246,21.691277;51.23917,21.542735
143309;2;52.250418,21.723770 52.372894,21.974050;52.311656,21.84891
140103;2;51.511536,20.757368 51.612069,20.927846;51.5618025,20.842607
140101;3;51.575303,20.879956 51.693267,21.048745;51.634285,20.9643505
140102;2;51.636954,20.762908 51.753797,21.029326;51.6953755,20.896117
140105;2;51.575352,21.021930 51.733730,21.242962;51.654541,21.132446
140104;2;51.488234,20.898179 51.601498,21.117625;51.544866,21.007902
140106;3;51.539368,20.643590 51.656556,20.930128;51.597962,20.786859
140202;2;52.806570,20.390131 52.929439,20.703621;52.8680045,20.546876
140201;1;52.836110,20.560641 52.906052,20.669141;52.871081,20.614891
140208;2;52.898602,20.440817 52.995919,20.726476;52.9472605,20.5836465
140204;2;52.756434,20.696038 52.878685,20.940681;52.8175595,20.8183595
140203;3;52.730179,20.211943 52.867878,20.487033;52.7990285,20.349488
140206;2;52.700447,20.429162 52.832131,20.636324;52.766289,20.532743
140205;2;52.975849,20.537060 53.104802,20.695832;53.0403255,20.616446
142612;2;51.973184,21.867838 52.093181,22.086424;52.0331825,21.977131
142701;1;52.830319,19.622423 52.876145,19.707969;52.853232,19.665196
142705;2;52.760781,19.508759 52.903862,19.786800;52.8323215,19.6477795
142703;2;52.685965,19.423008 52.867128,19.638153;52.7765465,19.5305805
142702;2;52.676779,19.587678 52.798872,19.828597;52.7378255,19.7081375
142704;2;52.847259,19.649999 52.973846,19.885369;52.9105525,19.767684
142707;2;52.728031,19.757861 52.909386,20.000995;52.8187085,19.879428
142706;2;52.867461,19.444664 52.990271,19.696153;52.928866,19.5704085
142906;2;52.313728,22.306054 52.439475,22.564640;52.3766015,22.435347
142904;2;52.415578,22.331803 52.586838,22.554234;52.501208,22.4430185
142902;2;52.288217,22.076025 52.384979,22.367636;52.336598,22.2218305
142901;1;52.388197,22.192143 52.440267,22.275888;52.414232,22.2340155
142903;2;52.586147,22.108114 52.702485,22.349895;52.644316,22.2290045
142905;3;52.497770,21.974121 52.693245,22.241999;52.5955075,22.10806
142908;2;52.342487,22.081324 52.510164,22.341241;52.4263255,22.2112825
142907;2;52.432272,22.185362 52.547692,22.405217;52.489982,22.2952895
142011;2;52.610062,20.371128 52.739389,20.614048;52.6747255,20.492588
142008;2;52.579041,20.560720 52.725509,20.731461;52.652275,20.6460905
141406;3;52.416093,20.481763 52.532533,20.676096;52.474313,20.5789295
142004;2;52.381137,20.222414 52.488207,20.497473;52.434672,20.3599435
141504;2;52.798218,21.418183 52.991077,21.693666;52.8946475,21.5559245
142002;1;52.768822,20.091748 52.796647,20.149191;52.7827345,20.1204695
141502;2;53.278107,21.053888 53.399162,21.260920;53.3386345,21.157404
142001;1;52.604756,20.332274 52.648156,20.393742;52.626456,20.363008
141501;2;53.095944,21.146855 53.287339,21.382364;53.1916415,21.2646095
142003;2;52.634780,20.148856 52.787663,20.395026;52.7112215,20.271941
141503;2;52.895836,21.617097 53.008976,21.960430;52.952406,21.7887635
142101;1;52.173327,20.825440 52.197814,20.867173;52.1855705,20.8463065
141510;2;52.965710,21.488903 53.145113,21.775197;53.0554115,21.63205
142102;1;52.148071,20.753164 52.195955,20.844862;52.172013,20.799013
141506;2;53.099306,21.376491 53.248420,21.707124;53.173863,21.5418075
142105;2;52.000576,20.717768 52.128257,20.875707;52.0644165,20.7967375
141505;2;53.159054,21.272663 53.340928,21.660139;53.249991,21.466401
141507;2;53.260495,21.431079 53.480948,21.735427;53.3707215,21.583253
142104;2;52.114998,20.760492 52.185858,20.919233;52.150428,20.8398625
141508;3;53.269424,21.200108 53.450279,21.501202;53.3598515,21.350655
142106;2;52.087638,20.837752 52.171424,20.989044;52.129531,20.913398
141509;2;52.984240,21.227538 53.144726,21.562002;53.064483,21.39477
142201;1;52.988588,20.844065 53.048421,20.925972;53.0185045,20.8850185
141511;2;52.975551,21.626163 53.115219,21.941113;53.045385,21.783638
142204;2;53.059454,20.898734 53.261149,21.214278;53.1603015,21.056506
141604;3;52.659335,21.693032 52.755775,21.968275;52.707555,21.8306535
142202;3;53.182184,20.674445 53.363090,21.203156;53.272637,20.9388005
141602;2;52.776715,22.035731 52.886130,22.309135;52.8314225,22.172433
141601;1;52.778372,21.844754 52.835804,21.937430;52.807088,21.891092
141603;2;52.661864,22.328248 52.795458,22.460729;52.728661,22.3944885
140903;3;51.069451,21.507289 51.228931,21.735076;51.149191,21.6211825
140904;2;51.058281,21.311086 51.187609,21.483734;51.122945,21.39741
143410;2;52.339656,21.511817 52.463658,21.720472;52.401657,21.6161445
143404;1;52.256176,21.122346 52.326542,21.459358;52.291359,21.290852
143402;1;52.303247,21.077782 52.370761,21.162152;52.337004,21.119967
143401;1;52.313686,21.155377 52.366358,21.242181;52.340022,21.198779
143403;1;52.273994,21.083569 52.310976,21.141469;52.292485,21.112519
143408;2;52.286700,21.299858 52.382752,21.536450;52.334726,21.418154
143406;2;52.420794,21.506771 52.556134,21.737855;52.488464,21.622313
143405;2;52.445350,21.137627 52.533667,21.404755;52.4895085,21.271191
143407;2;52.363525,21.226832 52.461080,21.430176;52.4123025,21.328504
143409;3;52.349165,21.064565 52.518755,21.289039;52.43396,21.176802
143411;3;52.346907,21.371037 52.477392,21.560690;52.4121495,21.4658635
143412;3;52.305866,21.188357 52.392929,21.347238;52.3493975,21.2677975
140207;2;52.851321,20.632620 52.998637,20.850799;52.924979,20.7417095
140209;2;52.699365,20.598356 52.833966,20.840656;52.7666655,20.719506
140306;2;51.742842,21.474795 51.850254,21.686878;51.796548,21.5808365
140302;1;51.759354,21.562900 51.811673,21.653747;51.7855135,21.6083235
140301;1;51.868216,21.571658 51.923752,21.674733;51.895984,21.6231955
140304;2;51.829041,21.413847 51.952817,21.695191;51.890929,21.554519
140303;2;51.910193,21.661781 51.995564,21.892902;51.9528785,21.7773415
140305;2;51.796072,21.638625 51.924896,21.790860;51.860484,21.7147425
140312;2;51.612046,21.647228 51.769598,21.903329;51.690822,21.7752785
140308;2;51.842281,21.738844 51.945420,21.912850;51.8938505,21.825847
140307;2;51.617562,21.410332 51.786848,21.673663;51.702205,21.5419975
140309;2;51.935426,21.576783 52.028646,21.745694;51.982036,21.6612385
140310;3;51.925635,21.444225 52.041087,21.636313;51.983361,21.540269
140311;2;51.687230,21.594350 51.806770,21.787317;51.747,21.6908335
140314;3;51.759534,21.764189 51.846076,21.956505;51.802805,21.860347
142909;2;52.522684,22.204199 52.655821,22.449228;52.5892525,22.3267135
142801;1;52.191075,20.188423 52.281462,20.300683;52.2362685,20.244553
142805;2;52.114652,20.078554 52.210267,20.318992;52.1624595,20.198773
142803;2;52.261551,19.936113 52.419094,20.132316;52.3403225,20.0342145
142802;2;52.275031,20.216847 52.391198,20.423953;52.3331145,20.3204
142804;2;52.253387,20.088144 52.386639,20.277431;52.320013,20.1827875
142806;2;52.176373,20.016777 52.289295,20.176879;52.232834,20.096828
142808;2;52.129818,20.301046 52.245814,20.490674;52.187816,20.39586
143004;2;51.275869,20.859569 51.367549,21.039297;51.321709,20.949433
143002;2;51.187139,20.894500 51.282755,21.023706;51.234947,20.959103
143001;2;51.148969,20.610359 51.319186,20.849618;51.2340775,20.7299885
143003;2;51.144452,20.941321 51.230741,21.075029;51.1875965,21.008175
143005;3;51.145335,20.722567 51.343245,20.938390;51.24429,20.8304785
143201;3;52.157304,20.474648 52.254139,20.678663;52.2057215,20.5766555
142203;2;52.970659,20.664530 53.105896,20.857110;53.0382775,20.76082
142206;2;53.086593,20.688110 53.234476,20.983582;53.1605345,20.835846
142205;2;52.864115,20.773810 52.979321,21.017582;52.921718,20.895696
142207;2;52.936485,20.800713 53.114601,21.038517;53.025543,20.919615
142304;2;51.481899,20.415104 51.616911,20.597000;51.549405,20.506052
142302;2;51.331342,20.416749 51.463072,20.589529;51.397207,20.503139
142301;2;51.251542,20.606960 51.357230,20.783969;51.304386,20.6954645
142303;2;51.449463,20.568773 51.583662,20.710591;51.5165625,20.639682
141608;2;52.855221,21.831311 52.980504,22.028794;52.9178625,21.9300525
142305;2;51.427326,20.668638 51.552237,20.798721;51.4897815,20.7336795
141606;2;52.609391,22.208579 52.748292,22.473925;52.6788415,22.341252
142308;2;51.313740,20.680354 51.421888,20.886921;51.367814,20.7836375
141605;2;52.621575,21.912012 52.780217,22.134928;52.700896,22.02347
142307;2;51.394021,20.515734 51.492859,20.675895;51.44344,20.5958145
141607;2;52.698207,21.650875 52.915778,22.085225;52.8069925,21.86805
142401;2;52.684945,20.777360 52.809906,21.010393;52.7474255,20.8938765
141610;2;52.779361,21.590411 52.909041,21.804400;52.844201,21.6974055
142403;2;52.534232,20.967615 52.677955,21.140068;52.6060935,21.0538415
141609;2;52.712880,22.178736 52.803599,22.311017;52.7582395,22.2448765
142402;2;52.666831,21.109734 52.779769,21.353451;52.7233,21.2315925
141611;2;52.692136,22.037286 52.799791,22.227085;52.7459635,22.1321855
141706;2;51.901881,21.341365 52.008788,21.514425;51.9553345,21.427895
141702;1;52.083406,21.210347 52.148731,21.368350;52.1160685,21.2893485
141701;1;52.098233,21.164953 52.158909,21.275165;52.128571,21.220059
141703;2;51.969969,21.311882 52.111813,21.483287;52.040891,21.3975845
141704;3;51.976265,21.204999 52.092842,21.353218;52.0345535,21.2791085
141705;2;51.994990,21.399886 52.123242,21.580083;52.059116,21.4899845
141708;2;52.102730,21.240229 52.228226,21.483013;52.165478,21.361621
141707;2;51.869736,21.235858 52.001529,21.427164;51.9356325,21.331511
143501;2;52.598368,21.485081 52.728902,21.773024;52.663635,21.6290525
143503;2;52.628061,21.273183 52.790610,21.494692;52.7093355,21.3839375
143502;2;52.691137,21.442502 52.839810,21.717890;52.7654735,21.580196
143504;2;52.509370,21.117752 52.638739,21.388942;52.5740545,21.253347
143505;3;52.522546,21.327051 52.656239,21.610399;52.5893925,21.468725
143506;2;52.462888,21.305862 52.541625,21.579539;52.5022565,21.4427005
143702;2;53.036529,19.924798 53.168117,20.137931;53.102323,20.0313645
143701;3;52.901466,19.817119 53.016013,20.058401;52.9587395,19.93776
143704;2;52.932046,19.665264 53.071629,19.874912;53.0018375,19.770088
143703;2;53.036734,19.634240 53.213158,19.974189;53.124946,19.8042145
143705;2;52.819882,19.927404 52.950065,20.147795;52.8849735,20.0375995
143706;3;52.996651,19.734340 53.100431,20.077635;53.048541,19.9059875
143803;2;51.912276,20.198400 52.055331,20.458432;51.9838035,20.328416
141001;2;52.063526,22.698293 52.185769,22.968244;52.1246475,22.8332685
141004;2;52.200100,22.673726 52.383983,22.902603;52.2920415,22.7881645
141002;3;52.152280,22.632576 52.283170,22.845332;52.217725,22.738954
141003;2;52.090861,22.561808 52.199471,22.766604;52.145166,22.664206
141006;2;52.117127,22.835624 52.250741,23.072457;52.183934,22.9540405
141005;2;52.214318,22.805613 52.374478,23.128409;52.294398,22.967011
141107;3;52.826739,21.286158 52.949282,21.468877;52.8880105,21.3775175
141101;1;52.841296,21.068084 52.882116,21.118126;52.861706,21.093105
