M;R1;041102;RUCIŃSKI Artur;Komitet Wyborczy Prawo i Sprawiedliwość;1203;68.04;;Tak
M;R1;041104;IZYDORSKI Jerzy Janusz;Komitet Wyborczy Wyborców Porozumienie Samorządowe;2455;60.44;;Tak
M;R1;041105;BOGUCKI Sławomir Henryk;Komitet Wyborczy Wyborców "Idźmy Razem";2738;63.56;;Tak
M;R1;041106;SZUSZMAN Marek;Komitet Wyborczy Polskie Stronnictwo Ludowe;1092;57.63;;Tak
M;R1;041201;GRZYBOWSKI Paweł;Komitet Wyborczy Prawo i Sprawiedliwość;5592;81.09;;Tak
M;R1;041203;NOWAKOWSKA Barbara Krystyna;Komitet Wyborczy Wyborców Barbary Nowakowskiej;1154;50.39;;Tak
M;R1;041204;TYBURSKI Janusz;Komitet Wyborczy Wyborców Gmina Nasz Dom;1984;66.51;;Tak
M;R1;041205;KOLCZYŃSKI Dariusz;Komitet Wyborczy Wyborców Nasza Społeczność;2165;81.70;;Tak
S;R1;041301;GŁOMSKI Wojciech;Komitet Wyborczy Wyborców Przymierze Społeczne dla Krajny;1701;100.00;;Tak
M;R1;041302;STUPAŁKOWSKI Waldemar Edward;Komitet Wyborczy Wyborców Przymierze Społeczne dla Krajny;3484;65.13;;Tak
M;R1;041303;STROIŃSKI Leszek Stanisław;Komitet Wyborczy Polskie Stronnictwo Ludowe;899;52.54;;Tak
S;R1;041401;LICZNERSKI Adam;Komitet Wyborczy Wyborców Wspólnota w Bukowcu;1161;100.00;;Tak
M;R1;041405;TOPOLIŃSKA Zofia Maria;Komitet Wyborczy Wyborców Samorządni Lniano;1090;64.34;;Tak
M;R1;041406;WOLIŃSKI Czesław;Komitet Wyborczy Wyborców "Teraz Nowe";2485;89.61;;Tak
S;R1;041407;GRABSKI Michał Joachim;Komitet Wyborczy Wyborców "Forum Samorządowe Gminy Osie";1537;100.00;;Tak
M;R1;041409;POGODA Tadeusz Grzegorz;Komitet Wyborczy Obywatelskie Porozumienie Samorządowe;5564;54.26;;Tak
S;R1;041410;TOPOLIŃSKI Marek;Komitet Wyborczy Wyborców Wspólnota Gminy Świekatowo;1044;100.00;;Tak
M;R1;041411;MICHALAK Krzysztof;Komitet Wyborczy Wyborców Gospodarna Gmina Warlubie;1297;51.76;;Tak
S;R1;041501;CZERWIŃSKI Jerzy Tadeusz;Komitet Wyborczy Wyborców Ruch Samorządowy dla Chełmży;2892;100.00;;Tak
S;R1;041502;CZARNECKI Jacek Jerzy;Komitet Wyborczy Wyborców "Wieś";2899;100.00;;Tak
S;R1;041503;GAWROŃSKI Zdzisław;Komitet Wyborczy Wyborców "Ruch Samorządowy Czernikowo";2520;100.00;;Tak
S;R1;041504;OLSZEWSKI Marek Karol;Komitet Wyborczy Wyborców "Wspólnota";3844;100.00;;Tak
M;R1;041505;ZAJĄKAŁA Jerzy;Komitet Wyborczy Wyborców Jerzego Zająkała;1699;64.40;;Tak
M;R1;041506;KOWAL Piotr Franciszek;Komitet Wyborczy Wyborców Porozumienie Samorządowe Łysomice;2327;63.27;;Tak
M;R1;041507;WIECZYŃSKI Andrzej;Komitet Wyborczy Wyborców Nasza Gmina Obrowo;4067;70.95;;Tak
M;R1;041508;KACZMAREK Kazimierz;Komitet Wyborczy Nieszawskie Stowarzyszenie Samorządowe "Wspólne Gniazdo";1127;62.40;;Tak
S;R1;041601;BRYGMAN Jacek Adam;Komitet Wyborczy Wyborców "Dla Rozwoju Gminy Cekcyn";1980;100.00;;Tak
M;R1;041602;KUCHARSKI Ireneusz;Komitet Wyborczy Wyborców Twoja Gmina;1101;50.53;;Tak
S;R1;041603;JANUSZEWSKI Radosław Adam;Komitet Wyborczy Wyborców Razem dla Gminy Kęsowo;1149;100.00;;Tak
M;R1;041605;KOŻUCH Daniel Jan;Komitet Wyborczy Wyborców Nasza Gmina Śliwice;1992;73.32;;Tak
M;R1;041606;KOWALSKI Tadeusz Henryk;Komitet Wyborczy Wyborców Porozumienie Samorządowe dla Tucholi;5063;76.04;;Tak
M;R1;041701;KAWSKI Leszek;Komitet Wyborczy Wyborców Przymierze Obywatelskie 2014;3139;61.15;;Tak
S;R1;041702;SZAROWSKI Stanisław;Komitet Wyborczy Wyborców Nasza Gmina Dębowa Łąka;522;100.00;;Tak
M;R1;041703;DUTKIEWICZ Jerzy Jan;Komitet Wyborczy Wyborców Odnowa Książki;987;54.96;;Tak
M;R1;041704;SKONIECZKA Marcin Seweryn;Komitet Wyborczy Wyborców Dla Rozwoju Gminy Płużnica;1185;57.16;;Tak
M;R1;041705;ŁUKASIK Władysław Józef;Komitet Wyborczy Wyborców "Gmina dla Mieszkańców";2466;81.25;;Tak
M;R1;041801;GOŁEMBIEWSKI Eugeniusz;Komitet Wyborczy Wyborców Razem dla Kowala;1231;61.24;;Tak
M;R1;041802;SADOWSKI Stanisław Bernard;Komitet Wyborczy Wyborców "Razem z ludźmi i dla ludzi";1360;78.84;;Tak
M;R1;041803;KLIMKIEWICZ Marek;Komitet Wyborczy Polskie Stronnictwo Ludowe;1088;64.99;;Tak
M;R1;041804;ZAWIDZKI Wojciech Bolesław;Komitet Wyborczy Wyborców Brzeska Wspólnota Samorządowa;2286;52.78;;Tak
M;R1;041805;NOWAKOWSKI Roman;Komitet Wyborczy Wyborców Niezależna Grupa Samorządowa Gminy Choceń;1830;52.63;;Tak
M;R1;041809;ADAMCZYK Stanisław;Komitet Wyborczy Wyborców Porozumienie Samorządowe "Ponad Podziałami";1131;65.45;;Tak
M;R1;041811;WILIŃSKI Marek;Komitet Wyborczy Wyborców Porozumienie Samorządowe Miasta i Gminy Lubień Kujawski;2021;56.77;;Tak
M;R1;041813;BRASZKIEWICZ Ewa;Komitet Wyborczy Wyborców Porozumienie Samorządowe "Ponad Podziałami";1573;50.47;;Tak
M;R1;041901;PĘZIAK Michał Feliks;Komitet Wyborczy Wyborców Ponad Podziałami Wraz z Mieszkańcami;3235;61.19;;Tak
M;R1;041902;ŁABĘDZKI Błażej;Komitet Wyborczy Wyborców Gmina Gąsawa Wspólne Dobro;1399;54.44;;Tak
M;R1;041903;SOBCZAK Maciej Franciszek;Komitet Wyborczy Wyborców Nasze Miasto i Gmina;2141;53.42;;Tak
S;R1;041904;KACZMAREK Jacek Idzi;Komitet Wyborczy Wyborców Mała Ojczyzna w Łabiszynie;2925;100.00;;Tak
M;R1;041905;SOSNOWSKI Józef;Komitet Wyborczy Polskie Stronnictwo Ludowe;1713;56.40;;Tak
M;R1;046201;MALINOWSKI Robert;Komitet Wyborczy Platforma Obywatelska RP;16048;52.53;;Tak
M;R1;046301;ZALESKI Michał Franciszek;Komitet Wyborczy Wyborców Michał Zaleski- Czas Gospodarzy;42756;70.27;;Tak
S;R1;060102;DANIELUK Jacek;Komitet Wyborczy Wyborców Porozumienie Samorządowe Terespola;2158;100.00;;Tak
M;R1;060103;PANASIUK Wiesław Marian;Komitet Wyborczy Polskie Stronnictwo Ludowe;2914;55.35;;Tak
M;R1;060104;KAZIMIERSKI Piotr;Komitet Wyborczy Wyborców Dla Dobra Wszystkich;1714;72.91;;Tak
M;R1;060105;HURA Jacek Mariusz;Komitet Wyborczy Polskie Stronnictwo Ludowe;1324;57.79;;Tak
M;R1;060107;MURAWSKI Romuald Andrzej;Komitet Wyborczy Polskie Stronnictwo Ludowe;1069;61.16;;Tak
M;R1;060110;ADAMOWICZ Krzysztof;Komitet Wyborczy Wyborców Krzysztof Adamowicz;3185;65.90;;Tak
M;R1;060112;SZEWCZUK Jacek;Komitet Wyborczy Wyborców Gmina Rokitno Wspólny Dom;788;52.39;;Tak
M;R1;060113;WEREMKOWICZ Kazimierz Eugeniusz;Komitet Wyborczy Polskie Stronnictwo Ludowe;763;67.76;;Tak
