urzad;teryt;razem;razemKobiety;wiek;PSL;PiS;PO;SLD;PP;NP;teryt.bis;xteryt;name;areaH;areaKm;popThs;popKm;rankA;rankP;type;bb;center;terytDup;uprawnieni;glosy;glosyNW;glosyLK;PSL;PiS;SLD;PO;ognw;PSLp;PiSp;SLDp;POp
Wójt Gminy Pawłosiów;180406;2;0;45.50;0;1;0;0;0;1;180406;2;Pawłosiów;4742;47;8467;179;2039;1043;gw;49.969287,22.551066 50.043617,22.698282;50.006452,22.624674;180406;6856;3260;728;3185;598;1609;286;437;18.25000;18.34;49.36;8.77;13.40
Burmistrz Miasta Wałcz;321701;7;2;44.71;0;1;1;0;0;5;321701;1;Wałcz;3817;38;25533;669;2103;240;gm;53.238534,16.372259 53.306863,16.526663;53.2726985,16.449461;321701;20626;7828;1993;7312;1563;1196;905;3210;20.29000;19.97;15.28;11.56;41.01
Burmistrz Wieruszowa;101807;3;1;48.00;0;1;0;0;0;2;101807;3;Wieruszów;9720;97;14304;147;1432;549;gmw;51.255459,18.074521 51.391401,18.252555;51.32343,18.163538;101807;11564;5099;983;4977;1603;566;549;2065;16.16000;31.44;11.10;10.77;40.50
Wójt Gminy Puńsk;200904;1;0;50.00;0;0;0;0;0;1;200904;2;Puńsk;13859;139;4193;30;799;1935;gw;54.169867,23.108707 54.297005,23.359220;54.233436,23.2339635;200904;3561;1603;274;1576;310;54;9;1158;14.60000;19.34;3.37;0.56;72.24
Wójt Gminy Miączyn;062006;2;0;50.50;1;1;0;0;0;0;062006;2;Miączyn;15607;156;5874;38;626;1521;gw;50.675983,23.433463 50.802796,23.671353;50.7393895,23.552408;062006;5002;1854;496;1837;1221;396;81;59;21.11000;65.86;21.36;4.37;3.18
Burmistrz Gminy Alwernia;120301;4;2;46.25;0;1;0;0;0;3;120301;3;Alwernia;7417;74;12641;170;1789;651;gmw;50.012053,19.461849 50.118435,19.628917;50.065244,19.545383;120301;10415;4137;1255;3947;1254;937;324;1038;23.28000;30.31;22.65;7.83;25.09
Burmistrz Kołaczyc;180505;2;1;60.50;0;1;0;0;0;1;180505;3;Kołaczyce;6110;61;8964;147;1941;980;gmw;49.774413,21.409067 49.840546,21.560157;49.8074795,21.484612;180505;7177;3134;669;3084;769;1641;122;344;17.59000;24.54;52.36;3.89;10.98
Wójt Gminy Chełm Śląski;241405;2;0;51.50;0;0;0;0;0;2;241405;2;Chełm Śląski;2333;23;6245;268;2208;1435;gw;50.075269,19.152623 50.134327,19.245344;50.104798,19.1989835;241405;4839;2192;456;1677;484;639;102;333;17.22000;22.08;29.15;4.65;15.19
Burmistrz Miasta Tarnowskie Góry;241304;4;0;51.25;0;1;1;1;0;1;241304;1;Tarnowskie Góry;8372;84;61262;732;1643;72;gm;50.400142,18.769885 50.531013,18.914251;50.4655775,18.842068;241304;49398;17691;2470;13687;3609;4039;704;4590;12.25000;20.40;22.83;3.98;25.95
Wójt Gminy Rąbino;321604;2;1;51.50;0;0;0;0;0;2;321604;2;Rąbino;17968;180;3668;20;451;2070;gw;53.786038,15.773729 53.922565,16.080867;53.8543015,15.927298;321604;3086;1106;444;1065;365;229;155;163;28.65000;33.00;20.71;14.01;14.74
Burmistrz Miasta Giżycka;280601;3;0;37.00;0;1;0;0;0;2;280601;1;Giżycko;1372;14;29480;2149;2286;194;gm;54.016314,21.729137 54.055614,21.809621;54.035964,21.769379;280601;24248;8677;1761;8413;2532;1286;727;2732;16.87000;29.18;14.82;8.38;31.49
Wójt Gminy Pęcław;020305;1;0;51.00;0;0;0;0;0;1;020305;2;Pęcław;6427;64;2284;36;1912;2263;gw;51.595778,16.167577 51.695887,16.355453;51.6458325,16.261515;020305;1784;573;152;556;390;77;25;45;20.97000;68.06;13.44;4.36;7.85
Burmistrz Gminy Chojna;320603;4;1;53.00;0;0;0;0;0;4;320603;3;Chojna;33230;332;13846;42;63;573;gmw;52.844097,14.209786 53.067426,14.626460;52.9557615,14.418123;320603;11129;3605;1283;3441;551;604;379;1757;26.25000;15.28;16.75;10.51;48.74
Burmistrz Lidzbarka;280304;3;0;39.67;0;1;0;0;0;2;280304;3;Lidzbark;25488;255;14299;56;168;550;gmw;53.140993,19.682215 53.354320,19.997983;53.2476565,19.840099;280304;11722;4768;1587;4554;2861;559;181;781;24.97000;60.00;11.72;3.80;16.38
Wójt Gminy Osie;041407;1;0;57.00;0;0;0;0;0;1;041407;2;Osie;20904;210;5475;26;291;1609;gw;53.518347,18.153410 53.709490,18.443401;53.6139185,18.2984055;041407;4315;1403;505;1355;380;238;77;572;26.47000;27.08;16.96;5.49;40.77
Burmistrz Miasta i Gminy Lipsko;140903;3;1;46.33;0;0;1;0;0;2;140903;3;Lipsko;13525;135;11213;83;835;761;gmw;51.069451,21.507289 51.228931,21.735076;51.149191,21.6211825;140903;9768;4433;873;4231;1878;1272;220;616;16.45000;42.36;28.69;4.96;13.90
Wójt Gminy Tłuchowo;040808;1;0;57.00;1;0;0;0;0;0;040808;2;Tłuchowo;9935;99;4676;47;1404;1811;gw;52.680975,19.346337 52.816059,19.526144;52.748517,19.4362405;040808;3663;1430;401;1393;995;194;68;98;21.90000;69.58;13.57;4.76;6.85
Burmistrz Miasta Grajewo;200401;3;0;49.00;0;1;0;0;0;2;200401;1;Grajewo;1894;19;22049;1164;2246;303;gm;53.615248,22.405148 53.665119,22.496710;53.6401835,22.450929;200401;17865;7528;1558;7133;2765;2555;174;1245;17.15000;36.73;33.94;2.31;16.54
Wójt Gminy Adamówka;181402;2;0;46.00;1;1;0;0;0;0;181402;2;Adamówka;13428;134;4081;30;850;1960;gw;50.207307,22.573617 50.305919,22.841302;50.256613,22.7074595;181402;3383;1456;391;1442;592;470;253;80;21.17000;40.66;32.28;17.38;5.49
Wójt Gminy Czerwińsk nad Wisłą;142004;2;0;42.00;0;0;0;0;0;2;142004;2;Czerwińsk nad Wisłą;14411;144;7738;54;742;1151;gw;52.381137,20.222414 52.488207,20.497473;52.434672,20.3599435;142004;6326;2190;854;2097;1467;414;42;71;28.06000;66.99;18.90;1.92;3.24
Wójt Gminy Siekierczyn;021007;2;0;47.50;0;0;0;0;0;2;021007;2;Siekierczyn;4950;50;4540;92;2023;1846;gw;51.080913,15.118636 51.166891,15.261077;51.123902,15.1898565;021007;3938;1365;494;1149;250;333;168;239;26.57000;18.32;24.40;12.31;17.51
Wójt Gminy Ludwin;061002;2;0;40.50;0;0;0;0;0;2;061002;2;Ludwin;12217;122;5584;46;1026;1580;gw;51.326903,22.801178 51.435246,23.088171;51.3810745,22.9446745;061002;4194;2003;575;1925;506;445;56;807;22.30000;25.26;22.22;2.80;40.29
Burmistrz Świebodzina;080805;4;1;54.00;0;1;0;0;0;3;080805;3;Świebodzin;22641;226;30198;133;243;189;gmw;52.126586,15.394454 52.359113,15.662390;52.2428495,15.528422;080805;23683;8496;1411;6768;2273;1513;530;2080;14.24000;26.75;17.81;6.24;24.48
Wójt Gminy Gródek nad Dunajcem;121003;2;0;62.50;0;0;0;0;0;2;121003;2;Gródek nad Dunajcem;8819;88;9235;105;1561;938;gw;49.694137,20.645966 49.806853,20.828395;49.750495,20.7371805;121003;6936;3128;900;3053;938;1587;71;261;22.34000;29.99;50.74;2.27;8.34
Wójt Gminy Milejewo;280405;2;1;52.00;0;0;0;0;0;2;280405;2;Milejewo;9581;96;3413;36;1457;2115;gw;54.133454,19.463486 54.270445,19.644504;54.2019495,19.553995;280405;2675;888;565;842;320;207;52;209;38.89000;36.04;23.31;5.86;23.54
Burmistrz Leśnicy;161104;1;0;39.00;0;0;0;0;0;1;161104;3;Leśnica;9475;95;7751;82;1477;1148;gmw;50.376601,18.132138 50.491462,18.298558;50.4340315,18.215348;161104;6523;1995;461;828;359;125;38;241;18.77000;17.99;6.27;1.90;12.08
Wójt Gminy Dzierzkowice;060703;2;0;40.50;1;1;0;0;0;0;060703;2;Dzierzkowice;8729;87;5314;61;1576;1651;gw;50.915151,21.960743 51.001520,22.195855;50.9583355,22.078299;060703;4405;1751;337;1711;879;567;35;147;16.14000;50.20;32.38;2.00;8.40
Wójt Gminy Wietrzychowice;121612;3;0;47.67;1;0;0;0;0;2;121612;2;Wietrzychowice;4840;48;4008;83;2033;1976;gw;50.145704,20.679384 50.242753,20.810700;50.1942285,20.745042;121612;3400;1220;441;1210;853;269;12;46;26.55000;69.92;22.05;0.98;3.77
Burmistrz Miasta Chojnowa;020901;1;0;59.00;0;0;0;0;0;1;020901;1;Chojnów;532;5;13573;2551;2334;589;gm;51.260537,15.910960 51.283891,15.960494;51.272214,15.935727;020901;11275;3600;1266;3073;556;857;457;1030;26.02000;15.44;23.81;12.69;28.61
Burmistrz Gminy Chociwel;321402;5;3;54.80;0;1;0;0;0;4;321402;3;Chociwel;16082;161;5868;36;590;1523;gmw;53.407514,15.210650 53.548505,15.467049;53.4780095,15.3388495;321402;4835;1688;907;1469;702;298;154;251;34.95000;41.59;17.65;9.12;14.87
Wójt Gminy Zduńska Wola;101904;2;0;52.00;0;1;0;0;0;1;101904;2;Zduńska Wola;11161;111;12154;109;1192;679;gw;51.557876,18.793893 51.686762,19.041649;51.622319,18.917771;101904;9344;3434;917;3349;1103;1044;102;908;21.08000;32.12;30.40;2.97;26.44
Wójt Gminy Dąbrowa;160902;2;1;47.50;0;0;0;0;0;2;160902;2;Dąbrowa;11411;114;8213;72;1142;1080;gw;50.631494,17.657516 50.776098,17.880639;50.703796,17.7690775;160902;7764;2091;572;1392;284;308;147;542;21.48000;13.58;14.73;7.03;25.92
Wójt Gminy Kulesze Kościelne;201306;2;0;46.50;0;0;0;0;0;2;201306;2;Kulesze Kościelne;11532;115;3119;27;1125;2172;gw;52.953565,22.398170 53.063280,22.644654;53.0084225,22.521412;201306;2607;1343;282;1312;232;711;4;342;17.35000;17.27;52.94;0.30;25.47
Burmistrz Miasta Sławno;321302;2;1;41.50;0;0;0;0;0;2;321302;1;Sławno;1583;16;12590;795;2271;655;gm;54.332597,16.619675 54.389776,16.704788;54.3611865,16.6622315;321302;10236;3573;968;3206;822;669;469;1065;21.32000;23.01;18.72;13.13;29.81
Burmistrz Dobrej;302703;2;1;49.50;1;1;0;0;0;0;302703;3;Dobra;13180;132;6219;47;888;1441;gmw;51.820786,18.561771 51.955126,18.767948;51.887956,18.6648595;302703;5031;1975;658;1644;882;363;118;174;24.99000;44.66;18.38;5.97;8.81
Wójt Gminy Abramów;060802;4;1;48.25;0;1;0;0;0;3;060802;2;Abramów;8460;85;4071;48;1627;1963;gw;51.425913,22.189831 51.517225,22.389677;51.471569,22.289754;060802;3462;1789;473;1696;941;489;33;97;20.91000;52.60;27.33;1.84;5.42
Wójt Gminy Ustronie Morskie;320807;2;1;58.50;0;0;0;0;0;2;320807;2;Ustronie Morskie;5698;57;3658;64;1974;2074;gw;54.145285,15.637066 54.227224,15.846011;54.1862545,15.7415385;320807;3039;1358;489;1302;182;314;152;533;26.48000;13.40;23.12;11.19;39.25
Wójt Gminy Uście Gorlickie;120510;3;0;48.67;0;0;0;0;0;3;120510;2;Uście Gorlickie;28780;287;6843;24;117;1312;gw;49.400992,20.998721 49.578711,21.347117;49.4898515,21.172919;120510;5261;2239;877;2164;959;471;70;406;28.15000;42.83;21.04;3.13;18.13
Burmistrz Miasta Chrzanowa;120303;4;1;42.25;0;1;1;0;0;2;120303;3;Chrzanów;7944;79;47365;596;1710;101;gmw;50.078752,19.270483 50.199915,19.499409;50.1393335,19.384946;120303;39260;13707;2110;13102;1338;3677;1804;5196;13.34000;9.76;26.83;13.16;37.91
Wójt Gminy Bobrowice;080202;3;0;47.33;0;0;0;0;0;3;080202;2;Bobrowice;18493;185;3210;17;420;2156;gw;51.860865,14.917668 52.010794,15.200062;51.9358295,15.058865;080202;2625;1204;421;1065;695;84;106;157;25.91000;57.72;6.98;8.80;13.04
Wójt Gminy Trzcinica;300807;1;0;55.00;0;0;0;0;0;1;300807;2;Trzcinica;7504;75;4921;66;1776;1749;gw;51.121856,17.927652 51.226808,18.081784;51.174332,18.004718;300807;3858;1248;525;1171;539;188;75;308;29.61000;43.19;15.06;6.01;24.68
Wójt Gminy Szczecinek;321506;4;0;49.75;0;1;0;0;0;3;321506;2;Szczecinek;49887;500;9308;19;4;931;gw;53.561510,16.500678 53.909271,16.892248;53.7353905,16.696463;321506;7397;2781;1406;2590;1122;372;166;773;33.58000;40.35;13.38;5.97;27.80
Wójt Gminy Gromnik;121602;1;0;59.00;0;0;0;0;0;1;121602;2;Gromnik;6973;70;8893;128;1849;987;gw;49.806559,20.848335 49.883918,21.043941;49.8452385,20.946138;121602;6860;2936;768;2904;1054;1348;52;268;20.73000;35.90;45.91;1.77;9.13
Wójt Gminy Trzyciąż;121206;2;1;51.00;0;1;0;0;0;1;121206;2;Trzyciąż;9573;95;7054;74;1460;1269;gw;50.249372,19.671738 50.345693,19.920947;50.2975325,19.7963425;121206;5707;2159;572;2096;1187;568;63;152;20.94000;54.98;26.31;2.92;7.04
Burmistrz Piask;061703;2;1;39.00;1;1;0;0;0;0;061703;3;Piaski;16986;170;10580;62;521;813;gmw;51.069435,22.681100 51.191511,22.929504;51.130473,22.805302;061703;8722;3851;587;3801;2825;648;70;153;13.23000;73.36;16.83;1.82;3.97
Wójt Gminy Urszulin;061905;2;1;38.50;0;1;0;0;0;1;061905;2;Urszulin;17214;172;4135;24;498;1945;gw;51.326983,23.056401 51.467517,23.291507;51.39725,23.173954;061905;3418;1410;486;1339;529;376;169;208;25.63000;37.52;26.67;11.99;14.75
Burmistrz Miasta Koła;300901;6;2;46.00;0;1;1;1;0;3;300901;1;Koło;1385;14;22227;1605;2285;294;gm;52.167339,18.591960 52.229418,18.679530;52.1983785,18.635745;300901;18601;7189;1544;6877;3487;1461;608;950;17.68000;48.50;20.32;8.46;13.21
Wójt Gminy Starogard Gdański;221312;4;1;49.00;1;1;1;0;0;1;221312;2;Starogard Gdański;19621;195;16308;83;369;456;gw;53.893275,18.389251 54.093023,18.679838;53.993149,18.5345445;221312;11657;4595;1306;4484;1060;1123;581;1383;22.13000;23.07;24.44;12.64;30.10
Burmistrz Miasta Sucha Beskidzka;121502;2;0;59.00;0;0;0;0;0;2;121502;1;Sucha Beskidzka;2765;28;9295;336;2177;934;gm;49.698150,19.533586 49.766939,19.621812;49.7325445,19.577699;121502;7865;3446;888;3312;592;867;148;1467;20.49000;17.18;25.16;4.29;42.57
Wójt Gminy Łysomice;041506;3;0;51.33;0;0;0;0;0;3;041506;2;Łysomice;12694;127;9882;78;959;875;gw;53.043037,18.474929 53.156142,18.795119;53.0995895,18.635024;041506;7374;3175;587;3076;351;516;189;1848;15.60000;11.06;16.25;5.95;58.20
Wójt Gminy Rogóżno;040605;4;0;46.00;0;1;0;0;0;3;040605;2;Rogóźno;11624;116;4246;37;1112;1926;gw;53.497208,18.800591 53.604683,19.061220;53.5509455,18.9309055;040605;3233;1168;438;964;382;233;103;208;27.27000;32.71;19.95;8.82;17.81
Wójt Gminy Olszanka;141003;5;1;45.00;0;1;0;0;0;4;141003;2;Olszanka;8763;88;3011;34;1571;2185;gw;52.090861,22.561808 52.199471,22.766604;52.145166,22.664206;141003;2507;1228;320;1203;702;363;22;69;20.67000;57.17;29.56;1.79;5.62
Wójt Gminy Kazimierz Biskupi;301003;4;0;45.75;0;0;0;0;0;4;301003;2;Kazimierz Biskupi;10765;108;11467;107;1264;741;gw;52.246610,18.021218 52.365511,18.252547;52.3060605,18.1368825;301003;9079;3494;1425;3203;779;894;533;813;28.97000;22.30;25.59;15.25;23.27
Wójt Gminy Ciechanów;140202;4;1;53.75;1;1;0;0;0;2;140202;2;Ciechanów;14054;141;7066;50;780;1266;gw;52.806570,20.390131 52.929439,20.703621;52.8680045,20.546876;140202;5420;2145;713;2068;982;481;205;217;24.95000;45.78;22.42;9.56;10.12
Burmistrz Miasta i Gminy Sztum;221605;4;3;48.00;0;1;0;0;0;3;221605;3;Sztum;18106;181;18578;103;441;381;gmw;53.845102,18.858348 54.005691,19.139099;53.9253965,18.9987235;221605;14898;5157;1459;5047;2489;638;706;834;22.05000;48.26;12.37;13.69;16.17
Wójt Gminy Kobylanka;321406;4;1;50.00;0;0;0;0;0;4;321406;2;Kobylanka;12168;122;5390;44;1030;1632;gw;53.298601,14.732052 53.436463,14.988957;53.367532,14.8605045;321406;3955;1833;428;1666;263;400;282;574;18.93000;14.35;21.82;15.38;31.31
Wójt Gminy Niwiska;180604;1;1;60.00;0;0;0;0;0;1;180604;2;Niwiska;9486;95;6044;64;1474;1480;gw;50.176014,21.529724 50.302126,21.731004;50.23907,21.630364;180604;4748;2068;394;2049;1241;619;43;58;16.00000;60.01;29.93;2.08;2.80
Burmistrz Jelcza-Laskowic;021503;4;1;53.75;0;1;0;0;0;3;021503;3;Jelcz-Laskowice;16763;168;23269;139;536;277;gmw;50.962630,17.269838 51.103703,17.543660;51.0331665,17.406749;021503;18163;6792;1909;6390;936;2326;320;2477;21.94000;13.78;34.25;4.71;36.47
Burmistrz Łabiszyna;041904;1;0;55.00;0;0;0;0;0;1;041904;3;Łabiszyn;16700;167;10058;60;542;854;gmw;52.884293,17.779195 53.042988,18.015743;52.9636405,17.897469;041904;7724;2360;994;2055;619;464;424;438;29.64000;26.23;19.66;17.97;18.56
Burmistrz Ornety;280905;4;2;51.25;1;1;0;0;0;2;280905;3;Orneta;24423;244;12178;50;191;677;gmw;54.052197,19.943682 54.202310,20.332704;54.1272535,20.138193;280905;9922;3872;1138;3764;1058;528;325;1618;22.71000;27.32;13.64;8.39;41.79
Burmistrz Polic;321104;4;1;56.75;0;1;1;0;0;2;321104;3;Police;25171;252;41545;165;177;121;gmw;53.491148,14.294746 53.711763,14.635973;53.6014555,14.4653595;321104;32183;10931;2272;8456;886;2802;1323;2795;17.21000;8.11;25.63;12.10;25.57
Wójt Gminy Szastarka;060706;2;0;47.50;0;1;0;0;0;1;060706;2;Szastarka;7331;73;5821;79;1803;1530;gw;50.787565,22.249243 50.896513,22.420006;50.842039,22.3346245;060706;4898;2215;530;2150;711;1108;88;139;19.31000;32.10;50.02;3.97;6.28
Wójt Gminy Kruklanki;280605;2;0;40.50;0;0;0;0;0;2;280605;2;Kruklanki;20157;202;3161;16;335;2162;gw;54.001243,21.887388 54.181549,22.214158;54.091396,22.050773;280605;2541;1001;276;963;405;120;77;277;21.61000;40.46;11.99;7.69;27.67
Wójt Gminy Ceków-Kolonia;300703;1;0;40.00;0;0;0;0;0;1;300703;2;Ceków-Kolonia;8831;88;4786;54;1559;1787;gw;51.800280,18.194648 51.930001,18.416375;51.8651405,18.3055115;300703;3869;1677;523;1646;1331;110;70;110;23.77000;79.37;6.56;4.17;6.56
Wójt Gminy Osieck;141706;2;1;44.50;0;1;0;0;0;1;141706;2;Osieck;6798;68;3583;53;1871;2088;gw;51.901881,21.341365 52.008788,21.514425;51.9553345,21.427895;141706;2872;1337;341;1182;486;482;31;94;20.32000;36.35;36.05;2.32;7.03
Wójt Gminy Staroźreby;141914;2;0;48.00;1;0;0;0;0;1;141914;2;Staroźreby;13766;138;7370;54;810;1222;gw;52.588574,19.891573 52.696781,20.166823;52.6426775,20.029198;141914;5955;2404;822;2306;1696;356;82;86;25.48000;70.55;14.81;3.41;3.58
Wójt Gminy Tarnów;121609;2;0;45.50;0;0;0;0;0;2;121609;2;Tarnów;8272;83;25909;313;1663;232;gw;49.929913,20.873996 50.074977,21.169396;50.002445,21.021696;121609;19822;7625;1829;7522;871;4204;350;1609;19.35000;11.42;55.13;4.59;21.10
Prezydent Miasta Zabrze;247801;8;2;43.62;0;1;1;0;1;5;247801;1;Zabrze;8040;80;174349;2169;1697;20;mm;50.245987,18.730736 50.382195,18.862340;50.314091,18.796538;247801;139538;36002;5284;30076;3466;6737;2718;14892;12.80000;9.63;18.71;7.55;41.36
Wójt Gminy Wilczyn;301014;2;0;56.50;0;1;0;0;0;1;301014;2;Wilczyn;8320;83;6245;75;1652;1435;gw;52.408481,18.071544 52.509508,18.272102;52.4589945,18.171823;301014;4971;2095;1214;1897;900;499;170;237;36.69000;42.96;23.82;8.11;11.31
Burmistrz Miasta Zgorzelec;022502;3;2;41.33;0;1;0;0;0;2;022502;1;Zgorzelec;1588;16;30738;1936;2269;181;gm;51.119706,14.990525 51.183843,15.043719;51.1517745,15.017122;022502;26265;9204;2341;8578;891;2081;2259;2815;20.28000;9.68;22.61;24.54;30.58
Wójt Gminy Piątnica;200705;4;0;50.50;1;1;0;0;0;2;200705;2;Piątnica;21906;220;10689;49;260;800;gw;53.120025,21.999477 53.311574,22.301084;53.2157995,22.1502805;200705;8479;3298;955;3210;882;1684;83;273;22.45000;26.74;51.06;2.52;8.28
Wójt Gminy Klucze;121204;1;0;58.00;0;0;0;0;0;1;121204;2;Klucze;11950;119;15158;127;1063;507;gw;50.310566,19.456476 50.420304,19.684597;50.365435,19.5705365;121204;12579;5521;1263;5312;1580;983;559;1806;18.62000;28.62;17.80;10.12;32.71
Wójt Gminy Wielgie;040809;4;0;61.50;1;1;0;1;0;1;040809;2;Wielgie;13368;134;6790;51;865;1324;gw;52.687169,19.156029 52.814648,19.357529;52.7509085,19.256779;040809;5291;2101;618;2053;782;209;852;155;22.73000;37.22;9.95;40.55;7.38
Wójt Gminy Krypno;200805;2;1;47.50;0;1;0;0;0;1;200805;2;Krypno;11231;112;4043;36;1172;1970;gw;53.213889,22.730759 53.331070,22.955159;53.2724795,22.842959;200805;3285;1365;243;1322;601;227;9;445;15.11000;44.03;16.63;0.66;32.60
Burmistrz Miasta i Gminy Koniecpol;240406;4;1;48.25;0;0;0;0;0;4;240406;3;Koniecpol;14662;147;9605;66;713;903;gmw;50.713209,19.587353 50.865970,19.832163;50.7895895,19.709758;240406;8372;3621;1121;3183;1579;652;453;256;23.64000;43.61;18.01;12.51;7.07
Wójt Gminy Czerwonka;141102;2;0;37.00;0;1;0;0;0;1;141102;2;Czerwonka;11044;110;2682;24;1217;2224;gw;52.844655,21.074861 52.950548,21.314445;52.8976015,21.194653;141102;2217;1091;518;1036;589;313;33;71;32.19000;53.99;28.69;3.02;6.51
Wójt Gminy Siedlisko;080408;3;2;46.33;0;0;0;0;0;3;080408;2;Siedlisko;9216;92;3653;40;1513;2076;gw;51.718946,15.768720 51.811913,16.008571;51.7654295,15.8886455;080408;2771;741;283;533;218;142;48;102;27.64000;29.42;19.16;6.48;13.77
Wójt Gminy Kuślin;301501;3;1;51.00;0;0;0;0;0;3;301501;2;Kuślin;10648;106;5524;52;1285;1599;gw;52.312538,16.209066 52.427771,16.442620;52.3701545,16.325843;301501;4287;1681;590;1522;586;279;365;210;25.98000;34.86;16.60;21.71;12.49
Wójt Gminy Wiśniowa;181905;2;0;51.00;0;1;0;0;0;1;181905;2;Wiśniowa;8338;83;8122;97;1649;1095;gw;49.816313,21.541482 49.932289,21.730761;49.874301,21.6361215;181905;6734;2918;659;2699;569;1320;401;137;18.42000;19.50;45.24;13.74;4.69
Wójt Gminy Dąbrowa Zielona;240402;2;1;51.00;1;0;0;0;0;1;240402;2;Dąbrowa Zielona;10021;100;3888;39;1387;2010;gw;50.793011,19.416101 50.908217,19.661569;50.850614,19.538835;240402;3428;1639;496;1552;890;203;270;86;23.23000;54.30;12.39;16.47;5.25
Wójt Gminy Raszyn;142106;2;0;54.00;0;1;0;0;0;1;142106;2;Raszyn;4391;44;21612;492;2066;309;gw;52.087638,20.837752 52.171424,20.989044;52.129531,20.913398;142106;16460;7646;1882;6839;1749;2547;218;1722;19.75000;22.87;33.31;2.85;22.52
Burmistrz Miasta i Gminy  Koprzywnica;260904;4;2;48.00;0;1;0;0;0;3;260904;3;Koprzywnica;6933;69;6714;97;1857;1340;gmw;50.549345,21.466632 50.639128,21.667067;50.5942365,21.5668495;260904;5746;2961;705;2944;1484;1003;81;246;19.23000;50.12;33.87;2.74;8.31
Wójt Gminy Przykona;302706;1;0;63.00;0;0;0;0;0;1;302706;2;Przykona;11092;111;4490;40;1204;1858;gw;51.941157,18.542017 52.049986,18.741744;51.9955715,18.6418805;302706;3523;1618;715;1549;800;437;116;115;30.65000;49.44;27.01;7.17;7.11
Burmistrz Łobżenicy;301904;5;2;52.60;0;1;0;0;0;4;301904;3;Łobżenica;19078;191;9594;50;387;905;gmw;53.209650,17.141975 53.363828,17.438793;53.286739,17.290384;301904;7606;2630;1524;2541;1159;830;102;295;36.69000;44.07;31.56;3.88;11.22
Wójt Gminy Dragacz;041402;1;1;47.00;0;0;0;0;0;1;041402;2;Dragacz;11181;112;7279;65;1184;1236;gw;53.426049,18.583610 53.564318,18.764516;53.4951835,18.674063;041402;5689;1818;668;1663;514;337;171;538;26.87000;28.27;18.54;9.41;29.59
Burmistrz Miasta Aleksandrów Kujawski;040101;3;0;53.00;0;0;0;0;0;3;040101;1;Aleksandrów Kujawski;723;7;12270;1697;2330;672;gm;52.854916,18.677276 52.897988,18.723605;52.876452,18.7004405;040101;10007;3327;992;3123;786;623;549;1039;22.97000;23.62;18.73;16.50;31.23
Burmistrz Gminy i Miasta Sokołów Małopolski;181611;2;0;51.50;0;1;0;0;0;1;181611;3;Sokołów Małopolski;13420;134;17144;128;852;428;gmw;50.169100,22.016210 50.300892,22.252256;50.234996,22.134233;181611;13263;6136;1157;5938;583;4181;115;777;15.86000;9.50;68.14;1.87;12.66
Wójt Gminy Puławy;061409;2;1;52.50;0;0;0;0;0;2;061409;2;Puławy;16119;162;11996;74;585;694;gw;51.370213,21.760986 51.548364,22.032831;51.4592885,21.8969085;061409;9722;3810;1032;3507;1016;1223;179;777;21.31000;26.67;32.10;4.70;20.39
Wójt Gminy Osiek Jasielski;180508;3;0;52.67;0;1;0;0;1;1;180508;2;Osiek Jasielski;6040;60;5358;89;1946;1639;gw;49.564389,21.382602 49.672164,21.520258;49.6182765,21.45143;180508;4327;1926;389;1902;455;1066;27;252;16.80000;23.62;55.35;1.40;13.08
Wójt Gminy Nowa Sól;080405;2;2;37.50;0;0;0;0;0;2;080405;2;Nowa Sól;17596;176;6944;39;479;1291;gw;51.733015,15.578151 51.921705,15.992740;51.82736,15.7854455;080405;5451;1899;475;1305;475;455;68;263;20.01000;25.01;23.96;3.58;13.85
Wójt Gminy Sztabin;200107;4;0;42.25;0;1;0;0;0;3;200107;2;Sztabin;36311;363;5148;14;41;1693;gw;53.570064,22.869788 53.856149,23.352403;53.7131065,23.1110955;200107;4359;1757;472;1687;1058;343;52;151;21.18000;60.22;19.52;2.96;8.59
Wójt Gminy Lutowiska;180105;3;0;50.67;0;0;0;0;0;3;180105;2;Lutowiska;47563;476;2077;4;8;2272;gw;49.002387,22.473308 49.300829,22.894086;49.151608,22.683697;180105;1833;704;207;677;176;173;94;136;22.72000;25.00;24.57;13.35;19.32
Wójt Gminy Suchy Las;302115;2;0;53.00;0;0;0;0;0;2;302115;2;Suchy Las;11601;117;17100;147;1116;431;gw;52.465235,16.780104 52.599779,16.970470;52.532507,16.875287;302115;11827;5077;961;4359;360;807;270;2585;15.92000;7.09;15.90;5.32;50.92
Wójt Gminy Baranów;061402;2;0;52.00;0;1;0;0;0;1;061402;2;Baranów;8492;85;3948;46;1620;1995;gw;51.497534,22.068737 51.584891,22.266743;51.5412125,22.16774;061402;3409;1609;413;1571;1047;318;57;60;20.43000;65.07;19.76;3.54;3.73
Wójt Gminy Chrzanów;060502;2;0;47.00;1;1;0;0;0;0;060502;2;Chrzanów;7169;72;2934;41;1826;2195;gw;50.713070,22.537567 50.839911,22.676479;50.7764905,22.607023;060502;2496;1200;166;1179;698;391;17;35;12.15000;58.17;32.58;1.42;2.92
