razem;teryt;rok
3;200105;2018
4;142010;2018
3;141308;2018
2;160913;2018
2;180802;2018
5;120501;2018
3;280606;2018
2;160503;2018
1;120705;2018
2;321201;2018
3;280102;2018
2;260603;2018
3;281401;2018
3;061904;2018
3;201007;2018
6;102101;2018
1;021605;2018
3;040801;2018
3;280408;2018
2;160505;2018
2;141607;2018
1;200603;2018
2;180902;2018
3;041804;2018
5;140606;2018
4;040203;2018
4;121701;2018
3;140101;2018
4;140602;2018
1;120612;2018
5;020206;2018
4;081104;2018
4;186101;2018
2;020302;2018
1;201009;2018
3;180704;2018
2;022402;2018
2;141909;2018
4;100701;2018
2;021205;2018
1;260302;2018
2;100405;2018
3;142611;2018
4;061702;2018
3;120616;2018
4;302801;2018
4;241401;2018
3;240207;2018
4;020903;2018
1;200405;2018
2;142009;2018
1;300503;2018
1;101011;2018
2;240408;2018
2;181503;2018
1;280903;2018
4;141801;2018
1;060118;2018
5;143801;2018
2;121006;2018
2;061908;2018
4;321410;2018
3;181007;2018
1;300406;2018
3;021406;2018
2;041505;2018
4;180202;2018
2;200701;2018
1;141204;2018
1;200903;2018
2;320904;2018
2;160502;2018
2;041702;2018
2;143309;2018
3;142401;2018
1;160504;2018
2;180511;2018
2;160603;2018
1;220705;2018
4;121301;2018
4;240901;2018
4;143704;2018
1;143601;2018
1;120206;2018
2;041809;2018
1;020304;2018
4;041001;2018
3;301202;2018
1;060113;2018
2;300806;2018
2;160202;2018
2;300310;2018
5;022606;2018
4;080401;2018
3;260204;2018
6;143412;2018
5;261304;2018
6;020905;2018
1;181002;2018
3;321004;2018
2;060206;2018
1;041103;2018
2;281901;2018
4;022107;2018
3;302504;2018
2;143804;2018
4;041903;2018
2;160404;2018
2;281306;2018
4;201402;2018
3;240605;2018
4;022101;2018
6;061606;2018
3;142402;2018
5;300705;2018
3;080804;2018
3;142703;2018
2;100211;2018
2;040306;2018
5;061404;2018
4;220303;2018
3;120708;2018
3;320202;2018
4;100401;2018
2;141707;2018
2;100706;2018
2;022108;2018
2;021204;2018
3;121007;2018
2;300407;2018
2;221504;2018
2;321103;2018
5;320601;2018
1;201304;2018
