tryb;runda;teryt;kto;komitet;glosy;prc;glosyN;wynik
M;R1;020609;KWIATKOWSKI Paweł Stanisław;Komitet Wyborczy Wyborców Pawła Kwiatkowskiego Gospodarna Gmina;571;28.75;;DR
M;R1;020609;SPOLNIK Adam;Komitet Wyborczy Wyborców „Izerski Dialog”;347;17.47;;Nie
M;R1;020701;ŚWIĄTEK Krzysztof Józef;Komitet Wyborczy Wyborców „Razem KG”;2684;35.99;;DR
M;R1;020701;KRóL Wiktor Stanisław;Komitet Wyborczy Wyborców Wiktora Króla;1196;16.04;;DR
M;R1;020701;GĘBORYS Jarosław Andrzej;Komitet Wyborczy Prawo i Sprawiedliwość;1059;14.20;;Nie
M;R1;020701;KRZYSZKOWSKA Małgorzata Irena;Komitet Wyborczy Platforma Obywatelska RP;1003;13.45;;Nie
M;R1;020701;CHODASEWICZ Janusz Witold;Komitet Wyborczy Wyborców Janusza Chodasewicza „Ratujmy Miasto”;970;13.01;;Nie
M;R1;020701;RYCHARSKI Tadeusz Witold;Komitet Wyborczy Wyborców Nasz Region;546;7.32;;Nie
M;R1;020702;STRAUS Patryk Piotr;Komitet Wyborczy Wyborców „Nowoczesna Gmina 2022”;988;28.15;;DR
M;R1;020702;KOŃCZAK Bożena;Komitet Wyborczy Platforma Obywatelska RP;828;23.59;;DR
M;R1;020702;WONDOŁOWSKA-GRABOWSKA Anna;Komitet Wyborczy Wyborców „Niezależni”;575;16.38;;Nie
M;R1;020702;BEDNAREK Zbigniew Andrzej;Komitet Wyborczy Stowarzyszenia Regionalnego „DIALOG";511;14.56;;Nie
M;R1;020702;OLEKSIAK Radosław Jerzy;Komitet Wyborczy Wyborców „Razem KG”;380;10.83;;Nie
M;R1;020702;BAĆKO Sylwester Ryszard;Komitet Wyborczy Polskie Stronnictwo Ludowe;228;6.50;;Nie
M;R1;020703;KULON Tomasz Marian;Komitet Wyborczy Wyborców „Ogniwo” Tomasza Kulona;1717;37.91;;DR
M;R1;020703;KOCEMBA Ewa Aleksandra;Komitet Wyborczy Platforma Obywatelska RP;1456;32.15;;DR
M;R1;020703;ŚWIĄTEK Andrzej Kazimierz;Komitet Wyborczy Wyborców „Razem KG”;1244;27.47;;Nie
M;R1;020703;KMIECIK Henryk Ryszard;Komitet Wyborczy Wyborców „Nasza Gmina Lubawka-Kalwaria Lubawska”;112;2.47;;Nie
M;R1;020704;ZAWIERUCHA Stefan Adam;Komitet Wyborczy Wyborców Porozumienie i Praca;1406;65.55;;Tak
M;R1;020704;CIUBA Artur;Komitet Wyborczy Stowarzyszenia Kotlina Marciszowska;544;25.36;;DR
M;R1;020704;GWIŻDŻ Jerzy Edward;Komitet Wyborczy Polskie Stronnictwo Ludowe;195;9.09;;Nie
M;R1;020801;LEWANDOWSKI Piotr Andrzej;Komitet Wyborczy Wyborców Piotra Lewandowskiego;728;32.96;;DR
M;R1;020801;ZILBERT Piotr;Komitet Wyborczy Stowarzyszenia Na Rzecz Rozwoju Dusznik-Zdroju;614;27.80;;DR
M;R1;020801;RYMARCZYK Andrzej Paweł;Komitet Wyborczy Wyborców Andrzeja Rymarczyka;358;16.21;;Nie
