pbw_10091_wbp1_1;126101;263;Szkoła Podstawowa Nr 162, Kraków ul. Stojałowskiego 31, 30-611;2040;1943;1208;735;0;0;735;0;0;735;724;11
pbw_10092_wbp1_1;126101;264;Szkoła Podstawowa Nr 162, Kraków ul. Stojałowskiego 31, 30-611;1781;1198;446;752;0;0;749;0;0;749;747;2
pbw_10093_wbp1_1;126101;265;Szkoła Podstawowa Nr 55, Kraków ul. Dobczycka 20, 30-620;1390;1340;806;534;0;0;534;0;0;534;528;6
pbw_10094_wbp1_1;126101;266;Szkoła Podstawowa nr 55, Kraków ul. Dobczycka 20, 30-620;1716;1644;932;712;2;0;711;0;0;711;707;4
pbw_10095_wbp1_1;126101;267;Szkoła Podstawowa Nr 55, Kraków ul. Dobczycka 20, 30-620;1159;1102;655;447;0;0;446;0;0;446;445;1
pbw_10096_wbp1_1;126101;268;Zespół Szkół Specjalnych nr 11, Kraków ul. Dobczycka 20, 30-620;1102;1054;588;466;1;0;466;0;0;466;457;9
pbw_10097_wbp1_1;126101;269;Filia Szkoły Podstawowej Nr 124, Kraków ul. Sucharskiego 36, 30-898;1085;1028;748;280;0;0;280;0;0;280;274;6
pbw_10098_wbp1_1;126101;27;Centrum Medyczne 4M, ul. Krowoderska 17, 31-141;1299;1235;636;599;0;0;599;0;0;599;596;3
pbw_10099_wbp1_1;126101;270;Filia Szkoły Podstawowej Nr 124, Kraków ul. Sucharskiego 36, 30-898;1452;1349;875;474;0;0;474;0;0;474;472;2
pbw_1009_wbp1_1;021905;1;Sala gimnastyczna, Wiry 10a, 58-124 Marcinowice;1022;1027;455;572;0;0;572;0;28;544;531;13
pbw_100_wbp1_1;020202;21;Gimnazjum Nr 1 z Oddziałami Integracyjnymi, Dzierżoniów ul. Nowowiejska 64, 58-200 Dzierżoniów;1398;1100;778;322;0;0;322;0;0;322;294;28
pbw_10100_wbp1_1;126101;271;Szkoła Podstawowa Nr 124, Kraków ul. Weigla 2, 30-898;1855;1742;916;826;0;0;826;0;0;826;814;12
pbw_10101_wbp1_1;126101;272;Szkoła Podstawowa Nr 124, Kraków ul. Weigla 2, 30-898;1444;1376;705;671;0;0;671;0;0;671;670;1
pbw_10102_wbp1_1;126101;273;Szkoła Podstawowa Nr 124, Kraków ul. Weigla 2, 30-898;1495;1415;696;719;0;0;717;0;0;717;707;10
pbw_10103_wbp1_1;126101;274;Szkoła Podstawowa Nr 111, Kraków ul. Bieżanowska 204, 30-856;1400;1320;676;644;0;0;643;0;0;643;634;9
