teryt;exteryt;bb;center;===;tura;teryt;nrk;kto;wiek;miasto;glosy;glosyp;glosyn;wynik
020607;2;50.792656,15.744178 50.902622,15.927704;50.847639,15.835941;===;R1;020607;1;NIDZGORSKA Ewa Romualda;51;wyższe;Mysłakowice,;1017;25.24;-1;Nie
020607;2;50.792656,15.744178 50.902622,15.927704;50.847639,15.835941;===;R1;020607;2;NYC Piotr;54;wyższe;Kostrzyca,;445;11.04;-1;Nie
020607;2;50.792656,15.744178 50.902622,15.927704;50.847639,15.835941;===;R1;020607;3;ORMAN Michał;44;wyższe;Ścięgny,;2151;53.37;-1;Tak
020607;2;50.792656,15.744178 50.902622,15.927704;50.847639,15.835941;===;R1;020607;4;WATEHA Jerzy Witold;59;wyższe;Mysłakowice,;417;10.35;-1;Nie
020608;2;50.754736,15.620022 50.873247,15.797607;50.8139915,15.7088145;===;R1;020608;1;BENESZ Bogusław Tadeusz;61;wyższe;Miłków,;78;2.19;-1;Nie
020608;2;50.754736,15.620022 50.873247,15.797607;50.8139915,15.7088145;===;R1;020608;2;JESIONOWSKI Czesław Henryk;38;wyższe;Miłków,;411;11.52;-1;Nie
020608;2;50.754736,15.620022 50.873247,15.797607;50.8139915,15.7088145;===;R1;020608;3;KALATA Mirosław;39;wyższe;Sosnówka,;2272;63.66;-1;Tak
020608;2;50.754736,15.620022 50.873247,15.797607;50.8139915,15.7088145;===;R1;020608;4;PIWOWARSKI Marek Stanisław;53;wyższe;Zachełmie,;808;22.64;-1;Nie
020609;2;50.845130,15.439173 50.952907,15.665922;50.8990185,15.5525475;===;R1;020609;1;MAREK Mariusz Krzysztof;41;wyższe;Kopaniec,;1533;84.42%;283;Tak
020701;1;50.761304,15.984855 50.808074,16.082576;50.784689,16.0337155;===;R1;020701;1;BAĆKO Tomasz Marcin;33;wyższe;Kamienna Góra,;381;4.84;-1;Nie
020701;1;50.761304,15.984855 50.808074,16.082576;50.784689,16.0337155;===;R1;020701;2;BLICHARSKI Adam Wacław;46;wyższe;Kamienna Góra,;1834;23.31;-1;Nie
020701;1;50.761304,15.984855 50.808074,16.082576;50.784689,16.0337155;===;R1;020701;3;CHODASEWICZ Janusz Witold;59;wyższe;Kamienna Góra,;1890;24.02;-1;Druga tura
020701;1;50.761304,15.984855 50.808074,16.082576;50.784689,16.0337155;===;R1;020701;4;JACIUK Mariola;53;wyższe;Kamienna Góra,;933;11.86;-1;Nie
020701;1;50.761304,15.984855 50.808074,16.082576;50.784689,16.0337155;===;R1;020701;5;ŚWIĄTEK Krzysztof Józef;67;wyższe;Kamienna Góra,;2429;30.87;-1;Druga tura
020701;1;50.761304,15.984855 50.808074,16.082576;50.784689,16.0337155;===;R1;020701;6;ZIELIŃSKI Artur Waldemar;55;wyższe;Kamienna Góra,;401;5.10;-1;Nie
