pgnw_psl;pgnw_pis;pgn_po;pgnw;psl;pis;po;teryt;powiat;powiatsrodek;bbpowiat
0.3979967194;0.147092084;-0.145993949;24.646667;34.855829;13.971514;29.276036;0417;wąbrzeski;53.2897249 18.9517353;53.3925152 19.1583139 53.1720719 18.6949346
0.3970282826;-0.025253043;-0.123041022;28.653019;21.500652;14.230868;34.430123;3024;szamotulski;52.6306916 16.4583259;52.7939571 16.7406102 52.37416 16.0136382
0.3964256371;-0.348592565;-0.468249749;31.988191;31.671937;22.353253;18.144940;3010;koniński;52.2167513 18.2532296;52.3286959 18.3324159 52.1822806 18.1923234
0.3947445392;-0.280289770;-0.408715650;14.065217;12.346534;28.672256;30.375632;2468;m.Jaworzno;50.204987 19.2739314;50.2609912 19.4416729 50.122782 19.1608498
0.3936313776;-0.296980212;-0.541011802;23.560845;16.963655;18.170322;33.106458;3021;poznański;52.4071021 16.9412479;52.509141 17.0716593 52.2919161 16.7316723
0.3890675152;-0.092324632;-0.371550105;19.879512;30.851775;32.450628;20.223300;1003;łaski;51.5468697 19.066394;51.7774631 19.2760982 51.3398539 18.801585
0.3887588693;-0.240774824;-0.395905788;20.210704;27.729742;46.494406;15.144272;1202;brzeski(małopolskie);49.9670967 20.6621498;50.2008009 20.7982995 49.7641011 20.5003547
0.3866160513;-0.206566705;-0.360966452;25.545909;27.719133;13.921909;23.180964;3213;sławieński;54.3880866 16.6089643;54.569091 16.8654791 54.1893712 16.2143118
0.3843616015;-0.385237281;-0.631308256;22.139770;46.245817;23.250110;16.136535;1012;radomszczański;51.081206 19.6244855;51.2858851 20.0562303 50.8430329 19.2040322
0.3842087619;-0.654758285;-0.621673245;14.322750;20.130568;27.817971;30.410897;1062;m.Piotrków Trybunalski;51.4051721 19.7030244;51.45293 19.8103543 51.3729639 19.622871
0.3839046772;-0.539308955;-0.549155177;24.204464;42.936588;13.452809;25.005962;2808;kętrzyński;54.1661097 21.3114621;54.3348142 21.6017456 53.9380862 21.0220418
0.3814517017;-0.486497212;-0.491731454;19.356667;39.715434;23.798918;17.909306;2607;ostrowiecki;50.9465911 21.4297744;51.0653351 21.6866937 50.8124161 21.0917566
0.3790053006;-0.353314657;-0.537978109;9.979268;6.688956;23.836897;34.026732;3064;m.Poznań;52.406374 16.9251681;52.509141 17.0716593 52.2919161 16.7316723
0.3778515070;-0.462680414;-0.625350995;22.944714;25.239238;19.933117;27.001249;3214;stargardzki;53.3675297 15.257525;53.5499212 15.7197992 53.0817338 14.7319475
0.3766100689;-0.270923557;-0.323416389;9.790000;6.211388;26.514714;37.206166;2477;m.Tychy;50.1218007 19.0200022;50.1757713 19.0910077 50.0785199 18.9256509
0.3761619592;-0.040370986;-0.427647451;19.273478;34.060645;11.626096;30.202674;2819;węgorzewski;54.1729496 21.7636445;54.3337073 22.026033 54.0807802 21.5310741
0.3736693081;-0.235709872;-0.572047392;24.224615;31.019412;12.744868;29.395703;3202;choszczeński;53.1388994 15.6496799;53.3444871 16.0358562 52.9421881 15.2059518
0.3734461307;-0.235951073;-0.388994874;19.357273;34.008785;43.396409;9.490539;1403;garwoliński;51.8394562 21.7058361;52.0410841 21.9518768 51.6120101 21.2804288
0.3691672844;-0.512950385;-0.473578723;20.453333;29.918043;20.441212;34.171178;0220;trzebnicki;51.4188443 16.9985632;51.5809041 17.3405571 51.1629007 16.7591792
0.3686956965;-0.497443142;-0.514781145;17.715934;30.526463;32.245160;19.001619;0614;puławski;51.4174556 22.0546731;51.5844219 22.3138759 51.252088 21.7611821
0.3656407721;-0.458700032;-0.592152629;19.706818;32.236786;30.627909;17.925544;2611;starachowicki;51.0517693 21.1067058;51.211473 21.3833122 50.89568 20.9022831
0.3633798395;-0.495888481;-0.544369225;19.458605;47.508978;24.690178;15.100358;2001;augustowski;53.842919 23.2073355;54.02566 23.5887399 53.5720674 22.6966646
0.3618909323;0.121252298;-0.533304279;23.472703;40.708630;16.890215;20.809055;1018;wieruszowski;51.3165967 18.2184073;51.454261 18.5628277 51.1339642 18.0750521
0.3576422624;-0.390462857;-0.489940948;13.918636;11.751680;20.170397;33.408081;0861;m.Gorzów Wielkopolski;52.7325285 15.2369305;52.778143 15.3128055 52.6845128 15.1236655
0.3557649684;-0.203750102;-0.269085917;22.087568;39.777507;21.592730;13.716653;0205;jaworski;51.0283765 16.1314917;51.1496239 16.480657 50.85252 15.929634
0.3521000768;-0.290542301;-0.349620596;11.933030;29.759174;24.282929;25.558457;1864;m.Tarnobrzeg;50.5729079 21.6790698;50.655239 21.7961309 50.5129169 21.6032375
0.3512914944;-0.406964354;-0.541824236;22.399302;46.625633;21.121006;20.721312;0412;rypiński;53.0517202 19.4397165;53.2172432 19.6906615 52.9278368 19.180458
0.3509960607;-0.287742429;-0.386244694;20.417660;24.430876;43.039528;18.944018;1205;gorlicki;49.6015013 21.1285391;49.781672 21.4213826 49.4009681 20.8822057
0.3484175801;-0.585912590;-0.610414819;8.686609;5.109490;20.999528;60.415947;0463;m.Toruń;53.0137902 18.5984437;53.0655486 18.7408869 52.9612365 18.464227
0.3483146295;-0.111659092;-0.116344610;16.378492;21.409585;51.366130;11.693080;1816;rzeszowski;50.0197452 22.0083082;50.078273 22.0941863 49.9325869 21.8827237
0.3446391622;-0.452180776;-0.418930755;17.253452;44.460492;33.390889;11.818247;0607;kraśnicki;50.8707311 22.1526153;51.0580521 22.4799447 50.7712041 21.8133565
0.3445042090;-0.170703947;-0.336441047;9.105032;7.014287;22.467170;31.505404;2469;m.Katowice;50.2648919 19.0237815;50.2973176 19.122919 50.1300272 18.8914664
