23;1;PO;RYNASIEWICZ Zbigniew Franciszek;28690;5.84;T
23;2;PO;SKOWROŃSKA Krystyna;33557;6.83;T
23;3;PO;TOMAKA Jan Walenty;11713;2.38;T
23;7;PO;BUTRYN Renata Celina;10940;2.23;T
23;1;PSL;BURY Jan;21426;4.36;T
23;2;PSL;DEPTUŁA Leszek Roman;6688;1.36;T
23;1;SLD;KAMIŃSKI Tomasz;15200;3.09;T
24;1;PiS;PUTRA Krzysztof Jakub;53651;11.63;T
24;2;PiS;JURGIEL Krzysztof;28212;6.12;T
24;3;PiS;ZIELIŃSKI Jarosław;21830;4.73;T
24;4;PiS;KOŁAKOWSKI Lech Antoni;10457;2.27;T
24;5;PiS;BOGUCKI Jacek;13236;2.87;T
24;6;PiS;GWIAZDOWSKI Kazimierz;7545;1.64;T
24;7;PiS;KAMIŃSKI Mariusz;11823;2.56;T
24;1;PO;TYSZKIEWICZ Robert;30971;6.72;T
24;2;PO;CIEŚLIK Leszek Stanisław;9564;2.07;T
24;5;PO;KLIM Józef Piotr;9938;2.15;T
24;15;PO;ŻALEK Jacek;9560;2.07;T
24;30;PO;RACZKOWSKI Damian;15762;3.42;T
24;1;PSL;KAMIŃSKI Jan;11798;2.56;T
24;1;SLD;MATWIEJUK Jarosław;20770;4.50;T
24;6;SLD;CZYKWIN Eugeniusz;14234;3.09;T
25;1;PiS;PŁAŻYŃSKI Maciej;58318;12.34;T
25;2;PiS;KURSKI Jacek Olgierd;23585;4.99;T
25;3;PiS;CYMAŃSKI Tadeusz;17726;3.75;T
25;1;PO;NOWAK Sławomir Ryszard;65993;13.97;T
25;2;PO;ZIELIŃSKA-GŁĘBOCKA Anna Maria;19268;4.08;T
25;3;PO;RYBICKI Arkadiusz Czesław;13968;2.96;T
25;4;PO;KOZDROŃ Jerzy;10671;2.26;T
25;6;PO;NEUMANN Sławomir Arkadiusz;11742;2.49;T
25;14;PO;KULAS Jan Edward;9607;2.03;T
25;23;PO;GUZOWSKA Iwona Kamila;9534;2.02;T
25;24;PO;WAŁĘSA Jarosław Leszek;61278;12.97;T
25;1;SLD;LIS Bogdan Jerzy;12468;2.64;T
26;1;PiS;SZCZYPIŃSKA Jolanta Irena;47996;9.53;T
26;2;PiS;SELLIN Jarosław Daniel;18167;3.61;T
26;3;PiS;KOZAK Zbigniew Ryszard;9608;1.91;T
26;6;PiS;STANKE Piotr Jerzy;8824;1.75;T
26;1;PO;BIERNACKI Marek;84157;16.71;T
26;2;PO;AZIEWICZ Tadeusz;17275;3.43;T
26;3;PO;PLOCKE Kazimierz Florian;15763;3.13;T
26;4;PO;BUDNIK Jerzy Feliks;12893;2.56;T
26;5;PO;KONWIŃSKI Zbigniew Marek;19553;3.88;T
26;8;PO;LAMCZYK Stanisław Józef;10155;2.02;T
26;9;PO;NAMYŚLAK Witold Tadeusz;9441;1.87;T
26;28;PO;CZUCHA Zdzisław Józef;10560;2.10;T
26;1;SLD;SENYSZYN Joanna;25193;5.00;T
26;2;SLD;JARUGA-NOWACKA Izabela Walentyna;14827;2.94;T
27;1;PiS;SZWED Stanisław;42604;12.36;T
27;2;PiS;FALFUS Jacek Eugeniusz;18814;5.46;T
27;3;PiS;MATUSZNY Kazimierz Władysław;13379;3.88;T
27;4;PiS;PIĘTA Stanisław Jan;10996;3.19;T
27;1;PO;TOMCZYKIEWICZ Tomasz Kazimierz;41035;11.90;T
27;2;PO;NYKIEL Mirosława;33180;9.62;T
27;3;PO;KOPEĆ Tadeusz Wiktor;16325;4.74;T
27;4;PO;WYKRĘT Adam;10180;2.95;T
27;1;SLD;KOTKOWSKA Bożena Teresa;15234;4.42;T
28;1;PiS;GIŻYŃSKI Szymon Stanisław;28531;11.16;T
28;2;PiS;WIŚNIEWSKA Jadwiga Maria;20814;8.14;T
28;3;PiS;KARASIEWICZ Lucjan Dominik;10938;4.28;T
28;1;PO;ROZPONDEK Halina Leokadia;42951;16.80;T
28;3;PO;SZTOLCMAN Grzegorz Czesław;12701;4.97;T
28;4;PO;LESZCZYNA Izabela Dorota;11617;4.54;T
28;1;SLD;MATYJASZCZYK Krzysztof Adam;16432;6.43;T
29;1;PiS;RELIGA Zbigniew Eugeniusz;62228;18.89;T
29;2;PiS;SZARAMA Wojciech Piotr;7645;2.32;T
29;4;PiS;CHŁOPEK Aleksander Antoni;5762;1.75;T
29;1;PO;GAŁAŻEWSKI Andrzej Józef;33766;10.25;T
29;2;PO;SZUMILAS Krystyna Maria;27100;8.23;T
29;3;PO;SEKUŁA Mirosław;22261;6.76;T
29;4;PO;GŁOGOWSKI Tomasz Marian;20744;6.30;T
29;5;PO;BRZEZINKA Jacek Piotr;9127;2.77;T
29;7;PO;KAŹMIERCZAK Jan Piotr;7641;2.32;T
29;1;SLD;MARTYNIUK Wacław Andrzej;16125;4.90;T
30;1;PiS;PIECHA Bolesław Grzegorz;44052;14.54;T
30;2;PiS;JANIK Grzegorz Piotr;7570;2.50;T
30;3;PiS;KLOC Izabela Helena;14077;4.65;T
30;9;PiS;GAWĘDA Adam;7757;2.56;T
30;1;PO;SIEDLACZEK Henryk Piotr;35124;11.60;T
30;2;PO;GADOWSKI Krzysztof Jan;18003;5.94;T
30;5;PO;KRZĄKAŁA Marek Grzegorz;15469;5.11;T
30;7;PO;ZAWADZKI Ryszard Józef;11113;3.67;T
30;1;SLD;MOTOWIDŁO Tadeusz;17087;5.64;T
31;1;PiS;POLACZEK Jerzy Jan;56018;12.03;T
31;2;PiS;SOŚNIERZ Andrzej Stanisław;27758;5.96;T
31;3;PiS;NOWAK Maria Teresa;9718;2.09;T
31;5;PiS;TOBISZOWSKI Grzegorz Józef;13984;3.00;T
31;1;PO;KUTZ Kazimierz Julian;113280;24.34;T
31;2;PO;PIETRASZEWSKA Danuta Róża;22790;4.90;T
