nrk;teryt;nro;adres;lwug;lkw;lkwzu;lgnw;lgw;freq;pgnw;lwug15;lkw15;lkwzu15;lgnw15;lgw15;freq15;pgnw15;dup.addr
4837;87518;301202;3;Remiza Ochotniczej Straży Pożarnej 63-740 Kobylin ul. Krobska 19;499;83;83;6;77;16.63;7.23;501;176;176;19;157;35.13;10.8;Remiza Ochotniczej Straży Pożarnej|Kobylin|ul. Krobska 19 |63-740 Kobylin
4841;87522;301202;7;Dom Strażaka 63-740 Wyganów 38;640;118;118;12;106;18.44;10.17;641;239;239;15;224;37.29;6.28;Dom Strażaka|Wyganów| 38 |63-740 Kobylin
4850;91646;301203;8;Szpital Powiatowy 63-720 Koźmin Wielkopolski ul.Czesława Stęszewskiego 9;39;22;22;4;18;56.41;18.18;37;23;23;2;21;62.16;8.7;Szpital Powiatowy|Koźmin Wielkopolski|ul. Czesława Stęszewskiego 9 |63-720 Koźmin Wielkopolski
4893;87569;301303;2;Zespół Szkół 64-113 Kąkolewo ul. Krzywińska 14;2005;349;349;22;327;17.41;6.3;2021;894;894;57;837;44.24;6.38;Zespół Szkół|Kąkolewo|ul. Krzywińska 14 |64-113 Osieczna
4895;87571;301303;4;Schronisko Młodzieżowe 64-113 Osieczna ul. Kopernika 4;765;110;110;10;100;14.38;9.09;751;333;333;35;298;44.34;10.51;Schronisko Młodzieżowe|Osieczna|ul. Kopernika 4 |64-113 Osieczna
4897;87573;301304;1;Świetlica wiejska 64-130 Nowa Wieś 28a;321;72;72;5;67;22.43;6.94;324;150;150;13;137;46.3;8.67;Świetlica wiejska|Nowa Wieś| 28a |64-130 Rydzyna
4900;87576;301304;4;Rydzyński Ośrodek Kultury Rydzyna 64-130 Rydzyna ul.Rynek 7;915;230;230;14;216;25.14;6.09;895;487;487;30;457;54.41;6.16;Rydzyński Ośrodek Kultury Rydzyna|Rydzyna|ul.Rynek 7 |64-130 Rydzyna
4902;87578;301304;6;Przedszkole 64-130 Jabłonna 36a;290;39;39;5;34;13.45;12.82;296;92;92;22;70;31.08;23.91;Przedszkole|Jabłonna| 36a |64-130 Rydzyna
4924;87598;301402;2;Sala sportowa przy Zespole Szkół w Kwilczu, wejście B 64-420 Kwilcz ul. Kardynała Stefana Wyszyńskiego 20;1068;153;153;11;142;14.33;7.19;1287;508;508;36;472;39.47;7.09;Sala Sportowa przy Zespole Szkół w Kwilczu (wejście B)|Kwilcz|ul. Kardynała Stefana Wyszyńskiego 20 |64-420 Kwilcz
4925;87599;301402;3;Sala sportowa przy Szkole Podstawowej w Luboszu 64-423 Lubosz ul. Powstańców Wielkopolskich 1;1600;199;199;23;176;12.44;11.56;1650;616;616;42;574;37.33;6.82;Sala Sportowa przy Szkole Podstawowej w Luboszu|Lubosz|ul. Powstańców Wielkopolskich 1 |64-423 Lubosz
4944;87616;301501;3;Gimnazjum Publiczne 64-316 Wąsowo ul. Szkolna 2;937;162;162;17;145;17.29;10.49;946;432;432;32;400;45.67;7.41;Gimnazjum Publiczne|Wąsowo|Szkolna 2 |64-316 Kuślin
4954;87626;301504;2;Nowotomyski Ośrodek Kultury 64-300 Nowy Tomyśl ul. Tysiąclecia 3;1184;253;253;16;237;21.37;6.32;1148;566;566;35;531;49.3;6.18;Nowotomyski Ośrodek Kultury|Nowy Tomyśl|ul. Tysiąclecia 3 |64-300 Nowy Tomyśl
4978;87649;301505;9;Świetlica Wiejska 64-330 Jastrzębniki 36;791;155;155;12;143;19.6;7.74;800;339;339;23;316;42.38;6.78;Świetlica Wiejska|Jastrzębniki| 36 |64-330 Opalenica
