physics;66;1970;Louis Néel;M
peace;64;1907;Louis Renault;M
medicine;76;2008;Luc Montagnier;M
peace;69;1927;Ludwig Quidde;M
literature;67;1934;Luigi Pirandello;M
physics;57;1968;Luis Alvarez;M
chemistry;64;1970;Luis Leloir;M
peace;32;1976;Mairead Corrigan;F
physics;64;2008;Makoto Kobayashi;M
chemistry;40;1967;Manfred Eigen;M
physics;38;1924;Manne Siegbahn;M
physics;57;1963;Maria Goeppert Mayer;F
chemistry;44;1911;Marie Curie;F
physics;36;1903;Marie Curie;F
chemistry;52;1995;Mario J. Molina;M
medicine;70;2007;Mario R. Capecchi;M
literature;74;2010;Mario Vargas Llosa;M
medicine;41;1968;Marshall W. Nirenberg;M
chemistry;61;2008;Martin Chalfie;M
chemistry;83;2013;Martin Karplus;M
physics;68;1995;Martin L. Perl;M
peace;35;1964;Martin Luther King Jr.;M
medicine;69;1994;Martin Rodbell;M
physics;56;1974;Martin Ryle;M
physics;68;1999;Martinus J.G. Veltman;M
peace;71;2008;Martti Ahtisaari;M
physics;76;2002;Masatoshi Koshiba;M
economics;77;1988;Maurice Allais;M
literature;49;1911;Maurice Maeterlinck;M
medicine;46;1962;Maurice Wilkins;M
physics;72;1954;Max Born;M
medicine;63;1969;Max Delbrück;M
chemistry;48;1962;Max F. Perutz;M
physics;60;1918;Max Planck;M
medicine;52;1951;Max Theiler;M
physics;35;1914;Max von Laue;M
chemistry;50;1961;Melvin Calvin;M
physics;56;1988;Melvin Schwartz;M
peace;65;1978;Menachem Begin;M
economics;67;1990;Merton H. Miller;M
chemistry;66;2013;Michael Levitt;M
medicine;44;1985;Michael S. Brown;M
chemistry;61;1993;Michael Smith;M
literature;68;1967;Miguel Angel Asturias;M
peace;59;1990;Mikhail Gorbachev;M
literature;60;1965;Mikhail Sholokhov;M
economics;64;1976;Milton Friedman;M
literature;57;2012;Mo Yan;M
peace;63;2005;Mohamed ElBaradei;M
peace;69;1979;Mother Teresa ;F
peace;66;2006;Muhammad Yunus;M
physics;40;1969;Murray Gell-Mann;M
economics;56;1997;Myron S. Scholes;M
literature;68;1991;Nadine Gordimer;F
literature;77;1988;Naguib Mahfouz;M
peace;64;1930;Nathan Söderblom;M
literature;75;1966;Nelly Sachs;F
peace;75;1993;Nelson Mandela;M
peace;69;1931;Nicholas Murray Butler;M
physics;61;1981;Nicolaas Bloembergen;M
physics;42;1964;Nicolay G. Basov;M
physics;37;1922;Niels Bohr;M
medicine;73;1984;Niels K. Jerne;M
medicine;43;1903;Niels Ryberg Finsen;M
medicine;66;1973;Nikolaas Tinbergen;M
chemistry;60;1956;Nikolay Semenov;M
peace;56;1970;Norman Borlaug;M
physics;74;1989;Norman F. Ramsey;M
chemistry;54;1937;Norman Haworth;M
literature;76;1990;Octavio Paz;M
chemistry;72;1969;Odd Hassel;M
literature;68;1979;Odysseus Elytis;M
economics;77;2009;Oliver E. Williamson;M
medicine;82;2007;Oliver Smithies;M
literature;54;2006;Orhan Pamuk;M
chemistry;80;2008;Osamu Shimomura;M
peace;46;1987;Oscar Arias Sánchez;M
chemistry;74;1950;Otto Diels;M
chemistry;65;1944;Otto Hahn;M
medicine;63;1936;Otto Loewi;M
medicine;38;1922;Otto Meyerhof;M
physics;55;1943;Otto Stern;M
chemistry;63;1910;Otto Wallach;M
medicine;48;1931;Otto Warburg;M
physics;39;1959;Owen Chamberlain;M
physics;49;1928;Owen Willans Richardson;M
literature;67;1971;Pablo Neruda;M
literature;60;1951;Pär Lagerkvist;M
physics;51;1948;Patrick M.S. Blackett;M
literature;61;1973;Patrick White;M
economics;55;1970;Paul A. Samuelson;M
physics;31;1933;Paul A.M. Dirac;M
chemistry;54;1980;Paul Berg;M
medicine;74;2003;Paul C. Lauterbur;M
chemistry;79;1997;Paul D. Boyer;M
medicine;54;1908;Paul Ehrlich;M
medicine;75;2000;Paul Greengard;M
peace;57;1909;Paul Henri d'Estournelles de Constant;M
literature;80;1910;Paul Heyse;M
chemistry;62;1995;Paul J. Crutzen;M
chemistry;64;1974;Paul J. Flory;M
chemistry;48;1937;Paul Karrer;M
economics;55;2008;Paul Krugman;M
medicine;49;1948;Paul Müller;M
chemistry;58;1912;Paul Sabatier;M
physics;54;1958;Pavel A. Cherenkov;M
literature;46;1938;Pearl Buck;F
physics;64;1946;Percy W. Bridgman;M
economics;70;2010;Peter A. Diamond;M
chemistry;54;2003;Peter Agre;M
medicine;56;1996;Peter C. Doherty;M
chemistry;52;1936;Peter Debye;M
physics;68;2007;Peter Grünberg;M
physics;84;2013;Peter Higgs;M
medicine;45;1960;Peter Medawar;M
chemistry;58;1978;Peter Mitchell;M
medicine;87;1966;Peyton Rous;M
peace;70;1959;Philip Noel-Baker;M
medicine;54;1950;Philip S. Hench;M
physics;54;1977;Philip W. Anderson;M
physics;43;1905;Philipp Lenard;M
medicine;49;1993;Phillip A. Sharp;M
physics;44;1903;Pierre Curie;M
physics;59;1991;Pierre-Gilles de Gennes;M
physics;37;1902;Pieter Zeeman;M
physics;44;1955;Polykarp Kusch;M
physics;84;1978;Pyotr Kapitsa;M
literature;52;1913;Rabindranath Tagore;M
economics;74;1969;Ragnar Frisch;M
medicine;67;1967;Ragnar Granit;M
peace;46;1950;Ralph Bunche;M
medicine;68;2011;Ralph M. Steinman;M
peace;75;1903;Randal Cremer;M
medicine;65;2013;Randy W. Schekman;M
physics;88;2002;Raymond Davis Jr.;M
economics;64;1994;Reinhard Selten;M
medicine;61;1975;Renato Dulbecco;M
peace;81;1968;René Cassin;M
physics;71;2002;Riccardo Giacconi;M
medicine;58;2004;Richard Axel;M
chemistry;53;1996;Richard E. Smalley;M
physics;61;1990;Richard E. Taylor;M
chemistry;79;2010;Richard F. Heck;M
medicine;50;1993;Richard J. Roberts;M
chemistry;38;1938;Richard Kuhn;M
chemistry;38;1952;Richard L.M. Synge;M
physics;47;1965;Richard P. Feynman;M
chemistry;58;1991;Richard R. Ernst;M
chemistry;60;2005;Richard R. Schrock;M
economics;71;1984;Richard Stone;M
chemistry;43;1915;Richard Willstätter;M
chemistry;60;1925;Richard Zsigmondy;M
peace;33;1992;Rigoberta Menchá Tum;F
medicine;77;1986;Rita Levi-Montalcini;F
chemistry;44;1981;Roald Hoffmann;M
physics;55;1923;Robert A. Millikan;M
economics;67;1999;Robert A. Mundell;M
physics;48;1998;Robert B. Laughlin;M
chemistry;48;1965;Robert B. Woodward;M
medicine;38;1914;Robert Bárány;M
economics;53;1997;Robert C. Merton;M
physics;59;1996;Robert C. Richardson;M
peace;73;1937;Robert Cecil;M
economics;58;1995;Robert E. Lucas Jr.;M
chemistry;63;1996;Robert F. Curl Jr.;M
economics;61;2003;Robert F. Engle III;M
medicine;82;1998;Robert F. Furchgott;M
medicine;85;2010;Robert G. Edwards;M
chemistry;63;2005;Robert H. Grubbs;M
physics;46;1961;Robert Hofstadter;M
chemistry;51;1988;Robert Huber;M
economics;75;2005;Robert J. Aumann;M
chemistry;69;2012;Robert J. Lefkowitz;M
economics;67;2013;Robert J. Shiller;M
medicine;62;1905;Robert Koch;M
economics;63;1987;Robert M. Solow;M
chemistry;70;1966;Robert S. Mulliken;M
physics;41;1972;Robert Schrieffer;M
economics;67;1993;Robert W. Fogel;M
medicine;46;1968;Robert W. Holley;M
physics;42;1978;Robert Woodrow Wilson;M
chemistry;47;2003;Roderick MacKinnon;M
medicine;55;1972;Rodney R. Porter;M
economics;56;2007;Roger B. Myerson;M
chemistry;59;2006;Roger D. Kornberg;M
medicine;53;1977;Roger Guillemin;M
