teryt;typ;name
141509;R;Olszewo-Borki
141510;R;Rzekuń
141511;R;Troszyn
141601;U;Ostrów Mazowiecka
141602;R;Andrzejewo
141603;R;Boguty-Pianki
141604;R;Brok
141605;R;Małkinia Górna
141606;R;Nur
141607;R;Ostrów Mazowiecka
141608;R;Stary Lubotyń
141609;R;Szulborze Wielkie
141610;R;Wąsewo
141611;R;Zaręby Kościelne
141701;U;Józefów
141702;U;Otwock
141703;R;Celestynów
141704;R;Karczew
141705;R;Kołbiel
141706;R;Osieck
141707;R;Sobienie-Jeziory
141708;R;Wiązowna
141801;R;Góra Kalwaria
141802;R;Konstancin-Jeziorna
141803;R;Lesznowola
141804;R;Piaseczno
141805;R;Prażmów
141806;R;Tarczyn
141901;R;Bielsk
141902;R;Bodzanów
141903;R;Brudzeń Duży
141904;R;Bulkowo
141905;R;Drobin
141906;R;Gąbin
141907;R;Łąck
141908;R;Mała Wieś
141909;R;Nowy Duninów
141910;R;Radzanowo
141911;R;Słubice
141912;R;Słupno
141913;R;Stara Biała
141914;R;Staroźreby
141915;R;Wyszogród
