nrk;pgnw;freq;lgw;lgnw;pPiS;pPO
100524;2.29;48.52;256;6;70.31;10.16
100525;9.34;31.22;165;17;64.85;13.94
100526;11.90;41.28;148;20;20.95;36.49
100527;4.55;48.60;315;15;50.48;18.73
100528;4.59;34.60;104;5;51.92;21.15
100529;5.03;50.13;359;19;72.70;7.80
100530;4.41;44.25;195;9;68.72;5.64
100531;2.19;64.12;624;14;44.23;23.72
100532;6.42;43.17;204;14;66.18;7.35
100533;3.81;41.29;278;11;63.31;11.51
100534;4.43;48.10;194;9;58.76;9.79
100535;1.07;51.96;1206;13;44.78;20.40
100536;1.49;48.69;860;13;40.93;21.28
100537;1.11;54.44;1068;12;49.25;17.70
100538;0.77;57.02;645;5;43.26;19.69
100539;0.67;54.11;739;5;42.35;19.35
100540;1.38;51.42;788;11;46.07;23.98
100541;1.63;46.76;966;16;48.76;19.77
100542;0.48;49.37;627;3;47.85;19.30
100543;2.20;49.46;355;8;47.32;18.03
100544;1.21;56.91;818;10;40.10;24.21
100545;0.68;56.54;730;5;47.67;18.63
100546;0.74;58.24;270;2;49.63;24.44
100547;2.57;54.04;835;22;41.92;22.99
100548;0.84;53.05;950;8;39.26;22.21
100549;0.64;51.49;772;5;49.35;14.64
100550;2.20;50.65;800;18;48.88;19.00
100551;1.08;58.09;639;7;43.04;20.50
100552;0.71;49.12;696;5;40.80;18.53
100553;1.09;51.65;634;7;43.69;16.25
100554;1.39;57.89;1346;19;48.29;19.24
100555;0.98;55.41;908;9;39.21;21.48
100556;1.15;54.41;1036;12;41.41;23.07
100557;1.32;58.18;969;13;43.76;22.39
100558;1.00;54.65;1094;11;41.22;22.85
100559;2.04;62.82;48;1;87.50;4.17
100560;11.11;40.91;8;1;50.00;25.00
100561;2.73;40.15;107;3;62.62;14.95
100562;4.00;31.25;24;1;54.17;12.50
100563;0.98;52.76;605;6;35.04;25.79
100564;1.47;51.35;938;14;45.84;27.40
100565;2.50;51.72;1053;27;44.25;26.21
100566;2.12;49.95;1017;22;43.85;24.58
100567;1.66;52.78;532;9;42.67;21.05
100568;2.30;49.08;680;16;39.26;26.32
100569;0.43;53.47;468;2;35.26;29.91
100570;1.13;53.23;1051;12;42.15;26.45
100571;2.27;52.76;1076;25;44.52;24.91
100572;2.08;49.29;988;21;34.92;29.55
100573;1.48;53.44;934;14;44.00;25.91
100574;1.78;52.75;885;16;46.78;24.52
100575;1.57;51.18;940;15;41.49;28.94
100576;2.23;55.69;1230;28;37.72;26.67
100577;1.39;52.58;924;13;40.58;29.44
100578;1.08;54.79;917;10;49.29;22.14
100579;1.87;49.91;525;10;43.43;24.00
100580;1.70;45.73;984;17;41.36;22.66
100581;2.35;47.79;623;15;42.05;23.60
100582;1.56;45.18;886;14;39.16;27.99
100583;2.58;39.85;453;12;38.63;27.59
100584;1.45;48.72;545;8;64.77;13.76
100585;2.71;38.66;755;21;40.00;25.83
100586;1.93;46.73;609;12;39.08;27.09
100587;2.55;40.71;649;17;40.22;25.42
100588;3.40;31.32;256;9;46.48;26.95
100589;2.87;42.01;779;23;38.38;24.65
100590;1.13;46.11;785;9;40.00;26.11
100591;1.91;51.83;1028;20;32.68;27.24
100592;2.34;44.77;585;14;51.28;20.34
100593;2.07;45.92;237;5;48.52;22.78
100594;0.00;41.43;58;0;63.79;13.79
100595;11.70;60.26;83;11;13.25;26.51
100596;4.17;60.76;46;2;43.48;26.09
100597;7.14;84.85;26;2;46.15;30.77
100598;24.14;56.86;22;7;54.55;13.64
100599;4.91;50.62;155;8;56.77;20.65
