okreg;nrlisty;numer;komitet;kto;glosy;procent
26;2;6;PO;Zbigniew KONWIŃSKI;10783;2.31
26;2;8;PO;Stanisław LAMCZYK;8981;1.92
26;7;1;KUKIZ;Małgorzata ZWIERCAN;11822;2.53
27;8;1;PETRU;Mirosław SUCHOŃ;13357;3.96
27;2;1;PO;Mirosława NYKIEL;26927;7.98
27;2;3;PO;Małgorzata PĘPEK;11733;3.48
27;1;1;PiS;Stanisław SZWED;46220;13.7
27;1;2;PiS;Stanisław PIĘTA;18907;5.61
27;1;4;PiS;Kazimierz MATUSZNY;9345;2.77
27;1;5;PiS;Jacek FALFUS;9439;2.8
27;1;8;PiS;Grzegorz PUDA;12262;3.64
27;7;1;KUKIZ;Jerzy JACHNIK;11654;3.46
28;7;1;KUKIZ;Tomasz JASKÓŁA;10952;4.63
28;1;1;PiS;Szymon GIŻYŃSKI;24802;10.48
28;1;2;PiS;Lidia BURZYŃSKA;9760;4.12
28;1;4;PiS;Andrzej GAWRON;9202;3.89
28;1;7;PiS;Konrad GŁĘBOCKI;11761;4.97
28;2;1;PO;Izabela LESZCZYNA;19160;8.1
28;2;2;PO;Halina ROZPONDEK;10115;4.27
29;2;1;PO;Borys BUDKA;37761;12.86
29;2;2;PO;Krystyna SZUMILAS;14533;4.95
29;2;4;PO;Tomasz GŁOGOWSKI;8982;3.06
29;1;1;PiS;Wojciech SZARAMA;34979;11.91
29;1;2;PiS;Piotr PYZIK;7326;2.49
29;1;3;PiS;Barbara DZIUK;12036;4.1
29;1;6;PiS;Jarosław GONCIARZ;4884;1.66
29;7;1;KUKIZ;Paweł KOBYLIŃSKI;13905;4.73
29;8;1;PETRU;Marta GOLBIK;14323;4.88
30;2;1;PO;Gabriela LENARTOWICZ;17823;6.15
30;2;2;PO;Krzysztof GADOWSKI;11549;3.98
30;2;3;PO;Marek KRZĄKAŁA;15404;5.31
30;1;1;PiS;Izabela KLOC;43648;15.05
30;1;2;PiS;Grzegorz MATUSIAK;17227;5.94
30;1;3;PiS;Grzegorz JANIK;9355;3.23
30;1;4;PiS;Czesław SOBIERAJSKI;5014;1.73
30;1;9;PiS;Teresa GLENC;6354;2.19
30;7;1;KUKIZ;Krzysztof SITARSKI;12127;4.18
31;1;1;PiS;Grzegorz TOBISZOWSKI;36422;8.86
31;1;2;PiS;Bożena BORYS-SZOPA;7912;1.92
31;1;3;PiS;Michał WÓJCIK;7652;1.86
31;1;4;PiS;Jerzy POLACZEK;18429;4.48
31;1;7;PiS;Andrzej SOŚNIERZ;23809;5.79
