nrk;teryt;adres;lwug;lkw;lkwzu;lgnw;lgw;freq;pgnw
100248;181701;Żłobek Samorządowy Nr 2|Sanok|ul. Traugutta 23 |38-500 Sanok;1440;624;624;18;606;43.33;2.88
100249;181701;TS "Sanoczanka"|Sanok|ul. Kwiatowa 25 |38-500 Sanok;1395;725;725;15;710;51.97;2.07
100250;181701;Gimnazjum Nr 1|Sanok|ul. Kochanowskiego 2 |38-500 Sanok;1463;810;810;17;793;55.37;2.10
100251;181701;Szkoła Podstawowa Nr 1|Sanok|al. Szwajcarii 5 |38-500 Sanok;1387;703;703;18;685;50.68;2.56
100252;181701;Państwowa Wyższa Szkoła Zawodowa im. J. Grodka|Sanok|ul. Reymonta 6 |38-500 Sanok;1354;598;598;12;586;44.17;2.01
100253;181701;Szkoła Podstawowa Nr 6|Sanok|ul. Przemyska 80 |38-500 Sanok;2002;1001;1001;28;973;50.00;2.80
100254;181701;Samorządowe Przedszkole Publiczne Nr 4|Sanok|ul. Robotnicza 13a |38-500 Sanok;1597;780;780;18;762;48.84;2.31
100255;181701;Szkoła Podstawowa Nr 3|Sanok|ul. Stróżowska 4 |38-500 Sanok;1855;895;895;18;877;48.25;2.01
100256;181701;Gimnazjum Nr 3|Sanok|ul. Lipińskiego 63 |38-500 Sanok;1505;667;667;14;653;44.32;2.10
100257;181701;I Liceum Ogólnokształcące|Sanok|ul.Zagrody 1 |38-500 Sanok;1364;743;743;13;730;54.47;1.75
100258;181701;Szpital Specjalistyczny|Sanok|800 Lecia 26 |38-500 ;183;84;84;9;75;45.90;10.71
100259;181701;Areszt Śledczy|Sanok|Zaułek Dobrego Wojaka Szwejka 4 |38-500 ;114;53;53;14;39;46.49;26.42
100260;181702;Szkoła Podstawowa|Besko|ul. Kolejowa 54 |38-524 Besko;1155;488;488;26;462;42.25;5.33
100261;181702;Gimnazjum|Besko|ul. Kolejowa 54 |38-524 Besko;1002;414;414;13;401;41.32;3.14
