okr00;woj;okrname;coord;okr;komitet;nrk;glosy2015;p2015;Idk;empty;komitet2;kto;glosy2019
11;10;Sieradz;51.6017525,18.738381;11;PO;1;26781;7.24;1302604;11;KO;TOMCZYK Cezary Józef;44217
3;02;Wrocław;51.1261165,16.991816;3;PO;1;62211;11.89;1302635;3;KO;SCHETYNA Grzegorz Juliusz;66859
18;14;Siedlce;52.1617485,22.27579;18;PO;1;12899;3.44;1302736;18;KO;GASIUK-PIHOWICZ Kamila;34793
30;24;Bielsko-Biała;49.812118,19.038784;30;PSL;1;1375;0.47;1302781;30;PSL;PILISZEK Grzegorz Kazimierz;5985
20;14;Warszawa;52.233002,21.0614195;20;PO;1;80866;16.48;1303158;20;KO;GRABIEC Jan Stanisław;64255
3;02;Wrocław;51.1261165,16.991816;3;PSL;1;4730;0.90;1303159;3;PSL;PROTASIEWICZ Jacek;17618
19;14;Warszawa;52.233002,21.0614195;19;PO;1;230894;21.08;1303173;19;KO;KIDAWA-BŁOŃSKA Małgorzata Maria;416030
14;12;Nowy Sącz;49.610243,20.70664;14;SLD;1;2992;0.96;1303209;14;SLD;BOCHEŃSKI Jakub Józef;15204
30;24;Bielsko-Biała;49.812118,19.038784;30;PO;1;17823;6.15;1303323;30;KO;KRZĄKAŁA Marek Grzegorz;33962
33;26;Kielce;50.85419,20.615443;33;PO;1;42376;9.04;1303379;33;KO;SIENKIEWICZ Bartłomiej Henryk;35009
9;10;Łódź;51.77348,19.4804095;9;PSL;1;1155;0.32;1303421;9;PSL;BIŃCZYCKA Elżbieta;6032
19;14;Warszawa;52.233002,21.0614195;19;PSL;1;2503;0.23;1303428;19;PSL;BARTOSZEWSKI Władysław Teofil;30405
1;02;Legnica;51.2047315,16.1583115;1;PSL;1;4186;1.17;1303499;1;PSL;ŻUK Stanisław Adam;7694
31;24;Katowice;50.214288,19.008149;31;PO;1;53610;13.04;1303591;31;KO;BUDKA Borys Piotr;99550
32;24;Katowice;50.214288,19.008149;32;PSL;1;3287;1.15;1303659;32;PSL;CHROBAK Barbara Stanisława;5496
29;24;Katowice;50.214288,19.008149;29;PSL;1;2419;0.82;1303774;29;PSL;PILOT Andrzej Antoni;8254
2;02;Wałbrzych;50.7851055,16.2913995;2;PSL;1;2732;1.17;1303871;2;PSL;GANCARZ Paweł Jarosław;7615
31;24;Katowice;50.214288,19.008149;31;PSL;1;1509;0.37;1304145;31;PSL;JELONEK Aleksandra Elżbieta;7575
14;12;Nowy Sącz;49.610243,20.70664;14;PO;1;17487;5.63;1304151;14;KO;MARCZUŁAJTIS-WALCZAK Jagna Kinga;21968
29;24;Katowice;50.214288,19.008149;29;PO;1;37761;12.86;1304217;29;KO;GOLBIK Marta Joanna;35129
