rok;nro;nrlisty;komitet;nrk;nazwisko;imiona;plec;zawod;partia;glosy;procent;mandat
2015;4;2;PO;13;BETHKE;Wojciech;M;nauczyciel historii;PO;634;0.17;n
2015;4;2;PO;14;SOBCZAK;Marek Mirosław;M;inżynier leśnictwa;PO;698;0.19;n
2015;4;2;PO;15;WRÓBEL;Maria;K;administratywista;BEZPARTYJNY;585;0.16;n
2015;4;2;PO;16;GACA;Grzegorz;M;dyrektor szkoły ;PO;983;0.26;n
2015;4;2;PO;17;STASZCZYK;Marek;M;ekonomista;PO;238;0.06;n
2015;4;2;PO;18;HARTWICH;Edward Ignacy;M;ekonomista;PO;394;0.11;n
2015;4;2;PO;19;POPA;Paulina Barbara;K;zarządca nieruchomości;BEZPARTYJNY;356;0.10;n
2015;4;2;PO;20;SZŁAPIŃSKI;Daniel Marek;M;technik budownictwa;BEZPARTYJNY;167;0.04;n
2015;4;2;PO;21;WĄSOWICZ;Michał;M;koordynator projektów unijnych;BEZPARTYJNY;344;0.09;n
2015;4;2;PO;22;GATZA;Paulina Maria;K;specjalista do spraw stosunków międzynarodowych;BEZPARTYJNY;461;0.12;n
2015;4;2;PO;23;MALICKI;Dominik;M;administratywista;BEZPARTYJNY;335;0.09;n
2015;4;2;PO;24;SYCZ;Robert;M;organizator imprez sportowych;BEZPARTYJNY;4294;1.15;n
2015;4;3;PRAZEM;1;NOWACZYK;Bartosz Jan;M;programista;PRAZEM;6075;1.62;n
2015;4;3;PRAZEM;2;ŻAKOWICZ;Karolina;K;specjalista do spraw marketingu i handlu;BEZPARTYJNY;2151;0.57;n
2015;4;3;PRAZEM;3;ŚWITALSKI;Michał Karol;M;analityk sieci komputerowych;PRAZEM;1040;0.28;n
2015;4;3;PRAZEM;4;KIEFERLING;Ewa Urszula;K;tester oprogramowania komputerowego;PRAZEM;404;0.11;n
2015;4;3;PRAZEM;5;MIERZWA;Michał Mikołaj;M;doradca do spraw rynku nieruchomości;PRAZEM;532;0.14;n
2015;4;3;PRAZEM;6;BRZOZA;Paulina;K;recepcjonista hotelowy;PRAZEM;1016;0.27;n
2015;4;3;PRAZEM;7;MUSIELAK;Michał Ryszard;M;nauczyciel akademicki - nauki matematyczne;PRAZEM;553;0.15;n
2015;4;3;PRAZEM;8;MIERZWA;Bogumiła Elżbieta;K;technik chemik;BEZPARTYJNY;310;0.08;n
2015;4;3;PRAZEM;9;BYTNER;Paweł Mateusz;M;matematyk;PRAZEM;312;0.08;n
2015;4;3;PRAZEM;10;CACHA;Wanda Paulina;K;nauczyciel fizyki;BEZPARTYJNY;197;0.05;n
2015;4;3;PRAZEM;11;RZADKIEWICZ;Damian;M;asystent usług pocztowych;PRAZEM;192;0.05;n
2015;4;3;PRAZEM;12;WOJCIECHOWSKA;Julia Feliksa;K;technik elektronik;BEZPARTYJNY;480;0.13;n
2015;4;3;PRAZEM;13;GAJDA;Paweł Stanisław;M;programista aplikacji;PRAZEM;800;0.21;n
2015;4;4;KORWiN;1;SYPNIEWSKI;Marcin;M;przedsiębiorca;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;9863;2.64;n
2015;4;4;KORWiN;2;BOCIAN;Robert;M;zarządca nieruchomości;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;1340;0.36;n
2015;4;4;KORWiN;3;PILARSKI;Marcin;M;ekonomista;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;767;0.20;n
2015;4;4;KORWiN;4;KALINOWSKI;Dominik Marek;M;artysta kabaretowy;BEZPARTYJNY;560;0.15;n
2015;4;4;KORWiN;5;STADNICKI;Seweryn Jan;M;magazynier;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;211;0.06;n
2015;4;4;KORWiN;6;PIETRZAK;Łukasz;M;informatyk;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;417;0.11;n
2015;4;4;KORWiN;7;PAPRZYCKA;Dorota Maria;K;technik ekonomista;BEZPARTYJNY;343;0.09;n
2015;4;4;KORWiN;8;IGNATOWICZ;Andrzej;M;inżynier elektronik;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;245;0.07;n
2015;4;4;KORWiN;9;RUTKOWSKA-SPICERA;Dorota Elżbieta;K;technik handlowiec;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;147;0.04;n
