teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;ret;onumo;trans
286201;1;Olsztyn;mm;53.776555,20.4665675;35;Olsztyn;PiS;14;TOŁWIŃSKA;Zdzisława Barbara;Kobieta;PiS;[0];-1;
281803;3;Gołdap;gmw;54.2535445,22.3258695;35;Olsztyn;PiS;15;JUCHNIEWICZ;Andrzej;Mężczyzna;PiS;[0];-1;
281406;3;Jeziorany;gmw;53.990277,20.7261955;35;Olsztyn;PiS;16;MICHALSKA;Jolanta Anna;Kobieta;BEZP;[0];-1;
281304;3;Olecko;gmw;54.0190885,22.4800115;35;Olsztyn;PiS;17;SUCHOCKA;Agnieszka Jolanta;Kobieta;BEZP;[0];-1;
280601;1;Giżycko;gm;54.035964,21.769379;35;Olsztyn;PiS;18;SZOSTKOWSKI;Tomasz;Mężczyzna;PiS;[0];-1;
280805;3;Reszel;gmw;54.0199235,21.1908765;35;Olsztyn;PiS;19;MIESZKOWSKA;Ewa;Kobieta;BEZP;[0];-1;
286201;1;Olsztyn;mm;53.776555,20.4665675;35;Olsztyn;PiS;20;WYPIJ;Michał Piotr;Mężczyzna;członek partii politycznej: Porozumienie Gowina;[1];35;35==35
281404;2;Dywity;gw;53.8756485,20.4766725;35;Olsztyn;KOBW;1;CICHOŃ;Janusz Władysław;Mężczyzna;PORP;[1];35;35==35
286201;1;Olsztyn;mm;53.776555,20.4665675;35;Olsztyn;KOBW;2;WASILEWSKA;Anna;Kobieta;PORP;[1];35;35==35
281407;2;Jonkowo;gw;53.825086,20.2664665;35;Olsztyn;KOBW;3;PAMPUCH;Mirosław Józef;Mężczyzna;Nowoczesna;[1];35;35==35
286201;1;Olsztyn;mm;53.776555,20.4665675;35;Olsztyn;KOBW;4;PAPKE;Paweł;Mężczyzna;PORP;[1];35;35==35
280501;1;Ełk;gm;53.823927,22.360008;35;Olsztyn;KOBW;5;WOJCIECHOWSKA;Anna;Kobieta;BEZP;[0];-1;
281409;3;Olsztynek;gmw;53.5739185,20.358239;35;Olsztyn;KOBW;6;WROCHNA;Artur Zenon;Mężczyzna;PORP;[0];-1;
281701;1;Szczytno;gm;53.5636365,20.997893;35;Olsztyn;KOBW;7;CHMIELIŃSKI;Igor;Mężczyzna;PORP;[1];35;35==35
281601;3;Biała Piska;gmw;53.627063,22.105836;35;Olsztyn;KOBW;8;KONOPKA;Marek;Mężczyzna;PORP;[0];-1;
280601;1;Giżycko;gm;54.035964,21.769379;35;Olsztyn;KOBW;9;CZOPIŃSKA;Małgorzata;Kobieta;BEZP;[0];-1;
281603;3;Pisz;gmw;53.63459,21.713319;35;Olsztyn;KOBW;10;LIPNICKI;Edmund;Mężczyzna;BEZP;[0];-1;
281104;3;Nidzica;gmw;53.4090145,20.49263;35;Olsztyn;KOBW;11;GÓRALSKA;Elżbieta Maria;Kobieta;PORP;[0];-1;
281403;3;Dobre Miasto;gmw;53.9972015,20.428826;35;Olsztyn;KOBW;12;OFIERSKA;Małgorzata Dorota;Kobieta;BEZP;[0];-1;
280801;1;Kętrzyn;gm;54.082319,21.375072;35;Olsztyn;KOBW;13;MAKSYMOWICZ;Ewa Katarzyna;Kobieta;BEZP;[0];-1;
281803;3;Gołdap;gmw;54.2535445,22.3258695;35;Olsztyn;KOBW;14;MIERUŃSKI;Zbigniew Jan;Mężczyzna;BEZP;[0];-1;
280605;2;Kruklanki;gw;54.091396,22.050773;35;Olsztyn;KOBW;15;KŁOCZKO;Bartłomiej Artur;Mężczyzna;BEZP;[0];-1;
281903;3;Węgorzewo;gmw;54.2052725,21.704967;35;Olsztyn;KOBW;16;CIBORSKI;Tadeusz;Mężczyzna;BEZP;[1];35;35==35
281304;3;Olecko;gmw;54.0190885,22.4800115;35;Olsztyn;KOBW;17;RAMOTOWSKI;Adam Stanisław;Mężczyzna;BEZP;[0];-1;
281001;1;Mrągowo;gm;53.8684315,21.2988925;35;Olsztyn;KOBW;18;LEWKOWICZ;Magdalena;Kobieta;BEZP;[0];-1;
286201;1;Olsztyn;mm;53.776555,20.4665675;35;Olsztyn;KOBW;19;WAŚ;Beata Katarzyna;Kobieta;BEZP;[0];-1;
281404;2;Dywity;gw;53.8756485,20.4766725;35;Olsztyn;KOBW;20;KUCHCIŃSKI;Marcin Andrzej;Mężczyzna;PORP;[0];-1;
281402;3;Biskupiec;gmw;53.8597005,20.9677405;35;Olsztyn;PSL;1;PASŁAWSKA;Urszula Stefania;Kobieta;PSL;[1];35;35==35
286201;1;Olsztyn;mm;53.776555,20.4665675;35;Olsztyn;PSL;2;FALKOWSKI;Henryk Tadeusz;Mężczyzna;BEZP;[1];35;35==35
280801;1;Kętrzyn;gm;54.082319,21.375072;35;Olsztyn;PSL;3;HEĆMAN;Krzysztof Wiesław;Mężczyzna;PSL;[0];-1;
280610;2;Wydminy;gw;53.969047,22.04161;35;Olsztyn;PSL;4;KRÓL;Radosław;Mężczyzna;PSL;[1];35;35==35
281702;2;Dźwierzuty;gw;53.706471,21.0053615;35;Olsztyn;PSL;5;JASKULSKA;Sylwia Monika;Kobieta;PSL;[1];35;35==35
281001;1;Mrągowo;gm;53.8684315,21.2988925;35;Olsztyn;PSL;6;PIWOWARCZYK;Marcin Marian;Mężczyzna;PSL;[1];35;35==35
281601;3;Biała Piska;gmw;53.627063,22.105836;35;Olsztyn;PSL;7;KURZĄTKOWSKI;Andrzej;Mężczyzna;PSL;[0];-1;
281411;2;Stawiguda;gw;53.6546455,20.4336495;35;Olsztyn;PSL;8;LICZNERSKA;Grażyna Zyta;Kobieta;BEZP;[0];-1;
281409;3;Olsztynek;gmw;53.5739185,20.358239;35;Olsztyn;PSL;9;STEGIENKO;Mirosław Wojciech;Mężczyzna;BEZP;[0];-1;
281304;3;Olecko;gmw;54.0190885,22.4800115;35;Olsztyn;PSL;10;URBANOWICZ;Emilia;Kobieta;BEZP;[0];-1;
