komitet;numer;posel;glosy
8;4;VAN DER COGHEN Piotr Artur;28657
8;5;PIĘTA Jarosław;8238
20;1;KLEPACZ Witold Janusz;24589
20;2;PISALSKI Grzegorz Ottokar;7342
6;1;GOSIEWSKI Przemysław Edgar;138405
6;3;ZUBA Maria;3492
6;4;RUSIECKI Jarosław;4637
6;5;LIPIEC Krzysztof Bogdan;4525
6;7;BĘTKOWSKI Andrzej Krzysztof;3112
6;9;KWITEK Marek;2653
6;28;WRONA Waldemar Krzysztof;2568
8;1;MIODOWICZ Konstanty;33229
8;2;GRZEGOREK Krzysztof Józef;18874
8;3;PACELT Zbigniew;8455
8;5;GIERADA Artur Daniel;10355
8;10;OKŁA - DREWNOWICZ Marzena;7151
10;1;PAWLAK Mirosław Antoni;14006
10;2;PAŁYS Andrzej Józef;7654
20;1;KOPYCIŃSKI Sławomir Piotr;8778
20;4;MILCARZ Henryk Mieczysław;7960
6;1;KRASULSKI Leonard Seweryn;17184
6;5;BABALSKI Zbigniew;6580
8;1;LISEK Krzysztof;25548
8;2;NAGUSZEWSKI Tadeusz;15577
8;4;ŻYLIŃSKI Adam Jacek;11835
8;6;SYCZ Miron;9075
10;1;ŻELICHOWSKI Stanisław;6437
20;2;GINTOWT-DZIEWAŁTOWSKI Witold Józef;9875
6;1;SZCZYGŁO Aleksander Marek;29592
6;2;ARENT Iwona Ewa;7187
6;3;GOSIEWSKI Jerzy Antoni;9244
8;1;RYBICKI Sławomir Piotr;30218
8;3;BUBLEWICZ Beata Maria;19470
8;4;ORZECHOWSKI Andrzej;10052
8;6;CICHOŃ Janusz Władysław;9521
8;20;STAROŃ Lidia Ewa;15514
10;1;KRZYŚKÓW Adam;6258
20;1;IWIŃSKI Tadeusz;18408
6;1;DZIEDZICZAK Jan Michał;24809
6;2;ROGACKI Adam Maksym;17206
6;3;DERA Andrzej Mikołaj;13190
8;1;GRUPIŃSKI Rafał Szymon;26944
8;2;ZIEMNIAK Wojciech Stanisław;26623
8;3;URBANIAK Jarosław;19788
8;4;ORZECHOWSKI Maciej Bolesław;14940
8;6;SITARZ Witold Jan;11328
10;1;GRZYB Andrzej Marian;15640
10;2;RACKI Józef;4833
20;1;ALEKSANDRZAK Leszek Grzegorz;16508
20;2;SZCZEPAŃSKI Wiesław Andrzej;10579
6;1;CZARNECKI Witold;18137
6;2;HOFMAN Adam;15824
6;3;DOLATA Zbigniew;13763
8;1;NOWAK Tomasz Piotr;28279
8;2;ARNDT Paweł;17394
8;3;TOMASZAK-ZESIUK Irena Barbara;9741
10;1;GRZESZCZAK Eugeniusz Tomasz;13189
20;1;TOMASZEWSKI Tadeusz;23755
20;2;STREKER-DEMBIŃSKA Elżbieta;6070
6;1;KRACZKOWSKI Maks;11756
6;6;GÓRSKI Tomasz;18072
8;1;SZEJNFELD Adam Stanisław;57343
8;2;RUTNICKI Jakub Adam;18590
8;3;CHMIELEWSKI Stanisław Marcin;8102
8;4;WAŚKO Piotr Roman;6260
10;1;KALEMBA Stanisław;13295
20;1;AJCHLER Romuald Kazimierz;13725
20;2;STEC Stanisław;10908
6;1;GILOWSKA Zyta, Janina;54307
6;4;TOMCZAK Jacek, Jerzy;14323
8;1;DZIKOWSKI Waldy;110467
8;2;LIPIŃSKI Dariusz;20695
8;3;KOZŁOWSKA-RAJEWICZ Agnieszka;17040
8;4;STULIGROSZ Michał;24513
8;5;FIEDLER Arkady;25585
8;6;SZYDŁOWSKA Bożena;12309
8;7;ZIELIŃSKI Marek;10207
20;3;ŁYBACKA Krystyna Maria;24405
6;1;HOC Czesław;18309
6;2;GOLIŃSKI Marian Tomasz;8352
8;1;GAWŁOWSKI Stanisław;24597
8;2;KARPINIUK Sebastian Marek;25827
8;3;OLEJNICZAK Danuta Maria;11631
8;5;SUSKI Paweł;7451
8;6;KURIATA Jan;7363
20;1;WZIĄTEK Stanisław Czesław;12566
6;1;BRUDZIŃSKI Joachim Stanisław;33237
6;2;KOMOŁOWSKI Longin;10223
6;5;MASŁOWSKA Mirosława Jolanta;8431
8;1;NITRAS Sławomir Witold;65776
8;2;KOCHAN Magdalena Maria;17052
8;3;LITWIŃSKI Arkadiusz;19827
8;4;URBAN Cezary;8646
8;5;MARCINKIEWICZ Michał Piotr;22073
8;7;OŚWIĘCIMSKI Konstanty Tomasz;7975
8;9;PREISS Sławomir Piotr;10153
8;14;ZAREMBA Renata;10931
20;1;NAPIERALSKI Grzegorz Bernard;29585
20;3;ARŁUKOWICZ Bartosz Adam;21543
