komitet;okręg;numer;kandydat;glosy;proc.lista;proc.all;wynik
K1;11;13;SOŁTYSZEWSKI Marcin;157;1.51;0.04;NX
K1;11;14;OLEJNICZAK Stanisław Feliks;552;5.33;0.14;NX
K1;11;15;SŁABY Zbigniew Zenon;226;2.18;0.06;NX
K1;11;16;BIAŁECKI Jacek;75;0.72;0.02;NX
K1;11;17;CHOCHOLSKI Robert Grzegorz;53;0.51;0.01;NX
K1;11;18;BARYLSKI Włodzimierz Jan;91;0.87;0.02;NX
K1;11;20;WISZNIEWSKI Stanisław;209;2.01;0.05;NX
K1;12;1;BARGIEŁ Janusz Lucjan;800;30.94;0.30;NX
K1;12;2;KOLASA Janusz;383;14.81;0.14;NX
K1;12;3;NOWAK Bogdan Andrzej;291;11.25;0.11;NX
K1;12;4;LESZCZYŃSKI Artur Andrzej;199;7.69;0.07;NX
K1;12;5;JURA Artur Robert;127;4.91;0.05;NX
K1;12;6;KOREK-FOKS Władysława;116;4.48;0.04;NX
K1;12;7;JURA Zbigniew;110;4.25;0.04;NX
K1;12;8;BAŁOS Alicja;154;5.95;0.06;NX
K1;12;9;ROCZNIEWSKI Jacek;26;1.00;0.01;NX
K1;12;10;SABUDA Kamila Maria;146;5.64;0.05;NX
K1;12;11;MALICH Magdalena;91;3.52;0.03;NX
K1;12;12;MROCZKOWSKI Grzegorz Czesław;142;5.49;0.05;NX
K1;13;1;WROŃSKI Leszek Józef;1168;33.53;0.21;NX
K1;13;2;AUGUSTOWSKI Krzysztof;345;9.90;0.06;NX
K1;13;3;PLUCIŃSKI Leon Krzysztof;189;5.42;0.03;NX
K1;13;4;ŁYSEK Józef Jacek;368;10.56;0.07;NX
K1;13;5;ADAMCZYK Marek Jacek;245;7.03;0.04;NX
K1;13;6;KOZERA Halina;175;5.02;0.03;NX
K1;13;7;KLIMOWSKI Marek Bogdan;123;3.53;0.02;NX
K1;13;8;RYDIGER Ryszard;76;2.18;0.01;NX
K1;13;9;BŁAŚ Urszula Monika;128;3.67;0.02;NX
K1;13;10;STADNIK Henryk Piotr;54;1.55;0.01;NX
K1;13;11;ZIĘTARSKI Krzysztof Stanisław;77;2.21;0.01;NX
K1;13;12;ADAMCZYK Marian Józef;121;3.47;0.02;NX
K1;13;13;BARTOSIK Krystyna Józefa;53;1.52;0.01;NX
K1;13;14;KORZENIOWSKI Emil Władysław;57;1.63;0.01;NX
K1;13;15;FILUS Michał Paweł;74;2.12;0.01;NX
K1;13;16;PODEDWORNY Stefania;33;0.94;0.01;NX
K1;13;17;RYS Edward Jan;49;1.40;0.01;NX
K1;13;20;SAWCZAK Helena;47;1.34;0.01;NX
K1;13;21;PALEJ Jerzy;64;1.83;0.01;NX
K1;14;1;WIŚNIOWSKA Elżbieta Aleksandra;1077;29.48;0.36;NX
K1;14;2;GRABOWSKI Tadeusz;463;12.67;0.16;NX
K1;14;3;KORONA Teresa;259;7.09;0.09;NX
K1;14;4;GOMULEC Jan;148;4.05;0.05;NX
K1;14;5;ADAMOWSKI Stanisław Adam;157;4.29;0.05;NX
K1;14;6;CHRONOWSKI Stanisław Ryszard;273;7.47;0.09;NX
K1;14;7;RODAK Edward;161;4.40;0.05;NX
K1;14;8;KONSTANTY Józef;124;3.39;0.04;NX
K1;14;9;PRUSAK Józef;176;4.81;0.06;NX
K1;14;10;SZKARADEK Bożena;165;4.51;0.06;NX
K1;14;11;ZBOZIEŃ Stanisław;78;2.13;0.03;NX
K1;14;12;BOŁOZ Marcin;97;2.65;0.03;NX
K1;14;13;MĄKA Robert;109;2.98;0.04;NX
K1;14;14;IZWORSKI Michał Daniel;37;1.01;0.01;NX
K1;14;15;KOSIBA Filip;83;2.27;0.03;NX
K1;14;16;WILCZEK Jan;87;2.38;0.03;NX
K1;14;17;SIKORSKI Andrzej Graniwid;60;1.64;0.02;NX
K1;14;18;ROZCIECHA Anna Alina;99;2.71;0.03;NX
K1;15;1;ZAWISZA Jerzy Tomasz;1463;45.23;0.52;NX
K1;15;2;NOGA Jan;302;9.33;0.11;NX
K1;15;3;HOŁDA Michał;279;8.62;0.10;NX
